filter_name,policy_name,research_only,requires_pretrade_implementation_audit,not_tradable,filter_description,train_ext_trade_count,train_ext_no_cost_net_pnl,train_ext_net_pnl,train_ext_funding_adjusted_net_pnl,validation_ext_trade_count,validation_ext_no_cost_net_pnl,validation_ext_net_pnl,validation_ext_funding_adjusted_net_pnl,oos_ext_trade_count,oos_ext_no_cost_net_pnl,oos_ext_net_pnl,oos_ext_funding_adjusted_net_pnl,largest_symbol_pnl_share,top_5pct_trade_pnl_contribution,active_symbol_count,stable_candidate_like,funding_adjusted_gate_passed,min_split_trade_count_passed,strict_rejected_reasons
keep_trend_friendly_exclude_funding_overheated,v3_4h_donchian_55_20_atr4,True,True,True,Keep trend_friendly trades and drop funding_overheated.,13,-0.8474400000000004,-0.8761305500000001,-0.9132959377209782,1,-0.01115,-0.011308755,-0.0113752378609454,0,0.0,0.0,,,,0,False,True,False,train_no_cost_net_pnl_not_positive;validation_no_cost_net_pnl_not_positive;oos_no_cost_net_pnl_not_positive;validation_ext_trade_count_under_10;oos_ext_trade_count_under_10;oos_largest_symbol_pnl_share_over_0p7;oos_top_5pct_trade_pnl_contribution_over_0p8;oos_not_enough_active_symbols
exclude_funding_overheated,v3_4h_donchian_55_20_atr4,True,True,True,Drop funding_overheated trades only.,119,1.8436199999999996,1.6470001699999999,1.0643542944903797,85,-6.00159,-6.265680145000001,-6.822860969851325,72,-7.884110000000002,-8.172770215000002,-8.553745426013075,1.0,-0.3994249947231632,5,False,False,True,validation_no_cost_net_pnl_not_positive;oos_no_cost_net_pnl_not_positive;oos_cost_aware_net_pnl_negative;oos_funding_adjusted_net_pnl_negative;oos_largest_symbol_pnl_share_over_0p7
original_all,v3_4h_donchian_55_with_risk_filters,True,True,True,All V3 extended trades.,30,3.2237200000000015,3.1826913600000015,2.888058213316737,24,-0.31977999999999973,-0.35584102999999967,-0.4501033723146839,19,1.2399699999999994,1.1679083449999994,1.0556702102893616,1.0,1.000314172770125,5,False,True,True,validation_no_cost_net_pnl_not_positive;oos_largest_symbol_pnl_share_over_0p7;oos_top_5pct_trade_pnl_contribution_over_0p8
keep_trend_friendly,v3_4h_donchian_55_with_risk_filters,True,True,True,Keep trades whose completed daily regime is trend_friendly.,3,-0.18814999999999998,-0.194804865,-0.2018517523607763,1,-0.01115,-0.011308755,-0.0113752378609454,0,0.0,0.0,,,,0,False,True,False,train_no_cost_net_pnl_not_positive;validation_no_cost_net_pnl_not_positive;oos_no_cost_net_pnl_not_positive;train_ext_trade_count_under_10;validation_ext_trade_count_under_10;oos_ext_trade_count_under_10;oos_largest_symbol_pnl_share_over_0p7;oos_top_5pct_trade_pnl_contribution_over_0p8;oos_not_enough_active_symbols
exclude_hostile_chop_overheated,v3_4h_donchian_55_with_risk_filters,True,True,True,"Drop trend_hostile, high_vol_chop, and funding_overheated trades.",26,3.278960000000001,3.238702240000002,2.9475267672393004,24,-0.31977999999999973,-0.35584102999999967,-0.4501033723146839,19,1.2399699999999994,1.1679083449999994,1.0556702102893616,1.0,1.000314172770125,5,False,True,True,validation_no_cost_net_pnl_not_positive;oos_largest_symbol_pnl_share_over_0p7;oos_top_5pct_trade_pnl_contribution_over_0p8
keep_trend_friendly_exclude_funding_overheated,v3_4h_donchian_55_with_risk_filters,True,True,True,Keep trend_friendly trades and drop funding_overheated.,3,-0.18814999999999998,-0.194804865,-0.2018517523607763,1,-0.01115,-0.011308755,-0.0113752378609454,0,0.0,0.0,,,,0,False,True,False,train_no_cost_net_pnl_not_positive;validation_no_cost_net_pnl_not_positive;oos_no_cost_net_pnl_not_positive;train_ext_trade_count_under_10;validation_ext_trade_count_under_10;oos_ext_trade_count_under_10;oos_largest_symbol_pnl_share_over_0p7;oos_top_5pct_trade_pnl_contribution_over_0p8;oos_not_enough_active_symbols
exclude_funding_overheated,v3_4h_donchian_55_with_risk_filters,True,True,True,Drop funding_overheated trades only.,29,3.2548300000000014,3.2140382650000014,2.921205108502393,24,-0.31977999999999973,-0.35584102999999967,-0.4501033723146839,19,1.2399699999999994,1.1679083449999994,1.0556702102893616,1.0,1.000314172770125,5,False,True,True,validation_no_cost_net_pnl_not_positive;oos_largest_symbol_pnl_share_over_0p7;oos_top_5pct_trade_pnl_contribution_over_0p8
original_all,v3_4h_ema_50_200_atr4,True,True,True,All V3 extended trades.,491,1.5950600000000152,0.5210463000000167,-0.4730091608244038,312,2.9426400000000106,1.9557614000000103,1.2317794981430263,313,-5.07042999999999,-6.26843713499999,-6.668188086989523,0.43429904876919495,-1.328421357774375,5,False,False,True,oos_no_cost_net_pnl_not_positive;oos_cost_aware_net_pnl_negative;oos_funding_adjusted_net_pnl_negative
keep_trend_friendly,v3_4h_ema_50_200_atr4,True,True,True,Keep trades whose completed daily regime is trend_friendly.,25,-0.30295999999999895,-0.34586542999999903,-0.35964676223304953,2,0.05777,0.054518975000000004,0.0535331396314208,0,0.0,0.0,,,,0,False,True,False,train_no_cost_net_pnl_not_positive;oos_no_cost_net_pnl_not_positive;validation_ext_trade_count_under_10;oos_ext_trade_count_under_10;oos_largest_symbol_pnl_share_over_0p7;oos_top_5pct_trade_pnl_contribution_over_0p8;oos_not_enough_active_symbols
exclude_hostile_chop_overheated,v3_4h_ema_50_200_atr4,True,True,True,"Drop trend_hostile, high_vol_chop, and funding_overheated trades.",416,2.4373600000000164,1.5722170500000163,0.8170213763989436,281,2.5784100000000096,1.71887497500001,1.0836218234119248,312,-5.06930999999999,-6.267185294999991,-6.666882065785312,0.4343857979070647,-1.3286867035259746,5,False,False,True,oos_no_cost_net_pnl_not_positive;oos_cost_aware_net_pnl_negative;oos_funding_adjusted_net_pnl_negative
keep_trend_friendly_exclude_funding_overheated,v3_4h_ema_50_200_atr4,True,True,True,Keep trend_friendly trades and drop funding_overheated.,25,-0.30295999999999895,-0.34586542999999903,-0.35964676223304953,2,0.05777,0.054518975000000004,0.0535331396314208,0,0.0,0.0,,,,0,False,True,False,train_no_cost_net_pnl_not_positive;oos_no_cost_net_pnl_not_positive;validation_ext_trade_count_under_10;oos_ext_trade_count_under_10;oos_largest_symbol_pnl_share_over_0p7;oos_top_5pct_trade_pnl_contribution_over_0p8;oos_not_enough_active_symbols
exclude_funding_overheated,v3_4h_ema_50_200_atr4,True,True,True,Drop funding_overheated trades only.,483,1.468680000000015,0.417424990000016,-0.48617776462241624,309,2.9769900000000096,2.012168575000011,1.3173834724762437,313,-5.07042999999999,-6.26843713499999,-6.668188086989523,0.43429904876919495,-1.328421357774375,5,False,False,True,oos_no_cost_net_pnl_not_positive;oos_cost_aware_net_pnl_negative;oos_funding_adjusted_net_pnl_negative
original_all,v3_4h_vol_compression_donchian_breakout,True,True,True,All V3 extended trades.,176,-1.1183899999999976,-1.4171260649999982,-1.8799320353475322,94,-5.462639999999996,-5.771197169999996,-6.092664485299194,79,-3.29971,-3.5898067449999997,-3.8348447762539952,0.9072843856855782,-0.5469331943104364,5,False,False,True,train_no_cost_net_pnl_not_positive;validation_no_cost_net_pnl_not_positive;oos_no_cost_net_pnl_not_positive;oos_cost_aware_net_pnl_negative;oos_funding_adjusted_net_pnl_negative;oos_largest_symbol_pnl_share_over_0p7
keep_trend_friendly,v3_4h_vol_compression_donchian_breakout,True,True,True,Keep trades whose completed daily regime is trend_friendly.,12,0.3179900000000001,0.2928799649999999,0.2624514501181777,0,0.0,0.0,,0,0.0,0.0,,,,0,False,True,False,validation_no_cost_net_pnl_not_positive;oos_no_cost_net_pnl_not_positive;validation_ext_trade_count_under_10;oos_ext_trade_count_under_10;oos_largest_symbol_pnl_share_over_0p7;oos_top_5pct_trade_pnl_contribution_over_0p8;oos_not_enough_active_symbols
exclude_hostile_chop_overheated,v3_4h_vol_compression_donchian_breakout,True,True,True,"Drop trend_hostile, high_vol_chop, and funding_overheated trades.",157,0.9607100000000031,0.6976456350000018,0.32378393841602904,87,-4.563669999999997,-4.844435974999997,-5.155366669515965,79,-3.29971,-3.5898067449999997,-3.8348447762539952,0.9072843856855782,-0.5469331943104364,5,False,False,True,validation_no_cost_net_pnl_not_positive;oos_no_cost_net_pnl_not_positive;oos_cost_aware_net_pnl_negative;oos_funding_adjusted_net_pnl_negative;oos_largest_symbol_pnl_share_over_0p7
keep_trend_friendly_exclude_funding_overheated,v3_4h_vol_compression_donchian_breakout,True,True,True,Keep trend_friendly trades and drop funding_overheated.,12,0.3179900000000001,0.2928799649999999,0.2624514501181777,0,0.0,0.0,,0,0.0,0.0,,,,0,False,True,False,validation_no_cost_net_pnl_not_positive;oos_no_cost_net_pnl_not_positive;validation_ext_trade_count_under_10;oos_ext_trade_count_under_10;oos_largest_symbol_pnl_share_over_0p7;oos_top_5pct_trade_pnl_contribution_over_0p8;oos_not_enough_active_symbols
exclude_funding_overheated,v3_4h_vol_compression_donchian_breakout,True,True,True,Drop funding_overheated trades only.,172,-0.23357999999999812,-0.521465479999999,-0.9277400215539048,94,-5.462639999999996,-5.771197169999996,-6.092664485299194,79,-3.29971,-3.5898067449999997,-3.8348447762539952,0.9072843856855782,-0.5469331943104364,5,False,False,True,train_no_cost_net_pnl_not_positive;validation_no_cost_net_pnl_not_positive;oos_no_cost_net_pnl_not_positive;oos_cost_aware_net_pnl_negative;oos_funding_adjusted_net_pnl_negative;oos_largest_symbol_pnl_share_over_0p7
original_all,v3_ensemble_core,True,True,True,All V3 extended trades.,502,1.2276600000000144,0.17144016000001416,-0.8391949684102095,332,-0.568889999999989,-1.6080966749999879,-2.3641054761701508,320,-5.184369999999992,-6.3959871349999915,-6.853084781268253,0.5283533907545922,-1.3317262918478354,5,False,False,True,validation_no_cost_net_pnl_not_positive;oos_no_cost_net_pnl_not_positive;oos_cost_aware_net_pnl_negative;oos_funding_adjusted_net_pnl_negative
keep_trend_friendly,v3_ensemble_core,True,True,True,Keep trades whose completed daily regime is trend_friendly.,28,-0.6194299999999984,-0.6706466649999986,-0.6872252822130223,2,0.05777,0.054518975000000004,0.0535331396314208,0,0.0,0.0,,,,0,False,True,False,train_no_cost_net_pnl_not_positive;oos_no_cost_net_pnl_not_positive;validation_ext_trade_count_under_10;oos_ext_trade_count_under_10;oos_largest_symbol_pnl_share_over_0p7;oos_top_5pct_trade_pnl_contribution_over_0p8;oos_not_enough_active_symbols
exclude_hostile_chop_overheated,v3_ensemble_core,True,True,True,"Drop trend_hostile, high_vol_chop, and funding_overheated trades.",427,3.356010000000016,2.5147181950000164,1.748358820489449,298,-0.839339999999988,-1.740312739999988,-2.403468835077798,319,-5.183249999999992,-6.394735294999991,-6.851778760064041,0.5284568217612203,-1.331986991965085,5,False,False,True,validation_no_cost_net_pnl_not_positive;oos_no_cost_net_pnl_not_positive;oos_cost_aware_net_pnl_negative;oos_funding_adjusted_net_pnl_negative
keep_trend_friendly_exclude_funding_overheated,v3_ensemble_core,True,True,True,Keep trend_friendly trades and drop funding_overheated.,28,-0.6194299999999984,-0.6706466649999986,-0.6872252822130223,2,0.05777,0.054518975000000004,0.0535331396314208,0,0.0,0.0,,,,0,False,True,False,train_no_cost_net_pnl_not_positive;oos_no_cost_net_pnl_not_positive;validation_ext_trade_count_under_10;oos_ext_trade_count_under_10;oos_largest_symbol_pnl_share_over_0p7;oos_top_5pct_trade_pnl_contribution_over_0p8;oos_not_enough_active_symbols
exclude_funding_overheated,v3_ensemble_core,True,True,True,Drop funding_overheated trades only.,493,1.104710000000015,0.07143094500001457,-0.8474585450011198,329,-0.5345399999999885,-1.5516894999999875,-2.2785015018369323,320,-5.184369999999992,-6.3959871349999915,-6.853084781268253,0.5283533907545922,-1.3317262918478354,5,False,False,True,validation_no_cost_net_pnl_not_positive;oos_no_cost_net_pnl_not_positive;oos_cost_aware_net_pnl_negative;oos_funding_adjusted_net_pnl_negative
