datetime,split,number_of_symbols_above_ema50_1d,number_of_symbols_above_ema200_1d,ema50_ema200_breadth,average_ema_spread_pct,median_ema_spread_pct,strong_trend_symbol_count,trend_efficiency_mean,trend_efficiency_median,trend_efficiency_dispersion,average_pairwise_correlation_20d,average_pairwise_correlation_60d,return_dispersion_20d,return_dispersion_60d,market_breadth_return_20d,market_breadth_return_60d,average_atr_pct,median_atr_pct,atr_pct_dispersion,realized_volatility_mean,realized_volatility_dispersion,high_vol_symbol_count,low_vol_symbol_count,average_drawdown_from_60d_high,max_symbol_drawdown_from_60d_high,rebound_breadth,symbols_near_60d_high_count,average_funding_rate,median_funding_rate,funding_dispersion,positive_funding_symbol_count,negative_funding_symbol_count,extreme_positive_funding_count,extreme_negative_funding_count,funding_trend_7d,funding_trend_30d
2023-09-14 23:59:00+08:00,train_ext,0,1,2,-0.013032444226686802,-0.011767793060330038,0,0.08801831811776899,0.09327846364883348,0.049395662867777294,0.7290876690874184,0.47761452588802156,0.0343856668076083,0.07090081834240847,2,0,0.03868238914727819,0.03528050896471952,0.013216662629749869,0.020176761825861363,0.004587233908895912,0,5,-0.21618240104157946,-0.2979566150884726,2,0,-1.7995232094386668e-05,-1.894710845546667e-05,4.000465007732277e-05,2,3,0,0,-1.4057983628953334e-05,-7.162697284328668e-05
2023-09-15 23:59:00+08:00,train_ext,0,0,2,-0.014396611737388829,-0.013351731662258762,0,0.09762038655898995,0.08469807564698102,0.04650376291710502,0.7118592418998826,0.4805956066843575,0.03559175348420672,0.07887594442947347,2,0,0.03671740927206792,0.033579506115855105,0.013418843307661577,0.0202841830432792,0.004502715429126637,0,5,-0.21422522748100947,-0.2836874051593322,2,0,-5.074608253803999e-05,-2.0299070469900003e-05,6.356910449068274e-05,1,4,0,0,-5.9756838007133326e-05,-0.00015841381960970664
2023-09-16 23:59:00+08:00,train_ext,0,0,2,-0.015625534231985972,-0.01435442200818417,0,0.10398484665904487,0.06179775280898903,0.06116580432492107,0.7137842171805433,0.49166119025148325,0.04092053543590291,0.059918677277832066,2,0,0.036499660358720376,0.03195035053442137,0.01379592188180614,0.020246338934373755,0.004337489968177037,0,5,-0.2097191952263655,-0.28072837632776926,3,0,1.687996805468667e-05,2.4242378969633336e-05,5.492669362828957e-05,4,1,0,0,5.369335577728001e-05,-8.555512677587332e-05
2023-09-17 23:59:00+08:00,train_ext,0,0,2,-0.016979401087961265,-0.015546091846285078,0,0.09803591249505109,0.06775125437129376,0.050673504598109924,0.7120980958262776,0.4901273513955222,0.03687960055989262,0.061739000115380145,2,0,0.036273410108978284,0.03208525345622122,0.013348871071582639,0.02025335862399561,0.004324019749689742,0,5,-0.20251301972240712,-0.26129773072282114,3,0,-3.992818372370666e-05,-3.1753651016000018e-06,7.294646549744722e-05,2,3,0,0,-9.042781742439986e-06,2.626260227116667e-05
2023-09-18 23:59:00+08:00,train_ext,2,2,2,-0.016801698981869232,-0.01591585317852662,0,0.19118041262287688,0.17611836177077658,0.10047762379771452,0.6632483689132691,0.5856161654570436,0.05683669705704643,0.04529551308232677,1,0,0.03694856640848166,0.03268086080586083,0.012299919081491032,0.01999417693358358,0.005987219830232088,0,5,-0.16434447547559522,-0.22354131797127397,4,0,-3.8675938393233336e-05,-1.3207669222199999e-05,8.404029102927485e-05,2,3,0,0,2.7590775685040002e-05,-2.5998416571633333e-05
2023-09-19 23:59:00+08:00,train_ext,2,2,2,-0.01637936634697586,-0.01645883031118826,0,0.18131169159652666,0.12686567164179058,0.1704304553182088,0.6630278449533724,0.6295300155704339,0.0721331728206458,0.04012360402857933,2,0,0.03654733894020684,0.03164556962025319,0.01128109608402279,0.019343796524646142,0.005841469145972079,0,4,-0.15439186771530447,-0.2164182009263944,4,0,-9.871706423406666e-06,-1.6241907287999998e-05,2.9979447254725228e-05,1,4,0,0,1.1685954884799999e-05,5.502938682435333e-05
2023-09-20 23:59:00+08:00,train_ext,2,2,2,-0.01662101611923729,-0.017236496583552263,0,0.19545723641360474,0.17322151532677912,0.18164971530494486,0.6647548183605407,0.6321099088566627,0.07615417377640642,0.039831873691096815,2,0,0.03645743337064174,0.03210272873194223,0.009983830662044741,0.019322851448485178,0.0055876293623742,0,4,-0.15406181944478423,-0.21388012618296526,3,0,-2.9612651142960003e-05,-3.4689887237100005e-05,7.950450974405272e-05,1,4,0,0,-1.749476199716667e-05,1.7901085837673334e-05
2023-09-21 23:59:00+08:00,train_ext,1,1,2,-0.017498833299457037,-0.016116066643423993,0,0.1728888424991947,0.14449810729669732,0.12344715720510192,0.6628128851801869,0.6382296709676828,0.06107692584354088,0.030468812743656797,3,0,0.038593646355961984,0.03220947746495194,0.011336258871479335,0.018582515884095718,0.005887432114700864,0,4,-0.17231833598146593,-0.22284762961788485,3,0,-2.1891971206426666e-05,-2.1591113739866664e-05,4.426421793949355e-05,2,3,0,0,-3.8967391120399985e-06,-3.0753399494379995e-05
2023-09-22 23:59:00+08:00,train_ext,1,2,2,-0.018128140204038252,-0.014505272237413531,0,0.172921034689371,0.139394848899811,0.12599155297484785,0.6599421381281066,0.6573949993704448,0.06170722779325181,0.032010686649031436,2,0,0.03838409694154356,0.031881533101045315,0.01262021277353003,0.018581681209029716,0.005899885239896282,0,4,-0.17197206771792675,-0.22863485016648166,3,0,1.4727740665573334e-05,7.707005903066665e-06,4.382622212395684e-05,3,2,0,0,6.547382320361332e-05,1.7406810422013334e-05
2023-09-23 23:59:00+08:00,train_ext,1,1,2,-0.018646886786195728,-0.011980350109154398,0,0.17212539788063083,0.132300579758775,0.14462946589496106,0.6532733637391456,0.669060764018673,0.06935139328396714,0.0510362047247509,2,0,0.039635585055471864,0.03303425774877654,0.013728312086387313,0.018621568509033508,0.005942100401187276,0,4,-0.17001249526080725,-0.23418423973362934,3,0,7.204424097626667e-06,2.1394486197133337e-05,4.690007054088215e-05,4,1,0,0,-9.675543957060003e-06,2.1825466278773332e-05
2023-09-24 23:59:00+08:00,train_ext,1,1,2,-0.01885583596578707,-0.009021377165014104,0,0.17029995615997134,0.11570247933884335,0.15724676025808054,0.6525602627040602,0.675175824684185,0.07521537713056525,0.06232467476479398,3,0,0.03754014691923922,0.028490193802947678,0.012997772598379566,0.018678662691047822,0.006001794355800331,0,4,-0.1637932415726652,-0.22645473283653084,3,0,-3.2582680586333322e-06,1.0207139265966666e-05,4.351045247974533e-05,4,1,0,0,3.666991566507333e-05,3.9129726482740004e-05
2023-09-25 23:59:00+08:00,train_ext,1,1,2,-0.019140723697487278,-0.00505450672136664,0,0.22932844627601753,0.1585518102372045,0.1542791741622519,0.6447499169434693,0.6703889810290756,0.0971444583067362,0.06118293180573725,2,0,0.03640945275656091,0.02781030444964873,0.012572262393559809,0.018319720907071457,0.005646341730625869,0,4,-0.1585206102262796,-0.2302839116719243,2,0,2.3999042686600008e-06,-4.882822076033334e-06,2.999256002387743e-05,2,3,0,0,4.1075842661893336e-05,3.546394991829333e-05
