policy_name,base_policy_name,atr_mult,timeframe,direction,volume,contract_size,entry_time,entry_price,exit_time,exit_price,exit_reason,holding_minutes,gross_pnl,fee,slippage,net_pnl,no_cost_net_pnl,r_multiple,mfe,mae,size,entry_signal_time,exit_signal_time,used_htf_bar_time,entry_atr,initial_risk
tf_1h_donchian_20_10_atr3,tf_1h_donchian_20_10,3.0,1h,long,0.01,0.01,2026-03-01T10:14:00+08:00,67198.9,2026-03-01T20:14:00+08:00,66030.3,atr_trailing_stop,600.0,-0.11685999999999913,0.00666146,4e-05,-0.12356145999999912,-0.11685999999999913,-0.5649095712545555,0.16787000000000118,0.13240999999999914,0.01,2026-03-01T09:59:00+08:00,2026-03-01T19:59:00+08:00,2026-03-01T09:59:00+08:00,729.0928571428574,0.2187278571428572
tf_1h_donchian_20_10_atr3,tf_1h_donchian_20_10,3.0,1h,short,0.01,0.01,2026-03-02T22:14:00+08:00,65191.5,2026-03-03T00:14:00+08:00,69181.8,atr_trailing_stop,120.0,-0.39903000000000033,0.006718665,4e-05,-0.4057886650000003,-0.39903000000000033,-2.0530371827952294,0.00385,0.4577899999999994,0.01,2026-03-02T21:59:00+08:00,2026-03-02T23:59:00+08:00,2026-03-02T21:59:00+08:00,658.8428571428589,0.19765285714285763
tf_1h_donchian_20_10_atr3,tf_1h_donchian_20_10,3.0,1h,long,0.01,0.01,2026-03-03T01:14:00+08:00,68438.9,2026-03-03T15:14:00+08:00,67451.1,donchian_exit,840.0,-0.09877999999999884,0.006794500000000001,4e-05,-0.10561449999999883,-0.09877999999999884,-0.36588669066973006,0.04987000000000116,0.12451999999999971,0.01,2026-03-03T00:59:00+08:00,2026-03-03T14:59:00+08:00,2026-03-03T00:59:00+08:00,962.1785714285741,0.28865357142857223
tf_1h_donchian_20_10_atr3,tf_1h_donchian_20_10,3.0,1h,long,0.01,0.01,2026-03-04T17:14:00+08:00,72220.9,2026-03-05T13:14:00+08:00,71977.4,donchian_exit,1200.0,-0.02435,0.007209915,4e-05,-0.031599915,-0.02435,-0.31687962266583497,0.22791000000000058,0.27697999999999884,0.01,2026-03-04T16:59:00+08:00,2026-03-05T12:59:00+08:00,2026-03-04T16:59:00+08:00,332.4071428571437,0.0997221428571431
tf_1h_donchian_20_10_atr3,tf_1h_donchian_20_10,3.0,1h,short,0.01,0.01,2026-03-06T21:14:00+08:00,69048.7,2026-03-09T20:14:00+08:00,68231.3,atr_trailing_stop,4260.0,0.08173999999999942,0.006864000000000001,4e-05,0.07483599999999943,0.08173999999999942,0.18829711903092958,0.38265000000000005,0.1424800000000003,0.01,2026-03-06T20:59:00+08:00,2026-03-09T19:59:00+08:00,2026-03-06T20:59:00+08:00,1324.7857142857101,0.39743571428571306
tf_1h_donchian_20_10_atr3,tf_1h_donchian_20_10,3.0,1h,long,0.01,0.01,2026-03-09T22:14:00+08:00,69494.9,2026-03-10T08:14:00+08:00,67452.5,donchian_exit,600.0,-0.20423999999999942,0.00684737,4e-05,-0.21112736999999943,-0.20423999999999942,-0.5663884682820263,0.05883000000000029,0.24792999999999885,0.01,2026-03-09T21:59:00+08:00,2026-03-10T07:59:00+08:00,2026-03-09T21:59:00+08:00,1242.5357142857122,0.3727607142857137
tf_1h_donchian_20_10_atr3,tf_1h_donchian_20_10,3.0,1h,long,0.01,0.01,2026-03-10T13:14:00+08:00,69571.4,2026-03-11T21:14:00+08:00,68476.6,donchian_exit,1920.0,-0.10947999999999884,0.0069024,4e-05,-0.11642239999999884,-0.10947999999999884,-0.27806016312590026,0.27429000000000087,0.1799699999999997,0.01,2026-03-10T12:59:00+08:00,2026-03-11T20:59:00+08:00,2026-03-10T12:59:00+08:00,1395.6500000000003,0.4186950000000001
tf_1h_donchian_20_10_atr3,tf_1h_donchian_20_10,3.0,1h,long,0.01,0.01,2026-03-12T06:14:00+08:00,72177.1,2026-03-14T15:14:00+08:00,70720.3,atr_trailing_stop,3420.0,-0.1456800000000003,0.007144870000000001,4e-05,-0.15286487000000032,-0.1456800000000003,-0.40077157362307403,0.26027999999999885,0.36095,0.01,2026-03-12T05:59:00+08:00,2026-03-14T14:59:00+08:00,2026-03-12T05:59:00+08:00,1271.4214285714272,0.38142642857142817
tf_1h_donchian_20_10_atr3,tf_1h_donchian_20_10,3.0,1h,long,0.01,0.01,2026-03-16T12:14:00+08:00,73569.3,2026-03-18T20:14:00+08:00,72554.1,atr_trailing_stop,3360.0,-0.10151999999999971,0.007306170000000002,4e-05,-0.1088661699999997,-0.10151999999999971,-0.3214724029124156,0.2655199999999997,0.1136,0.01,2026-03-16T11:59:00+08:00,2026-03-18T19:59:00+08:00,2026-03-16T11:59:00+08:00,1128.8285714285719,0.3386485714285716
tf_1h_donchian_20_10_atr3,tf_1h_donchian_20_10,3.0,1h,short,0.01,0.01,2026-03-18T21:14:00+08:00,72218.8,2026-03-20T17:14:00+08:00,70804.1,donchian_exit,2640.0,0.1414699999999997,0.007151145,4e-05,0.1342788549999997,0.1414699999999997,0.4871492203918646,0.3441400000000009,0.02938999999999942,0.01,2026-03-18T20:59:00+08:00,2026-03-20T16:59:00+08:00,2026-03-18T20:59:00+08:00,918.80714285714,0.275642142857142
tf_1h_donchian_20_10_atr3,tf_1h_donchian_20_10,3.0,1h,short,0.01,0.01,2026-03-22T08:14:00+08:00,68654.4,2026-03-23T14:14:00+08:00,68574.9,donchian_exit,1800.0,0.00795,0.006861464999999999,4e-05,0.0010485350000000015,0.00795,0.007935073920916849,0.2064699999999997,0.08661000000000059,0.01,2026-03-22T07:59:00+08:00,2026-03-23T13:59:00+08:00,2026-03-22T07:59:00+08:00,440.4642857142826,0.1321392857142848
