policy_name,month,trade_count,long_count,short_count,gross_pnl,net_pnl,no_cost_net_pnl,fee_total,slippage_total,win_rate,profit_factor,avg_win,avg_loss,avg_trade_net_pnl,median_trade_net_pnl,max_drawdown,max_ddpercent,return_drawdown_ratio,sharpe_like,avg_holding_minutes,median_holding_minutes,top_5pct_trade_pnl_contribution,best_trade,worst_trade,cost_drag
tf_1h_donchian_55_20_atr3,2026-02,9,3,6,0.614519999999997,0.5519732999999968,0.614519999999997,0.0621867,0.00036,0.4444444444444444,1.9876656689120586,0.27770996124999936,-0.11177330900000013,0.06133036666666631,-0.034588925,0.5546950299994933,0.01109156557672979,0.9950932857655151,0.64745996703097,2266.6666666666665,1680.0,1.4051367792608884,0.7755979849999997,-0.2071363950000003,0.06254670000000018
tf_1h_donchian_55_20_atr3,2026-03,11,5,6,-1.1038800000000004,-1.1804596700000003,-1.1038800000000004,0.07613966999999999,0.00044,0.09090909090909091,0.10213350597602644,0.1342788549999997,-0.13147385250000002,-0.10731451545454548,-0.11684616499999971,1.1804596700003458,0.023609193400006917,-0.9999999999997073,-3.7913215012146746,2138.181818181818,1860.0,-0.11375132790432363,0.1342788549999997,-0.23068011500000088,0.07657966999999988
tf_1h_donchian_55_20_atr4,2026-01,8,4,4,-1.0574599999999992,-1.1310261099999992,-1.0574599999999992,0.07324611,0.00032,0.125,0.07154552238763466,0.08715543500000088,-0.174025935,-0.1413782637499999,-0.14212485000000014,1.131026109999766,0.022620522199995323,-1.000000000000206,-2.8603764989587748,1852.5,2010.0,-0.07705872943994276,0.08715543500000088,-0.37872991,0.07356611000000002
tf_1h_donchian_55_20_atr4,2026-02,9,3,6,0.3094399999999996,0.24681386999999932,0.3094399999999996,0.062266129999999996,0.00036,0.3333333333333333,1.2860969760460794,0.3698356366666664,-0.1437821733333333,0.027423763333333257,-0.07607443999999972,0.8626930399996127,0.01725022923993536,0.28609697604620776,0.27036399337297995,2453.3333333333335,1800.0,3.1424408401359365,0.7755979849999997,-0.22183250000000002,0.06262613000000028
tf_1h_donchian_55_20_atr4,2026-03,11,5,6,-1.3014500000000002,-1.377988615,-1.3014500000000002,0.07609861500000001,0.00044,0.09090909090909091,0.016911102242706793,0.02370416999999942,-0.14016927849999994,-0.12527169227272728,-0.13493766000000001,1.3779886149995946,0.027559772299991892,-1.0000000000002942,-5.17346758329813,2230.909090909091,2160.0,-0.017202007144303887,0.02370416999999942,-0.28843897999999973,0.07653861499999981
tf_1h_donchian_55_20_atr5,2026-01,7,3,4,-0.8716199999999997,-0.9359770899999998,-0.8716199999999997,0.06407709,0.00028000000000000003,0.2857142857142857,0.11931294942984848,0.06340174250000015,-0.21255611500000002,-0.13371101285714285,-0.13083995999999973,1.0627805750000334,0.021255072456548386,-0.880687050570124,-2.2068711193401302,2340.0,2100.0,-0.09311706016223206,0.08715543500000088,-0.37872991,0.06435709000000012
tf_1h_donchian_55_20_atr5,2026-02,7,3,4,1.116779999999999,1.068293999999999,1.116779999999999,0.048206000000000006,0.00028000000000000003,0.2857142857142857,2.7675421644645715,0.8363445999999998,-0.12087904000000013,0.15261342857142843,-0.0631908850000003,0.604395199999999,0.012083862368254114,1.7675421644645766,0.6463288335612154,3402.8571428571427,2220.0,1.5654175021108439,1.672326125,-0.2071363950000003,0.04848600000000003
tf_1h_donchian_55_20_atr5,2026-03,11,5,6,-1.4532699999999998,-1.5297327049999998,-1.4532699999999998,0.076022705,0.00044,0.09090909090909091,0.015259178136864707,0.02370416999999942,-0.1553436874999999,-0.13906660954545452,-0.14037214000000003,1.5297327050002423,0.030594654100004844,-0.9999999999998415,-5.156391255815425,2252.7272727272725,2160.0,-0.01549562869547162,0.02370416999999942,-0.28843897999999973,0.07646270499999996
tf_1h_donchian_55_with_risk_filters_atr3,2026-01,2,0,2,-0.39601999999999976,-0.4141999399999997,-0.39601999999999976,0.018099940000000002,8e-05,0.0,0.0,,-0.20709996999999986,-0.20709996999999986,-0.20709996999999986,0.41419993999988947,0.00828399879999779,-1.0000000000002662,-1.7064830666552742,1260.0,1260.0,0.08563504379068652,-0.03547002999999971,-0.37872991,0.01817993999999995
tf_1h_donchian_55_with_risk_filters_atr4,2026-01,2,0,2,-0.39601999999999976,-0.4141999399999997,-0.39601999999999976,0.018099940000000002,8e-05,0.0,0.0,,-0.20709996999999986,-0.20709996999999986,-0.20709996999999986,0.41419993999988947,0.00828399879999779,-1.0000000000002662,-1.7064830666552742,1260.0,1260.0,0.08563504379068652,-0.03547002999999971,-0.37872991,0.01817993999999995
