group,event_group,hold,split,trade_count,no_cost_pnl,cost_aware_pnl,funding_pnl,funding_adjusted_pnl,avg_gross_return,win_rate
C,top30_score_events,hold_1d,train_ext,3256,2820.694079366058,-3691.305920633942,-45.84945478746781,-3737.155375421411,0.0008663065354318357,0.48402948402948404
C,top30_score_events,hold_1d,validation_ext,2388,-2686.0923702157365,-7462.092370215735,-53.3590613114805,-7515.451431527216,-0.0011248293007603588,0.4656616415410385
C,top30_score_events,hold_3d,oos_ext,2159,15660.418117233467,11342.418117233468,-146.53428890716393,11195.883828326305,0.007253551698579651,0.5321908290875406
C,top30_score_events,hold_3d,train_ext,3256,-8413.530974294976,-14925.530974294972,-129.33490250032887,-15054.865876795306,-0.002584008284488629,0.5128992628992629
C,top30_score_events,hold_3d,validation_ext,2388,-3920.293591453167,-8696.293591453166,-93.32011621215531,-8789.613707665321,-0.0016416639830205888,0.4715242881072027
C,top30_score_events,hold_4h,oos_ext,2159,88.53697290493528,-4229.463027095065,-24.8852451841701,-4254.348272279234,4.100832464332371e-05,0.42473367299675774
C,top30_score_events,hold_4h,train_ext,3256,-1328.1467676621592,-7840.14676766216,-21.572224261103706,-7861.718991923263,-0.00040790748392572463,0.41615479115479115
C,top30_score_events,hold_4h,validation_ext,2388,-165.68423913076845,-4941.684239130769,-48.6615621430837,-4990.345801273852,-6.938200968625154e-05,0.435929648241206
C,top30_score_events,hold_8h,oos_ext,2159,578.90329436095,-3739.096705639051,-33.529834013897904,-3772.626539652949,0.0002681349209638484,0.4534506716072256
C,top30_score_events,hold_8h,train_ext,3256,2018.2711419853788,-4493.7288580146205,-30.615084048887418,-4524.343942063509,0.0006198621443444038,0.44471744471744473
C,top30_score_events,hold_8h,validation_ext,2388,-1623.328500399304,-6399.328500399304,-52.3898538565866,-6451.7183542558905,-0.0006797858041873132,0.44430485762144056
D,random_score_matched_control,hold_1d,oos_ext,1461,4455.441832206625,1533.4418322066235,-101.081670258558,1432.360161948066,0.003049583731832049,0.4976043805612594
D,random_score_matched_control,hold_1d,train_ext,2171,9657.348130595332,5315.348130595333,-218.0494254751122,5097.298705120221,0.004448340916902501,0.4896361123906034
D,random_score_matched_control,hold_1d,validation_ext,1587,4871.671906642149,1697.6719066421497,-154.4507778599054,1543.221128782245,0.0030697365511292694,0.48267170762444866
