feature,bin,count,min,max,median_future_return_60m,mean_future_return_60m,positive_rate_60m,median_mfe_atr,median_mae_atr,stop_first_rate,tp_first_rate,meets_min_count
lower_wick_ratio,5,1057,0.6280400572246143,1.0,-0.0004769332925787,-0.00048189140187290374,0.42857142857142855,1.5937121692654437,2.5728856375432887,0.7521286660359509,0.2336802270577105,True
body_ratio,1,1058,0.0,0.12798471824261534,-0.0005074336799871,-0.0006297387613824365,0.43289224952741023,2.0153633068163206,2.726148244053415,0.7155009451795841,0.27032136105860116,True
body_ratio,2,1057,0.12799532437167407,0.29639519359141064,-0.0004753226032112,-0.0005176944521587554,0.43519394512771997,2.3342522451140333,2.733261952003647,0.6991485335856197,0.29422894985808895,True
body_ratio,3,1057,0.2964205816555003,0.5093928668663337,-0.0002427833672819,-0.0004947133752956658,0.45789971617786185,2.7931538792715043,2.9820649241537387,0.6357615894039735,0.3576158940397351,True
body_ratio,4,1057,0.5097001763670231,0.7685185185185289,-0.0005209906974806,-0.0008151480206274205,0.44938505203405865,2.8838577053170766,3.2013021772524506,0.6556291390728477,0.336802270577105,True
body_ratio,5,1057,0.768637532133728,1.0,-0.0013377264751509,-0.0027728114319411842,0.36423841059602646,2.5409143735832447,4.188243306409077,0.67360454115421,0.3169347209082308,True
range_atr,1,1059,0.0,0.6431829704770093,-0.0003817134588642,-0.0009685132288448058,0.4485363550519358,2.9069725379827918,3.2776411754844808,0.6326723323890463,0.3559962228517469,True
range_atr,2,1059,0.6432133968349579,0.9063169662404641,-0.0002803218868562,-0.0005675958969333025,0.46175637393767704,2.320589850297995,2.7424019957273655,0.6902738432483475,0.29650613786591123,True
range_atr,3,1059,0.906670107673869,1.1376372710798985,-0.0003070555669449,-0.00037097935970077444,0.45986779981114256,1.8406143074606065,2.546772512742459,0.7271010387157696,0.25684608120868746,True
range_atr,4,1059,1.1376601541559705,1.7023032528853337,-0.000636043480965,-0.0005062849156967266,0.4202077431539188,2.4985944760184475,2.9560991586300798,0.7101038715769594,0.28611898016997167,True
range_atr,5,1059,1.7044937469074621,67.51238839571012,-0.001765065701715,-0.0028249672112684297,0.34749763928234184,3.157730920433893,4.348375974405343,0.6213408876298395,0.37865911237016053,True
