feature,target,count,spearman,abs_spearman
volume_zscore_30m,mfe_atr,5295,0.05357998929528435,0.05357998929528435
volume_zscore_30m,mae_atr,5295,0.08175616043111282,0.08175616043111282
upper_wick_ratio,future_return_15m,5286,0.05451581883435143,0.05451581883435143
upper_wick_ratio,future_return_30m,5286,0.057669320468737816,0.057669320468737816
upper_wick_ratio,future_return_60m,5286,0.04962524542034511,0.04962524542034511
upper_wick_ratio,future_return_120m,5286,0.04579111731436936,0.04579111731436936
upper_wick_ratio,mfe_atr,5286,0.05959783223062473,0.05959783223062473
upper_wick_ratio,mae_atr,5286,-0.056754751940748756,0.056754751940748756
lower_wick_ratio,future_return_15m,5286,0.07354115642710488,0.07354115642710488
lower_wick_ratio,future_return_30m,5286,0.0697399146719745,0.0697399146719745
lower_wick_ratio,future_return_60m,5286,0.059758648773252175,0.059758648773252175
lower_wick_ratio,future_return_120m,5286,0.0556035227388665,0.0556035227388665
lower_wick_ratio,mfe_atr,5286,-0.06058352256404102,0.06058352256404102
lower_wick_ratio,mae_atr,5286,-0.13069202127749643,0.13069202127749643
body_ratio,future_return_15m,5286,-0.10412884997187127,0.10412884997187127
body_ratio,future_return_30m,5286,-0.0961333916575935,0.0961333916575935
body_ratio,future_return_60m,5286,-0.07825554674108721,0.07825554674108721
body_ratio,future_return_120m,5286,-0.07014351647661149,0.07014351647661149
body_ratio,mfe_atr,5286,0.036384808110480546,0.036384808110480546
body_ratio,mae_atr,5286,0.14629070528056842,0.14629070528056842
range_atr,future_return_15m,5295,-0.09996120919406612,0.09996120919406612
range_atr,future_return_30m,5295,-0.11359544647365102,0.11359544647365102
range_atr,future_return_60m,5295,-0.10601623973618225,0.10601623973618225
range_atr,future_return_120m,5295,-0.08560232849588073,0.08560232849588073
range_atr,mfe_atr,5295,-0.007868082008361853,0.007868082008361853
range_atr,mae_atr,5295,0.08268497796649199,0.08268497796649199
