split,policy_name,policy_family,timeframe,regime_at_entry,trade_count,aligned_trade_count,net_pnl,no_cost_pnl,avg_net_pnl,avg_no_cost_pnl,positive_trade_count,negative_trade_count,win_rate,positive_pnl_sum,loss_abs_sum
oos_ext,v3_4h_ema_50_200_atr4,4h_ema,4h,weak_downtrend,180,180,-1.491158019999992,-0.8650799999999929,-0.008284211222222178,-0.0048059999999999605,34,146,0.18888888888888888,5.71080143,7.201959449999993
oos_ext,v3_4h_ema_50_200_atr4,4h_ema,4h,weak_uptrend,74,74,-2.021123310000001,-1.6935200000000006,-0.027312477162162174,-0.02288540540540541,12,62,0.16216216216216217,2.0321423349999987,4.053265645
oos_ext,v3_4h_vol_compression_donchian_breakout,4h_donchian,4h,choppy,41,0,-2.579925965000002,-2.436110000000002,-0.06292502353658541,-0.05941731707317078,14,27,0.34146341463414637,1.236512559999999,3.8164385250000015
oos_ext,v3_4h_vol_compression_donchian_breakout,4h_donchian,4h,compression,2,0,0.1974251599999996,0.21111999999999959,0.0987125799999998,0.10555999999999979,2,0,1.0,0.1974251599999996,0.0
oos_ext,v3_4h_vol_compression_donchian_breakout,4h_donchian,4h,high_vol_choppy,3,0,0.3799850249999998,0.3985499999999999,0.12666167499999995,0.13284999999999997,2,1,0.6666666666666666,0.4257042499999998,0.045719225
oos_ext,v3_4h_vol_compression_donchian_breakout,4h_donchian,4h,weak_downtrend,23,23,-1.860861459999999,-1.785519999999999,-0.08090701999999995,-0.07763130434782604,7,16,0.30434782608695654,0.4275194749999997,2.288380934999999
oos_ext,v3_4h_vol_compression_donchian_breakout,4h_donchian,4h,weak_uptrend,10,10,0.27357049500000147,0.3122500000000016,0.027357049500000147,0.03122500000000016,4,6,0.4,1.1343990150000003,0.8608285199999989
oos_ext,v3_ensemble_core,ensemble,1d,weak_downtrend,1,0,-0.0413185,-0.04,-0.0413185,-0.04,0,1,0.0,0.0,0.0413185
oos_ext,v3_ensemble_core,ensemble,4h,choppy,46,0,-2.6104619499999995,-2.42028,-0.05674917282608694,-0.052614782608695655,11,35,0.2391304347826087,1.0187719000000004,3.6292338500000003
oos_ext,v3_ensemble_core,ensemble,4h,compression,5,0,-0.0316716499999999,-0.015899999999999897,-0.00633432999999998,-0.0031799999999999793,2,3,0.4,0.05893875,0.0906103999999999
oos_ext,v3_ensemble_core,ensemble,4h,high_vol_choppy,22,0,-0.11349693999999946,-0.032559999999999305,-0.005158951818181794,-0.0014799999999999683,7,15,0.3181818181818182,1.399453885,1.5129508249999992
oos_ext,v3_ensemble_core,ensemble,4h,strong_downtrend,1,1,-0.010897965,-0.01077,-0.010897965,-0.01077,0,1,0.0,0.0,0.010897965
oos_ext,v3_ensemble_core,ensemble,4h,strong_uptrend,1,1,-0.6200092149999998,-0.6164299999999998,-0.6200092149999998,-0.6164299999999998,0,1,0.0,0.0,0.6200092149999998
oos_ext,v3_ensemble_core,ensemble,4h,weak_downtrend,173,173,-1.1268967349999917,-0.5275899999999922,-0.006513853959537524,-0.0030496531791907064,34,139,0.19653179190751446,5.54182776,6.668724494999992
oos_ext,v3_ensemble_core,ensemble,4h,weak_uptrend,71,71,-1.8412341800000007,-1.5208400000000002,-0.0259328757746479,-0.021420281690140847,12,59,0.16901408450704225,2.0321423349999987,3.8733765149999995
train_ext,v3_1d_donchian_20_10_atr4,1d_donchian,1d,choppy,20,0,-1.477052689999999,-1.4475199999999986,-0.07385263449999994,-0.07237599999999993,9,11,0.45,0.5917100199999998,2.0687627099999992
train_ext,v3_1d_donchian_20_10_atr4,1d_donchian,1d,compression,2,0,-0.10705098,-0.10475999999999999,-0.05352549,-0.052379999999999996,0,2,0.0,0.0,0.10705098
train_ext,v3_1d_donchian_20_10_atr4,1d_donchian,1d,high_vol_choppy,3,0,-0.8443078699999998,-0.8376999999999998,-0.2814359566666666,-0.2792333333333333,0,3,0.0,0.0,0.8443078699999998
