scope,group,session_type,timeframe,direction,horizon,event_count,mean_future_return,median_future_return,reversal_rate,mean_mfe,mean_mae,mean_mfe_mae_ratio,horizon_path_note
core_session_breakout,B+C,core_session_breakout,15m,short,16,1627,-0.008140792728974968,-0.0024117588241177,0.5906576521204672,,,,
core_session_breakout,B+C,core_session_breakout,15m,short,32,1625,-0.008427467263421197,-0.0018288100208767,0.556923076923077,,,,
core_session_breakout,B+C,core_session_breakout,1h,long,4,398,-0.006462722929502246,-0.00337156757504865,0.6432160804020101,,,,
core_session_breakout,B+C,core_session_breakout,1h,long,8,398,-0.005557451907387564,-0.00352001744424275,0.585427135678392,,,,
core_session_breakout,B+C,core_session_breakout,1h,long,16,398,-0.004027619386792036,-0.0013470072415720001,0.5276381909547738,,,,
core_session_breakout,B+C,core_session_breakout,1h,long,32,397,0.00017974898936450664,-0.0009497021388746,0.5113350125944585,,,,
core_session_breakout,B+C,core_session_breakout,1h,short,4,333,-0.00986799104820006,-0.00272342420607,0.6186186186186187,,,,
core_session_breakout,B+C,core_session_breakout,1h,short,8,331,-0.012181293586279092,-0.0021771007230124,0.5468277945619335,,,,
core_session_breakout,B+C,core_session_breakout,1h,short,16,331,-0.012662889708170528,-0.0036930476231373,0.5830815709969789,,,,
core_session_breakout,B+C,core_session_breakout,1h,short,32,331,-0.008175601692035317,-0.0038658075983115,0.5830815709969789,,,,
core_session_breakout,B+C,core_session_breakout,30m,long,4,1456,-0.004078876233233105,-0.00119241857039815,0.5638736263736264,,,,
core_session_breakout,B+C,core_session_breakout,30m,long,8,1456,-0.004781951023461349,-0.00180738484250525,0.5693681318681318,,,,
core_session_breakout,B+C,core_session_breakout,30m,long,16,1456,-0.00356433395950655,-0.0020149236373754,0.554945054945055,,,,
core_session_breakout,B+C,core_session_breakout,30m,long,32,1456,-0.002274355751033279,-0.00147062237834625,0.5254120879120879,,,,
core_session_breakout,B+C,core_session_breakout,30m,short,4,1426,-0.007328755264531239,-0.0016680294631752999,0.5813464235624124,,,,
core_session_breakout,B+C,core_session_breakout,30m,short,8,1426,-0.008037553551494287,-0.0019554611028056003,0.5778401122019635,,,,
core_session_breakout,B+C,core_session_breakout,30m,short,16,1424,-0.00889910788859892,-0.00184558367988915,0.5554775280898876,,,,
core_session_breakout,B+C,core_session_breakout,30m,short,32,1424,-0.009398538082193835,-0.0033892554223744,0.5758426966292135,,,,
