policy_name,direction,signal_count,long_count,short_count,overlap_count,median_future_return_60m,mean_future_return_60m,positive_rate_60m,median_mfe_60m,median_mae_60m,median_future_return_120m,mean_future_return_120m,positive_rate_120m,median_mfe_120m,median_mae_120m,median_future_return_240m,mean_future_return_240m,positive_rate_240m,median_mfe_240m,median_mae_240m,median_future_return_480m,mean_future_return_480m,positive_rate_480m,median_mfe_480m,median_mae_480m
htf_1h_15m_structure_with_vol_cap,long,1786,1786,0,11646,-0.00014161043637156423,-9.53372335857054e-05,0.46248600223964165,0.0023266228414358103,0.002812665542470505,-0.00022442671242944856,-8.88242647512374e-05,0.46808510638297873,0.003623767777005349,0.003984238877359325,-0.00046327036584548065,-0.0001931357366000254,0.46248600223964165,0.007452064920192569,0.0060965824931233925,-0.000407006432249446,-0.0003432701232974976,0.4720044792833147,0.013714049586228572,0.010359702863960596
htf_1h_15m_structure_with_vol_cap,short,1152,0,1152,6520,-0.0001272115385885786,-7.553039790127728e-06,0.4791666666666667,0.0028092240572675786,0.003013503297234821,-0.00046746843003764305,-0.0002653010727487282,0.4548611111111111,0.004346606218831206,0.004460308364127252,-0.0007510825538871724,-0.0004476046080789011,0.4470486111111111,0.009463273567851038,0.007102251082251099,-0.0010294152151492098,0.0003234727291895195,0.4704861111111111,0.01569533518825883,0.01112856277297769
htf_1h_ema_15m_donchian_structure,long,2353,2353,0,16331,-0.00045548184687493887,-0.0007554962011814533,0.4445388865278368,0.002570173573202439,0.0032148380944927446,-0.00053849210449608,-0.001013874296907277,0.43646408839779005,0.0039824964062444845,0.004681661751640531,-0.0006343422571520874,-0.0011590930505685105,0.4513387165320867,0.00738546059963352,0.007210433978534603,-0.0007665847665847547,-0.0013500749977757175,0.46196345091372715,0.014140307467567892,0.011215502203858807
htf_1h_ema_15m_donchian_structure,short,1801,0,1801,12283,-0.00039067669650549863,-0.0004249383122311673,0.45308162132148805,0.003290146119692139,0.0037817052950930297,-0.0006273637235291174,-0.0005274439521383968,0.4441976679622432,0.0050294426919033075,0.005338266894073018,-0.0007812751950846408,-0.0008489638488684381,0.44086618545252637,0.009120000000000017,0.0077354277433694385,-0.0016161703601107469,-0.0007059973058752576,0.4430871737923376,0.014960317000178192,0.01139982070224621
htf_1h_ema_15m_ema_structure,long,2739,2739,0,25151,-0.00023267541989502316,-0.00033567207023381466,0.461482292807594,0.002622216941227551,0.0031118003922820936,-0.00037752733577556263,-0.0004024483668564321,0.457101131799927,0.004170230966638044,0.004378273838051894,-0.0005570403380167344,-0.0005433820369822762,0.45673603504928806,0.008191131006165753,0.006817138517905219,-0.0006776367346583712,-0.0007521551667632355,0.46184738955823296,0.014452906698404933,0.011094468565226112
htf_1h_ema_15m_ema_structure,short,1987,0,1987,17416,-0.0002103124569293735,-0.0002502923714217318,0.474584801207851,0.0033839582709165317,0.0035943966626993396,-0.0006096236026944535,-0.00032536771314007853,0.4464016104680423,0.005265044140065456,0.005183587417621149,-0.0008674902617611391,-0.00042389164819557466,0.4423754403623553,0.009942869698967183,0.007818321695691743,-0.0013908526805644916,-0.00013447446892599394,0.4524408656265727,0.015604454057994932,0.011735782785054494
htf_1h_ema_15m_vwap_structure,long,2934,2934,0,29203,-0.00021546570173230917,-0.000261199366515385,0.4669393319700068,0.0026496616964206687,0.0030947296206138564,-0.00032011937722925543,-0.00039175268063978714,0.4652351738241309,0.004085423334201366,0.004333483653142012,-0.000523345877223802,-0.0005381576993104709,0.4570552147239264,0.007773987805758775,0.006728232832277747,-0.0006674264797220664,-0.0007410766030384991,0.4669393319700068,0.014517124379520574,0.011094164722865785
htf_1h_ema_15m_vwap_structure,short,2142,0,2142,20466,-0.00016285164359935989,-0.00010024927201737005,0.4785247432306256,0.0034050893847650254,0.003556464580516172,-0.000566937957383995,-8.428911928512864e-05,0.45284780578898226,0.005154464872762721,0.005108878436010544,-0.0008243682169953304,-0.0001932745828982698,0.4458450046685341,0.00952435004357044,0.007963043216322518,-0.00177572835334322,-0.00021025244698026055,0.4332399626517274,0.015339985746712026,0.011939596775476458
htf_1h_ema_regime_only,long,4623,4623,0,58461,-9.42534036419973e-05,-0.00017083934521184828,0.4808565866320571,0.002618315599746346,0.0030008510755259454,-0.0002298102981029837,-0.0003094476515328569,0.47220419640925804,0.004010873833944384,0.004273162244454065,-0.0003325932384693475,-0.00047149940716431854,0.47306943543153795,0.0074281043599264684,0.006810921355512645,-0.00037322246893756184,-0.0006184352252531152,0.4791261085874973,0.01404447757900118,0.010994173941210827
htf_1h_ema_regime_only,short,3638,0,3638,45766,-9.966272947886656e-05,-0.00011408965914582004,0.4835074216602529,0.0031013985530993216,0.0032197491060541594,-0.00044531398573094405,-0.000222917865035828,0.4557449147883452,0.004622438741530677,0.0047454186548386845,-0.0006067415822785249,-0.00042521240733849915,0.4557449147883452,0.008023406191160265,0.007339822298496224,-0.0013207790829412036,-0.0006734174530350158,0.44942275975810886,0.013967854643919253,0.011580644930985262
