policy_name,hour,signal_count,long_count,short_count,overlap_count,median_future_return_60m,mean_future_return_60m,positive_rate_60m,median_mfe_60m,median_mae_60m,median_future_return_120m,mean_future_return_120m,positive_rate_120m,median_mfe_120m,median_mae_120m,median_future_return_240m,mean_future_return_240m,positive_rate_240m,median_mfe_240m,median_mae_240m,median_future_return_480m,mean_future_return_480m,positive_rate_480m,median_mfe_480m,median_mae_480m
htf_1h_15m_structure_5m_pullback_reclaim_strict,18,27,18,9,35,-0.00047485051002460477,-0.0013452109646537786,0.4444444444444444,0.0016533754755945207,0.002515560757252233,-0.00028797763280519195,-0.0006133021280758326,0.4444444444444444,0.0020906817562980073,0.0029905533473678636,-0.0005027049914557713,0.00014308415183133876,0.37037037037037035,0.006018182144126305,0.006556125773362176,0.002484689784554295,0.0037382467603643338,0.6296296296296297,0.019585526627780236,0.012868837034249125
htf_1h_15m_structure_5m_pullback_reclaim_strict,19,25,15,10,55,-0.000238744826492443,-0.0003263980178555581,0.36,0.0013904956096388865,0.002172247871242594,-0.00035057635514912366,-0.0011451607393960295,0.36,0.0026012082530264546,0.0031602053711681233,-0.0003350515463917958,0.0007715074446241532,0.44,0.007915194346289844,0.0074666510382793705,-0.002021126223614278,-0.001385130537237611,0.4,0.011551867315855224,0.009816286616256775
htf_1h_15m_structure_5m_pullback_reclaim_strict,20,15,10,5,28,-0.0002645938999079611,0.0015082820159675104,0.4666666666666667,0.002782003787650922,0.0031216533369791133,-0.0003539372946820274,-0.0016322152920531,0.4,0.003097339901810603,0.003666480330878241,-0.0025239509023683437,-0.0025204488518451623,0.3333333333333333,0.005055514520535098,0.007636363636363663,-0.0038433922446942104,-0.0013941138195995666,0.26666666666666666,0.009366197183098501,0.013706039249299695
htf_1h_15m_structure_5m_pullback_reclaim_strict,21,14,9,5,19,0.0002342979518054067,-0.0004192814110601636,0.5714285714285714,0.003509568930584628,0.0030600843903633157,0.0005744699771947914,0.0022074698590463754,0.5714285714285714,0.011573613978977715,0.004069187391847584,-0.00018343134725568033,-0.0004099126855420798,0.42857142857142855,0.01751835252092082,0.008129043848142947,-0.0007782951010563144,-9.691674621684474e-05,0.42857142857142855,0.01751835252092082,0.01126507602861665
htf_1h_15m_structure_5m_pullback_reclaim_strict,22,8,4,4,17,-0.0012662191030851089,-0.002428180524372589,0.375,0.002725375260355656,0.002909829057266611,0.0020036513538385092,0.0044397596262165245,0.875,0.0083450369939011,0.009573447352802689,-9.213752843517664e-06,0.000943602536383148,0.5,0.01715460443362915,0.010032521661775928,-0.0019026157691414136,8.249948895615311e-05,0.375,0.01715460443362915,0.010152880330609015
htf_1h_15m_structure_5m_pullback_reclaim_strict,23,6,2,4,9,0.0002784288424718673,0.0036351209691614836,0.5,0.0036464049034217183,0.0019272185781444295,0.0010382643437786276,0.001039105486902614,0.6666666666666666,0.00818884636006656,0.0050885278795285704,0.0003679836660659408,-0.00036181624867975826,0.5,0.009374721428810462,0.005201963689888567,0.0024663028305577095,0.0007297086515087129,0.6666666666666666,0.013517826165816205,0.0061546015955875055
htf_1h_15m_structure_5m_pullback_reclaim_vol_cap,0,24,11,13,34,0.00025246090844377456,0.0007530499171322322,0.625,0.0037762125681062297,0.002271480334287923,-7.325238366412412e-05,0.0006546277459363453,0.4583333333333333,0.004840527651655435,0.005002019668044366,-0.0009380666613169608,-0.0013409994548896585,0.4166666666666667,0.008445615306702625,0.006180932262714045,0.00025255824196279697,-0.001698059671844961,0.5416666666666666,0.015722653157806077,0.013885288076560143
htf_1h_15m_structure_5m_pullback_reclaim_vol_cap,1,21,14,7,40,0.000661646848324482,0.0004034386606841734,0.6190476190476191,0.002873294036382701,0.002985386221294406,0.0010320636799936445,0.000972892237235549,0.6190476190476191,0.0039074329864161594,0.003970123141107562,-0.00016295591958381817,0.000550102843082159,0.47619047619047616,0.009353340959558532,0.007000261765666371,0.000459741139910097,0.00043016309096000603,0.5714285714285714,0.020799409989303408,0.008517456742090701
htf_1h_15m_structure_5m_pullback_reclaim_vol_cap,2,32,15,17,57,0.00033025998360680653,0.0010196802105232536,0.5,0.0028716234109883443,0.0029317482747471812,-0.0006256052315314342,0.0005339906961785122,0.40625,0.003158330688670219,0.004764041615809345,-0.00044820691529973145,0.0003119014992696463,0.4375,0.006270288359935483,0.006998492492412689,0.00040752543737743174,-0.0013492439058183196,0.53125,0.013329994483101237,0.01469822136637916
htf_1h_15m_structure_5m_pullback_reclaim_vol_cap,3,39,23,16,52,8.991650610146174e-05,-0.00011860670458498126,0.5128205128205128,0.0031711538461538513,0.0023293813975715505,-0.001254751871385018,-0.0004429884775080846,0.38461538461538464,0.00420529348791665,0.005096771201767214,-0.00262226465802029,-0.000396042976103585,0.41025641025641024,0.0102386736519271,0.00733511903646944,-0.0032368454100213384,-0.0028064157359012324,0.358974358974359,0.011725803778940058,0.014331835216225164
