exit_variant,oracle,split,trade_count,no_cost_pnl,cost_aware_pnl,funding_adjusted_pnl,funding_events_count,funding_data_complete,win_rate,profit_factor,max_drawdown,largest_symbol_pnl_share,top_5pct_trade_pnl_contribution,avg_captured_fraction,early_exit_share,late_entry_share
oracle_hold_to_trend_end,True,oos_ext,16399,136217.19468761364,105463.28467277365,104215.58527705728,318191,True,0.522226965058845,1.146213400512435,37812.654334362116,0.35870770718537526,2.570511386128565,0.5078249111473646,0.5086285749131044,0.6490639673150802
oracle_hold_to_trend_end,True,train_ext,49486,1475730.8318427096,1380291.3680787794,1349002.5894698591,1240900,True,0.5512064018106131,1.4268433095198547,72522.69676778959,0.49530090335442617,1.702462461919424,0.5199916286532776,0.48629915531665524,0.6273087337832922
oracle_hold_to_trend_end,True,validation_ext,12787,106377.38289030846,83117.76904425347,81822.81312666729,252147,True,0.5340580276843669,1.1222430893496014,41272.470046401526,0.772927671384333,3.65051171031638,0.5039636864742293,0.5045749589426761,0.6426057714866662
original_exit,False,oos_ext,16399,-68504.79261822528,-99258.70263306529,-99309.68617226856,28624,True,0.3492895908287091,0.48204436498937775,99467.35554958812,1.0,-0.49594594931140723,0.06731380097436618,0.9603024574669187,0.6490639673150802
original_exit,False,train_ext,49486,-128733.01664109106,-224172.48040502108,-224168.1160108687,68114,True,0.3768540597340662,0.5682697644515305,224479.27501764437,0.5902137774285366,-0.7221384279992749,0.0637660496454174,0.9677888695792749,0.6273087337832922
original_exit,False,validation_ext,12787,-135420.26654374413,-158679.88038979913,-158704.6374517012,30520,True,0.3675608039415031,0.34657975095302723,158705.1829312197,1.0,-0.31686175977936476,0.089994937584849,0.9375146633299445,0.6426057714866662
swing_trailing_exit,False,oos_ext,16399,-56637.121633475566,-87391.03164831556,-89343.0521469542,100815,True,0.3428867613878895,0.7346410146645136,102641.74136172289,0.3713181725875699,-1.3496888147820996,0.2068760453263503,0.8751753155680224,0.6490639673150802
swing_trailing_exit,False,train_ext,49486,-330232.1291247514,-425671.59288868133,-436171.8770362573,315983,True,0.3427636099098735,0.6433830892395016,438634.8305524894,1.0,-0.9714550559917091,0.21195342301604447,0.8670128925352625,0.6273087337832922
swing_trailing_exit,False,validation_ext,12787,-140630.64757904355,-163890.26142509855,-164903.87812189327,76159,True,0.3185266286071792,0.5314363147946192,177733.51708501598,0.9775083952743269,-0.6790438346260441,0.2227332381990052,0.8432001251270822,0.6426057714866662
time_stop_if_no_progress,False,oos_ext,16399,-111192.0615509977,-141945.9715658377,-141975.38081874495,31431,True,0.34666747972437345,0.39461563486735773,142089.7784634636,0.44399507731889315,-0.34664676189588867,0.08665547031668588,0.9515214342337948,0.6490639673150802
time_stop_if_no_progress,False,train_ext,49486,-260538.38851650935,-355977.85228043934,-356230.5085317694,77905,True,0.3745705856201754,0.45398815609041987,356377.8575138441,0.5692709965800863,-0.4560947460273689,0.08112031212387096,0.958311441619852,0.6273087337832922
time_stop_if_no_progress,False,validation_ext,12787,-155041.4831800802,-178301.09702613522,-178315.29691388737,31274,True,0.36521467115038714,0.3227206283654956,178319.29574073493,1.0,-0.2828817080566851,0.10371876057954846,0.9311019003675608,0.6426057714866662
