exit_variant,oracle,strategy_source,policy_or_group,trade_count,no_cost_pnl,cost_aware_pnl,funding_adjusted_pnl,funding_events_count,funding_data_complete,win_rate,profit_factor,max_drawdown,largest_symbol_pnl_share,top_5pct_trade_pnl_contribution,avg_captured_fraction,early_exit_share,late_entry_share
atr_chandelier_3x,False,vsvcb_v1,C,12403,-168100.86436189848,-192906.8643618985,-201122.94506198113,393023,True,0.3438684189309038,0.6995988204982888,202414.18545209803,0.678956758833628,-1.1186580561027843,0.3889653818628319,0.678787390147545,0.6624203821656051
atr_chandelier_3x,False,vsvcb_v1,D,4220,-37201.124851187444,-45641.124851187444,-47785.78509196288,134814,True,0.34739336492890993,0.7758313995395903,52958.331713189786,0.6601965529537516,-1.6872768726411145,0.3935809451551394,0.6718009478672986,0.6691943127962086
atr_chandelier_3x,False,vsvcb_v1,E,4220,-3431.7027636614457,-11871.702763661444,-14460.663677217171,136811,True,0.3644549763033175,0.9261073121007674,19479.75549213368,0.49335738864397444,-5.731539796436258,0.380498796641256,0.6838862559241706,0.6691943127962086
atr_chandelier_5x,False,csrb_v1,A,11356,-294818.8218172927,-317530.8218172927,-334060.8683843041,719865,True,0.35206058471292706,0.6368492403399311,334913.55101843236,0.834589191683505,-0.7850281412877419,0.46738732786296994,0.5754667136315604,0.6382529059528003
atr_chandelier_5x,False,csrb_v1,B,2802,-55993.639509435605,-61597.63950943559,-66532.42815942151,164743,True,0.3579586009992862,0.6995511533774628,70931.464008856,0.8347194329571903,-1.1050772484297833,0.4709841368795514,0.5792291220556746,0.6409707351891506
atr_chandelier_5x,False,csrb_v1,C,4097,-118437.95550689235,-126631.95550689235,-130878.38863544856,275436,True,0.338296314376373,0.5912660312650411,131412.2500582017,0.8135928999810892,-0.6320953550753503,0.4607488073854432,0.571637783744203,0.6353429338540395
atr_chandelier_5x,False,csrb_v1,D,6218,-56485.01397835686,-68921.01397835686,-77684.91415690629,422973,True,0.380347378578321,0.8184490769987858,90124.46494333522,0.8101164110805155,-1.9019821560112686,0.4805389553187503,0.5524284335799292,0.6228690897394661
atr_chandelier_5x,False,csrb_v1,E,6287,-25632.73290828381,-38206.73290828382,-44100.965123440226,408149,True,0.39017019246063306,0.8958127746825031,60721.25004576706,0.5164571258229261,-3.8060381688655416,0.4478347005988178,0.6026721806903134,0.6402099570542389
atr_chandelier_5x,False,trend_v3_extended,v3_1d_donchian_20_10_atr4,89,-1.8063400000000007,-2.0394855950000013,-2.719147921618923,5737,True,0.38202247191011235,0.8073620126761945,5.09267677834816,1.0,-2.4173412466029114,0.6472469322543752,0.0898876404494382,0.02247191011235955
atr_chandelier_5x,False,trend_v3_extended,v3_1d_donchian_55_20_atr5,43,-4.412769999999998,-4.5248945749999985,-5.064720184218276,3416,True,0.4186046511627907,0.5170127645939325,5.4778879358999655,1.0,-0.5929921146723086,0.4081176696048043,0.11627906976744186,0.023255813953488372
atr_chandelier_5x,False,trend_v3_extended,v3_1d_ema_50_200_atr5,162,-7.637359999999996,-8.140430909999997,-9.389550731879524,11522,True,0.35185185185185186,0.6813309859916193,15.515900718128288,0.8306265220329466,-1.306735100630921,0.6139149179862615,0.29012345679012347,0.25925925925925924
atr_chandelier_5x,False,trend_v3_extended,v3_4h_donchian_100_30_atr5,170,-12.420240000000002,-12.875718970000001,-13.51341374671604,10271,True,0.3764705882352941,0.5700236224148307,14.420586349299713,1.0,-0.818195965435603,0.7414358376440859,0.2235294117647059,0.041176470588235294
atr_chandelier_5x,False,trend_v3_extended,v3_4h_donchian_20_10_atr4,517,-21.337419999999995,-22.656346599999992,-23.772822889831094,27324,True,0.35589941972920697,0.6621887358260047,27.31319421650654,0.5236111229760614,-1.226054378109949,0.7193691535250334,0.2901353965183752,0.2727272727272727
atr_chandelier_5x,False,trend_v3_extended,v3_4h_donchian_55_20_atr4,278,-23.48556,-24.23795378499999,-25.001772205210237,15708,True,0.34172661870503596,0.4906219489472622,27.113993433601102,0.5534727614218197,-0.6114897550487944,0.7641915856180835,0.2302158273381295,0.12589928057553956
atr_chandelier_5x,False,trend_v3_extended,v3_4h_donchian_55_with_risk_filters,73,4.345699999999998,4.196548674999998,3.847034202389158,3053,True,0.3287671232876712,1.8035005548428988,1.5531378567587542,0.7158239698991125,1.2538420814685745,0.7632221577923529,0.2602739726027397,0.136986301369863
atr_chandelier_5x,False,trend_v3_extended,v3_4h_ema_50_200_atr4,1116,-45.73734999999999,-48.99624943499998,-54.93389804467326,73742,True,0.3844086021505376,0.7025821603389979,68.13910513776975,1.0,-1.2142390258752729,0.606819099114424,0.4112903225806452,0.4659498207885305
atr_chandelier_5x,False,trend_v3_extended,v3_4h_vol_compression_donchian_breakout,349,-5.921959999999999,-6.819349979999998,-7.712843024506812,13858,True,0.3667621776504298,0.7955161056775426,8.961843545521685,1.0,-2.489426487500677,0.6654557912635327,0.3667621776504298,0.30945558739255014
atr_chandelier_5x,False,trend_v3_extended,v3_ensemble_core,1154,-57.316929999999985,-60.62397364999998,-66.07576820151408,74429,True,0.3708838821490468,0.655474322815625,73.674101394636,0.4903820879430981,-1.0108723539973403,0.6121244749374803,0.4124783362218371,0.44540727902946275
atr_chandelier_5x,False,vsvcb_v1,A,17155,-373953.7489215412,-408263.7489215412,-433679.0090473019,1105091,True,0.35995336636549113,0.678430518720874,435372.9226433247,0.7932329890653421,-0.9219979061033884,0.4570287638404077,0.5850189449140193,0.6514135820460507
atr_chandelier_5x,False,vsvcb_v1,B,5963,-121916.54262787808,-133842.5426278781,-141176.70347153652,370480,True,0.3555257420761362,0.6875690464646101,145116.78905171802,0.7775021067401671,-1.004269191519818,0.4528640585688924,0.5909776957907094,0.6607412376320644
atr_chandelier_5x,False,vsvcb_v1,C,12403,-320782.88634143164,-345588.8863414317,-360464.3882221546,781019,True,0.35136660485366444,0.6309843835200797,361579.4915110725,0.7489261869624739,-0.768121182237704,0.4486900125719177,0.5956623397565105,0.6624203821656051
atr_chandelier_5x,False,vsvcb_v1,D,4220,-101635.262992301,-110075.262992301,-114304.30143606389,260134,True,0.3495260663507109,0.6428693781873202,114742.75882970855,0.725238120292185,-0.8414449667880887,0.44901837613660583,0.595260663507109,0.6691943127962086
atr_chandelier_5x,False,vsvcb_v1,E,4220,-30457.635676754257,-38897.63567675425,-43960.34178930767,267137,True,0.3848341232227488,0.8473970145556877,50651.41245989157,0.525069282583093,-2.468252916462648,0.4336279991502895,0.6175355450236967,0.6691943127962086
fixed_hold_longer_2x,False,csrb_v1,A,11356,-111732.98501496788,-134444.98501496788,-134642.40592384947,22957,True,0.3879006692497358,0.45272805923559056,135014.0854430389,0.6486369831337925,-0.3923622840337897,0.13041341854466715,0.9360690383938006,0.6382529059528003
fixed_hold_longer_2x,False,csrb_v1,B,2802,-21238.278136561574,-26842.278136561574,-26918.53693812954,5927,True,0.3957887223411849,0.5399578046975659,27198.638972682413,0.5541553156241746,-0.5739220951394515,0.14229306243834694,0.9296930763740185,0.6409707351891506
fixed_hold_longer_2x,False,csrb_v1,C,4097,-16597.843986891265,-24791.843986891265,-24782.84199383111,6333,True,0.4107883817427386,0.5993418459996075,25143.775656203896,0.6720550456421955,-0.6283842730597554,0.10192795562502095,0.9531364412985112,0.6353429338540395
fixed_hold_longer_2x,False,csrb_v1,D,6218,59742.436967145455,47306.43696714546,47222.354529543554,11123,True,0.5871662914120296,2.0202447379664057,1524.3087328515721,0.5127605007200103,0.7111589416698597,0.11996958829824801,0.936796397555484,0.6228690897394661
fixed_hold_longer_2x,False,csrb_v1,E,6287,35550.2979317726,22976.297931772606,23030.81545295667,11158,True,0.5097820900270399,1.312015560301656,8254.375005003507,0.9204557108881339,2.0949892424570495,0.11839261302332352,0.943852393828535,0.6402099570542389
fixed_hold_longer_2x,False,trend_v3_extended,v3_1d_donchian_20_10_atr4,89,-0.2017099999999986,-0.4348555949999973,-0.6838230657858263,2735,True,0.34831460674157305,0.9077568848476149,2.4839747300249932,0.5554665824279484,-5.793100102264363,0.5680209411563187,0.1348314606741573,0.02247191011235955
fixed_hold_longer_2x,False,trend_v3_extended,v3_1d_donchian_55_20_atr5,43,-1.6221799999999968,-1.7343045749999968,-1.9074676959344754,1309,True,0.4186046511627907,0.6187959395187647,2.542058569410455,1.0,-0.8116110375588046,0.30126146761979505,0.3023255813953488,0.023255813953488372
