hour,trade_count,gross_pnl,net_pnl,win_count,loss_count,win_rate_pct,average_pnl,median_pnl,average_win,average_loss,profit_loss_ratio,expectancy,max_win,max_loss,total_volume,avg_duration_minutes
10,468,-128.3854499999997,-1456.3228538981432,122,346,26.06837606837607,-3.1118009698678275,-4.422524181644272,8.775965858418155,-7.303441296604504,1.201620647310228,-3.1118009698678275,47.86956380896198,-38.191627733771924,1406.5499999999997,11.408119658119658
11,450,-469.4074900000013,-1758.9559048253677,98,352,21.777777777777775,-3.9087908996119283,-5.447169777548638,9.094802214064526,-7.5291094369423055,1.2079519218355357,-3.9087908996119283,48.66525931270038,-58.52097916315212,1367.21,11.484444444444444
12,465,-317.679269999985,-1669.6157297170678,104,361,22.365591397849464,-3.590571461757135,-4.906765134503991,8.550625227111995,-7.088312336112785,1.206299161444844,-3.590571461757135,39.43610352040763,-54.450793598860905,1444.9,10.890322580645162
13,399,-425.98274000000094,-1566.0730105912712,95,304,23.809523809523807,-3.924995014013211,-5.233701612853761,8.221176908428665,-7.720673739776297,1.0648263591393348,-3.924995014013211,41.85072291504562,-47.457462429775624,1214.8600000000001,10.796992481203008
14,359,-211.72100999999725,-1244.4217476700373,74,285,20.61281337047354,-3.466355843092026,-5.136948456367227,9.047760580799798,-6.71563519526043,1.347268027183083,-3.466355843092026,34.32133641818256,-59.385435533713895,1084.06,12.674094707520892
15,328,-98.56412999999638,-1040.681399762238,80,248,24.390243902439025,-3.1728091456165792,-4.930153343061435,8.988849999632189,-7.095924998922633,1.2667622615792806,-3.1728091456165792,40.57862078997564,-38.50149744291086,987.44,11.814024390243903
16,306,-234.21471999999733,-1080.5974748548385,64,242,20.915032679738562,-3.531364296911237,-5.535379922419556,11.14606752755299,-7.412999159579463,1.5035840808304237,-3.531364296911237,54.06429256769106,-36.57073634588304,877.8800000000001,11.68954248366013
17,251,-218.28305000000154,-934.3985569806622,61,190,24.302788844621514,-3.7227034142655864,-5.0334058826859,9.586310123805006,-7.995597234382989,1.1989486016856339,-3.7227034142655864,37.504053906467576,-52.382419767318254,741.6600000000001,11.741035856573705
18,197,-261.8748599999986,-813.2001446931141,40,157,20.304568527918782,-4.127919516208701,-5.8741528025707765,8.814028523513482,-7.425231118685691,1.1870375995883635,-4.127919516208701,27.308405279544495,-43.0508322426948,565.6600000000001,11.228426395939087
19,159,-226.94451999999862,-675.9834748678642,33,126,20.754716981132077,-4.2514683953953725,-5.402233239641184,7.028219472584979,-7.205672360818797,0.9753731672288173,-4.2514683953953725,18.912530159819422,-34.78724063996072,464.2199999999999,10.924528301886792
20,139,-108.46226999999945,-504.67191402637195,30,109,21.58273381294964,-3.6307331944343306,-5.682391175270975,7.772163499344037,-6.769145128501771,1.148175043052189,-3.6307331944343306,32.49786483122765,-30.19590596669124,411.68,11.899280575539569
21,140,-235.09431000000046,-617.5055164487978,37,103,26.42857142857143,-4.410753688919985,-6.279663511609601,6.965045537076785,-8.497205838064454,0.8196865734234496,-4.410753688919985,32.03841511950155,-33.104404028922296,383.63,9.907142857142857
22,103,-85.39889999999744,-354.5656360691696,22,81,21.35922330097087,-3.4423848162055304,-5.105764868904522,9.197228872379704,-6.875366311870655,1.3377074697096851,-3.4423848162055304,24.498459142570596,-27.050934294938468,272.61999999999995,11.184466019417476
23,66,-9.654309999998741,-180.05446111232018,19,47,28.78787878787879,-2.728097895641215,-5.545578024817923,12.140844545761444,-8.738946967697608,1.3892800346126957,-2.728097895641215,42.512578080998914,-42.172662275918896,177.39,9.681818181818182
