seed,sample_count,candidate_missing_count,no_cost_pnl,cost_aware_pnl,funding_adjusted_pnl,positive_no_cost,positive_funding_adjusted,candidate_pool_method,no_parameter_tuning_allowed
14,3290,0,-16349.282585084822,-22929.28258508482,-22943.387147075446,False,False,available_traded_non_breakout_event_pool_same_symbol_timeframe_direction_split,True
15,3290,0,-12880.402236868767,-19460.402236868766,-19465.654727732646,False,False,available_traded_non_breakout_event_pool_same_symbol_timeframe_direction_split,True
16,3290,0,-16695.85035282142,-23275.85035282142,-23275.024250321803,False,False,available_traded_non_breakout_event_pool_same_symbol_timeframe_direction_split,True
17,3290,0,-11289.126390188223,-17869.126390188223,-17887.909617248137,False,False,available_traded_non_breakout_event_pool_same_symbol_timeframe_direction_split,True
18,3290,0,-13150.685364575362,-19730.68536457536,-19734.091089805912,False,False,available_traded_non_breakout_event_pool_same_symbol_timeframe_direction_split,True
19,3290,0,-15432.203578334147,-22012.203578334145,-22011.915424751864,False,False,available_traded_non_breakout_event_pool_same_symbol_timeframe_direction_split,True
20,3290,0,-16779.760412782463,-23359.760412782463,-23368.81529358322,False,False,available_traded_non_breakout_event_pool_same_symbol_timeframe_direction_split,True
21,3290,0,-16815.111489223906,-23395.111489223902,-23404.018204448657,False,False,available_traded_non_breakout_event_pool_same_symbol_timeframe_direction_split,True
22,3290,0,-21864.14409735602,-28444.14409735602,-28459.11551731308,False,False,available_traded_non_breakout_event_pool_same_symbol_timeframe_direction_split,True
23,3290,0,-16780.47013063393,-23360.47013063393,-23361.26716583156,False,False,available_traded_non_breakout_event_pool_same_symbol_timeframe_direction_split,True
24,3290,0,-14284.852062251455,-20864.852062251455,-20866.691758225057,False,False,available_traded_non_breakout_event_pool_same_symbol_timeframe_direction_split,True
25,3290,0,-14025.69381746098,-20605.693817460982,-20613.246490177724,False,False,available_traded_non_breakout_event_pool_same_symbol_timeframe_direction_split,True
26,3290,0,-12275.002908712097,-18855.002908712093,-18877.522308098116,False,False,available_traded_non_breakout_event_pool_same_symbol_timeframe_direction_split,True
27,3290,0,-15697.201528458681,-22277.20152845868,-22281.473299146055,False,False,available_traded_non_breakout_event_pool_same_symbol_timeframe_direction_split,True
28,3290,0,-17960.355466827245,-24540.35546682724,-24547.79818267632,False,False,available_traded_non_breakout_event_pool_same_symbol_timeframe_direction_split,True
29,3290,0,-13075.353002256525,-19655.353002256525,-19660.089038992788,False,False,available_traded_non_breakout_event_pool_same_symbol_timeframe_direction_split,True
30,3290,0,-15451.345039201999,-22031.345039202002,-22032.222027246906,False,False,available_traded_non_breakout_event_pool_same_symbol_timeframe_direction_split,True
31,3290,0,-18202.362793498884,-24782.362793498887,-24776.871665878713,False,False,available_traded_non_breakout_event_pool_same_symbol_timeframe_direction_split,True
32,3290,0,-14440.89861315942,-21020.898613159417,-21019.47690040082,False,False,available_traded_non_breakout_event_pool_same_symbol_timeframe_direction_split,True
33,3290,0,-13614.917970086777,-20194.917970086775,-20211.39644393333,False,False,available_traded_non_breakout_event_pool_same_symbol_timeframe_direction_split,True
34,3290,0,-11497.307179934305,-18077.307179934305,-18091.444583616434,False,False,available_traded_non_breakout_event_pool_same_symbol_timeframe_direction_split,True
35,3290,0,-13981.97099095555,-20561.97099095555,-20590.42522012869,False,False,available_traded_non_breakout_event_pool_same_symbol_timeframe_direction_split,True
36,3290,0,-16140.158898022713,-22720.158898022713,-22726.360576157065,False,False,available_traded_non_breakout_event_pool_same_symbol_timeframe_direction_split,True
37,3290,0,-8861.04844316797,-15441.048443167972,-15444.144243869707,False,False,available_traded_non_breakout_event_pool_same_symbol_timeframe_direction_split,True
38,3290,0,-14926.815958496643,-21506.815958496645,-21496.674038995716,False,False,available_traded_non_breakout_event_pool_same_symbol_timeframe_direction_split,True
39,3290,0,-12803.91006784411,-19383.91006784411,-19388.458695362806,False,False,available_traded_non_breakout_event_pool_same_symbol_timeframe_direction_split,True
40,3290,0,-12348.180402241958,-18928.18040224196,-18951.582043679147,False,False,available_traded_non_breakout_event_pool_same_symbol_timeframe_direction_split,True
41,3290,0,-15731.921368078443,-22311.921368078445,-22319.995807886877,False,False,available_traded_non_breakout_event_pool_same_symbol_timeframe_direction_split,True
42,3290,0,-18491.884494056918,-25071.884494056914,-25096.287957548542,False,False,available_traded_non_breakout_event_pool_same_symbol_timeframe_direction_split,True
43,3290,0,-19896.523745601487,-26476.523745601487,-26473.803308349474,False,False,available_traded_non_breakout_event_pool_same_symbol_timeframe_direction_split,True
44,3290,0,-16458.813155582342,-23038.813155582346,-23043.281729480826,False,False,available_traded_non_breakout_event_pool_same_symbol_timeframe_direction_split,True
45,3290,0,-15226.703439854622,-21806.703439854624,-21798.80833966276,False,False,available_traded_non_breakout_event_pool_same_symbol_timeframe_direction_split,True
46,3290,0,-22109.641466580782,-28689.641466580782,-28693.4812125976,False,False,available_traded_non_breakout_event_pool_same_symbol_timeframe_direction_split,True
47,3290,0,-12574.616032602149,-19154.61603260215,-19176.10780726971,False,False,available_traded_non_breakout_event_pool_same_symbol_timeframe_direction_split,True
48,3290,0,-15726.45634537895,-22306.45634537895,-22305.865986684123,False,False,available_traded_non_breakout_event_pool_same_symbol_timeframe_direction_split,True
49,3290,0,-20374.991993924195,-26954.99199392419,-26965.00477250415,False,False,available_traded_non_breakout_event_pool_same_symbol_timeframe_direction_split,True
