scope,group,session_type,timeframe,split,dimension,dimension_value,trade_count,no_cost_pnl,cost_aware_pnl,funding_adjusted_pnl,avg_no_cost_pnl,all_splits_negative,less_negative_than_A,has_positive_edge,sample_sufficient
B,B,asia_to_europe,15m,all,month,2025-10,30,-119.90021860463453,-179.9002186046345,-179.95636029814048,-3.9966739534878175,True,,False,True
B,B,asia_to_europe,15m,all,month,2025-11,27,-296.8096215629803,-350.8096215629803,-350.8096215629803,-10.992948946777048,True,,False,False
B,B,asia_to_europe,15m,all,month,2025-12,29,-471.350828329298,-529.350828329298,-529.3364772920391,-16.25347683894131,True,,False,False
B,B,asia_to_europe,15m,all,month,2026-01,30,-625.8716380631851,-685.8716380631851,-685.8717389051582,-20.862387935439504,True,,False,True
B,B,asia_to_europe,15m,all,month,2026-02,31,-630.4013501291276,-692.4013501291275,-692.4013501291275,-20.335527423520247,True,,False,True
B,B,asia_to_europe,15m,all,month,2026-03,41,-346.29362946662394,-428.293629466624,-428.28444787965515,-8.446186084551803,True,,False,True
C,C,europe_to_us,15m,train,split,train,1349,-4295.515236871537,-6993.515236871537,-6988.6059906909595,-3.1842218212539195,True,True,False,True
C,C,europe_to_us,15m,validation,split,validation,351,-3874.1238517235265,-4576.123851723526,-4574.01057952635,-11.037389890950218,True,True,False,True
C,C,europe_to_us,15m,oos,split,oos,458,-2364.7191950803804,-3280.7191950803804,-3278.790910077493,-5.163142347337075,True,True,False,True
C,C,europe_to_us,15m,all,split,all,2158,-10534.358283675445,-14850.358283675447,-14841.407480294802,-4.881537666207342,True,True,False,True
C,C,europe_to_us,15m,all,symbol,BTCUSDT_SWAP_OKX.GLOBAL,759,-498.45138100681805,-2016.4513810068179,-2014.067161889652,-0.656721187097257,True,,False,True
C,C,europe_to_us,15m,all,symbol,ETHUSDT_SWAP_OKX.GLOBAL,718,-2083.139818465487,-3519.139818465487,-3514.51478263916,-2.9013089393669738,True,,False,True
C,C,europe_to_us,15m,all,symbol,SOLUSDT_SWAP_OKX.GLOBAL,681,-7952.767084203139,-9314.767084203138,-9312.82553576599,-11.678072076656592,True,,False,True
C,C,europe_to_us,15m,all,direction,long,1039,-3062.151456079164,-5140.151456079164,-5184.43240365868,-2.9472102560915916,True,,False,True
C,C,europe_to_us,15m,all,direction,short,1119,-7472.206827596281,-9710.206827596281,-9656.975076636121,-6.6775753597822,True,,False,True
C,C,europe_to_us,15m,all,month,2023-01,48,-1180.203458751167,-1276.203458751167,-1280.8216547817187,-24.58757205731598,True,,False,True
C,C,europe_to_us,15m,all,month,2023-02,49,-414.7770865525978,-512.7770865525979,-512.1498070205544,-8.464838501073425,True,,False,True
C,C,europe_to_us,15m,all,month,2023-03,54,-18.065222946353025,-126.06522294635302,-127.0308618747926,-0.3345411656732042,True,,False,True
C,C,europe_to_us,15m,all,month,2023-04,43,-2.129867830567779,-88.12986783056778,-86.72461278325036,-0.04953181001320416,True,,False,True
