lookback,atr_mult,max_hold,train_pnl,validation_pnl,oos_pnl
20,1.5,60,9511.070185520983,4458.906833425464,3225.8335275079007
20,1.5,65,10717.917835127715,4600.619617044104,2824.060041544526
20,1.5,70,10702.965795894,4419.12655173452,2907.9782950440717
20,1.5,20,8165.475640357704,4675.607104903477,2601.686779094256
20,1.5,40,10130.569457740025,4911.352148477354,2247.431590759895
20,1.5,80,10425.938182295433,4491.393097771936,3062.5978453665803
20,2.0,50,9477.898285143257,4070.737839221406,2546.0504153219404
20,2.0,55,9070.149003706505,3793.5225983675764,3057.7601733759666
20,2.0,60,9466.19482735065,3714.9390434581614,3268.803692844532
20,2.0,65,10577.528918095539,3901.11921637238,2847.282764101185
20,2.0,70,10363.164417760925,3596.1108509369024,2717.7087063296103
20,2.0,20,7726.41129067321,4717.23928566934,2484.8404195756634
20,2.0,40,9780.885304134175,4682.997228931794,2189.576546838351
20,2.0,80,10133.423078163232,3620.1732421949823,2807.132829626195
20,2.5,50,9802.842873987744,3880.214508327682,2558.8289547137283
20,2.5,55,9504.214669946781,3646.1209335797053,3356.1754580527304
20,2.5,60,9337.806356111576,3473.3371510550905,3725.8400249186043
20,2.5,65,10480.013940446357,3646.048195808234,3133.6226902414746
20,2.5,70,10220.88930986783,3451.5484280510454,3035.9809175726296
20,2.5,20,7635.364467947882,4326.681084499172,2717.7058392830495
20,2.5,40,9425.057514922953,4669.338913359068,2108.067339893308
20,2.5,80,9859.205738103246,3390.2865247973423,3137.1462229015265
20,3.0,50,10039.753752398898,3886.779733493251,2694.8206687114416
20,3.0,55,9694.109210752473,3532.8788605905306,3890.5323134932714
20,3.0,60,9343.217360481176,3441.5590933328726,4532.335273640826
20,3.0,65,10606.313081201884,3655.6136708241283,3986.2722078215265
20,3.0,70,10367.030288214683,3441.4587377443067,3964.526489443555
20,3.0,20,7527.271642232185,4279.64564706081,2510.1332605579264
20,3.0,40,9388.88327687148,4387.675702939745,2147.831525702708
20,3.0,80,10008.450790311772,3163.052556465258,4113.401271281892
30,1.0,50,8380.200615442285,3117.971050257147,2116.430917014482
30,1.0,55,8365.070864066813,2971.174266489619,2277.892463489167
30,1.0,60,8523.014380312252,2927.4888583778143,2501.50456257249
30,1.0,65,9749.72639620488,3159.649637243866,2184.20622242011
30,1.0,70,9713.372771703143,3091.878348379596,2156.6482166923192
30,1.0,20,7479.08716842069,3735.5242042909517,1720.0035388968554
30,1.0,40,8797.348655170685,3396.834478561888,1895.6961685901085
30,1.0,80,9351.29571949812,3261.321044065185,2125.547101405733
30,1.5,50,8415.082985720312,4126.875009281955,1758.047933336811
30,1.5,55,8463.765539657059,3936.90550994337,1990.1397529285832
30,1.5,60,8439.73537272641,3878.25270511563,2081.305912989499
30,1.5,65,9716.05298326018,4118.6032167369385,1860.5415264830444
30,1.5,70,9568.879937152496,3917.553056354236,1772.9045548997074
30,1.5,20,7303.375504522481,4543.708819893296,1447.427502486722
30,1.5,40,8715.77329852872,4416.558409991128,1500.0538120153128
30,1.5,80,9358.069298253766,3937.2770221643773,1738.7541267955712
30,2.0,50,8524.671284355032,3599.965145844903,1683.9943226204994
30,2.0,55,8476.341338945844,3374.6963164784524,1950.4276626840986
30,2.0,60,8626.848940452881,3305.3681567314648,2119.793407378059
30,2.0,65,9845.11126519605,3596.6883243576517,1857.0233192641026
30,2.0,70,9696.485882942874,3356.9105875439595,1698.7309350331138
30,2.0,20,7176.80340735662,4281.732006316442,1444.4681975958026
30,2.0,40,8760.634364145624,4052.6478172077377,1444.849869985126
30,2.0,80,9569.067452962368,3309.998630243278,1616.7104093017122
30,2.5,50,8425.576644384771,3571.4094225593212,1944.3826463327237
30,2.5,55,8409.139751783152,3339.9253859205614,2292.0550691975927
30,2.5,60,8694.040297352936,3252.253554721573,2844.5268020018607
30,2.5,65,9901.42897285325,3500.492515651136,2590.0112752868095
30,2.5,70,9535.618237822586,3424.796985225247,2385.5699595029023
30,2.5,20,6946.4258746793785,4135.293073180371,1455.3237525420059
30,2.5,40,8326.721460845321,4003.4911568009597,1485.1552893493522
30,2.5,80,9375.618384896108,3317.9243048114677,2367.2219188283448
30,3.0,50,8895.153882052571,3475.9201114850457,1705.8038347992722
30,3.0,55,8844.70184263813,3110.152245456439,2189.9286341552397
30,3.0,60,9011.42025919395,2945.6695829796695,2892.476815107038
30,3.0,65,10360.448921552766,3334.5475836475057,2656.011038713862
30,3.0,70,9910.85274675326,3279.315089046517,2746.3055135438794
30,3.0,20,6941.532021682781,3946.5513154397563,1174.5972413011182
