policy_name,direction,trade_count,long_count,short_count,gross_pnl,net_pnl,no_cost_net_pnl,fee_total,slippage_total,win_rate,profit_factor,avg_win,avg_loss,avg_trade_net_pnl,median_trade_net_pnl,max_drawdown,max_ddpercent,return_drawdown_ratio,sharpe_like,avg_holding_minutes,median_holding_minutes,top_5pct_trade_pnl_contribution,best_trade,worst_trade,cost_drag
tf_1h_donchian_55_20_atr5,long,27,27,0,-2.80542,-3.08756555,-2.80542,0.28106555000000005,0.0010800000000000004,0.18518518518518517,0.3783617639375042,0.3758509950000003,-0.2257645693181819,-0.11435427962962963,-0.16121235500000058,3.2753803850000622,0.06550760770000125,-0.9426586188705961,-2.142352547883171,2946.1111111111113,1860.0,-0.3774864763599919,0.5958406900000003,-0.5747123299999995,0.2821455500000001
tf_1h_donchian_55_20_atr5,short,23,0,23,-2.176599999999999,-2.411225549999999,-2.176599999999999,0.23370555000000004,0.00092,0.21739130434782608,0.34983520929359924,0.2594823979999996,-0.20603541888888877,-0.10483589347826082,-0.13075514499999943,2.6635641800003214,0.053268595255136685,-0.9052627934047783,-1.7604014597755506,2916.521739130435,2340.0,-0.48376218475289473,1.012496775,-0.5408361449999995,0.23462554999999963
tf_1h_donchian_55_with_risk_filters_atr3,long,1,1,0,-0.03731999999999971,-0.04803133999999971,-0.03731999999999971,0.010671340000000001,4e-05,0.0,0.0,,-0.04803133999999971,-0.04803133999999971,-0.04803133999999971,0.048031340000306955,0.000960626800006139,-0.9999999999936032,,3120.0,3120.0,1.0,-0.04803133999999971,-0.04803133999999971,0.01071134
tf_1h_donchian_55_with_risk_filters_atr3,short,1,0,1,-0.2972,-0.30768121,-0.2972,0.010441210000000001,4e-05,0.0,0.0,,-0.30768121,-0.30768121,-0.30768121,0.30768120999982784,0.006153624199996557,-1.0000000000005596,,1380.0,1380.0,1.0,-0.30768121,-0.30768121,0.010481209999999963
tf_1h_donchian_55_with_risk_filters_atr4,long,1,1,0,-0.0125,-0.02322375,-0.0125,0.01068375,4e-05,0.0,0.0,,-0.02322375,-0.02322375,-0.02322375,0.02322375000039756,0.00046447500000795116,-0.9999999999828815,,7440.0,7440.0,1.0,-0.02322375,-0.02322375,0.01072375
tf_1h_donchian_55_with_risk_filters_atr4,short,1,0,1,-0.2824199999999997,-0.2928938199999997,-0.2824199999999997,0.010433820000000002,4e-05,0.0,0.0,,-0.2928938199999997,-0.2928938199999997,-0.2928938199999997,0.2928938200002449,0.005857876400004898,-0.9999999999991629,,3180.0,3180.0,1.0,-0.2928938199999997,-0.2928938199999997,0.010473819999999967
tf_1h_donchian_55_with_risk_filters_atr5,long,1,1,0,-0.0125,-0.02322375,-0.0125,0.01068375,4e-05,0.0,0.0,,-0.02322375,-0.02322375,-0.02322375,0.02322375000039756,0.00046447500000795116,-0.9999999999828815,,7440.0,7440.0,1.0,-0.02322375,-0.02322375,0.01072375
tf_1h_donchian_55_with_risk_filters_atr5,short,1,0,1,-0.2824199999999997,-0.2928938199999997,-0.2824199999999997,0.010433820000000002,4e-05,0.0,0.0,,-0.2928938199999997,-0.2928938199999997,-0.2928938199999997,0.2928938200002449,0.005857876400004898,-0.9999999999991629,,3180.0,3180.0,1.0,-0.2928938199999997,-0.2928938199999997,0.010473819999999967
tf_1h_ema_cross_atr_trail_atr3,long,207,207,0,-3.422559999999995,-5.610215879999995,-3.422559999999995,2.17937588,0.008280000000000001,0.21739130434782608,0.4993740779317268,0.12435971577777784,-0.06917532771604937,-0.027102492173913018,-0.03126967499999942,6.187673820000782,0.12373918556497691,-0.9066760859090154,-2.9079472996902593,668.3333333333334,240.0,-0.7337622139774066,0.7037768149999997,-0.480376675,2.18765588
tf_1h_ema_cross_atr_trail_atr3,short,151,0,151,-1.5055900000000084,-3.0240786150000085,-1.5055900000000084,1.5124486150000003,0.006040000000000001,0.23841059602649006,0.6248457713790025,0.1399115491666666,-0.07009473378260873,-0.020027010695364295,-0.034334419999999415,3.34650148000037,0.0669300296000074,-0.9036537509613395,-1.6057073191637072,721.1920529801324,240.0,-1.1693922133700845,1.27885492,-0.33860872499999944,1.518488615
tf_1h_ema_cross_atr_trail_atr4,long,203,203,0,-3.304029999999993,-5.4506751749999935,-3.304029999999993,2.1385251750000007,0.00812,0.21674876847290642,0.5058064677053264,0.12678998375000006,-0.069367512327044,-0.02685061662561573,-0.03126967499999942,6.028133114999946,0.12054873993459247,-0.9042061731246361,-2.7263465988346955,682.6847290640394,240.0,-0.7807659323599307,0.916950175,-0.480376675,2.1466451750000006
tf_1h_ema_cross_atr_trail_atr4,short,150,0,150,-1.469500000000006,-2.976696850000006,-1.469500000000006,1.50119685,0.006000000000000001,0.24,0.6269110381940425,0.13893946541666657,-0.06998699653508773,-0.019844645666666706,-0.03378974499999986,3.3275895549995766,0.06655179109999153,-0.8945504849081017,-1.5849248178949846,726.4,240.0,-1.1871053127227222,1.27885492,-0.33860872499999944,1.50719685
