policy_name,base_policy_name,atr_mult,timeframe,trade_count,long_count,short_count,gross_pnl,net_pnl,no_cost_net_pnl,fee_total,slippage_total,win_rate,profit_factor,avg_win,avg_loss,avg_trade_net_pnl,median_trade_net_pnl,max_drawdown,max_ddpercent,return_drawdown_ratio,sharpe_like,avg_holding_minutes,median_holding_minutes,top_5pct_trade_pnl_contribution,best_trade,worst_trade,cost_drag
tf_4h_ema_cross_atr_trail_atr4,tf_4h_ema_cross_atr_trail,4.0,4h,74,37,37,-2.1944299999999983,-2.957142474999999,-2.1944299999999983,0.759752475,0.0029600000000000004,0.20270270270270271,0.6093117149554061,0.30746106666666684,-0.1282891266949153,-0.039961384797297286,-0.07044575499999957,3.1085212550005963,0.0621685429003762,-0.9513019961639065,-1.4332795395799443,3405.4054054054054,1560.0,-1.0422145165663692,0.9367028550000006,-0.42772679999999885,0.7627124750000007
tf_4h_ema_cross_atr_trail_atr5,tf_4h_ema_cross_atr_trail,5.0,4h,74,37,37,-2.1944299999999983,-2.957142474999999,-2.1944299999999983,0.759752475,0.0029600000000000004,0.20270270270270271,0.6093117149554061,0.30746106666666684,-0.1282891266949153,-0.039961384797297286,-0.07044575499999957,3.1085212550005963,0.0621685429003762,-0.9513019961639065,-1.4332795395799443,3405.4054054054054,1560.0,-1.0422145165663692,0.9367028550000006,-0.42772679999999885,0.7627124750000007
tf_1h_donchian_20_10_atr3,tf_1h_donchian_20_10,3.0,1h,116,55,61,-1.919959999999989,-3.10877819999999,-1.919959999999989,1.1841782,0.004640000000000001,0.3275862068965517,0.7243981537385483,0.21503113802631582,-0.14461489032051272,-0.02679981206896543,-0.0630150225,4.018772045000333,0.08036081533054067,-0.7735642044856845,-1.2720967208433802,1695.3879310344828,1200.0,-1.2501089785048072,0.8837540099999996,-0.6093421600000004,1.188818200000001
tf_1h_donchian_20_10_atr4,tf_1h_donchian_20_10,4.0,1h,111,55,56,-2.375959999999988,-3.5146841799999877,-2.375959999999988,1.13428418,0.004440000000000001,0.3333333333333333,0.6905831447308863,0.2120101185135136,-0.15350079141891879,-0.03166382144144133,-0.06358269499999943,4.452922139999828,0.08904173433296146,-0.7892983684642022,-1.4170910278055455,1875.5405405405406,1320.0,-1.1017258995942032,0.8837540099999996,-0.6093421600000004,1.1387241799999996
tf_1h_donchian_20_10_atr5,tf_1h_donchian_20_10,5.0,1h,110,53,57,-2.5216299999999916,-3.6497577649999915,-2.5216299999999916,1.123727765,0.004400000000000001,0.32727272727272727,0.6843102306980116,0.21976274222222225,-0.15623265520270263,-0.03317961604545447,-0.074798845,4.680692049999379,0.09359454303532679,-0.7797474659757793,-1.46444048538391,1916.0454545454545,1320.0,-1.060952216372642,0.8837540099999996,-0.6093421600000004,1.128127765
tf_1h_donchian_55_20_atr3,tf_1h_donchian_55_20,3.0,1h,53,28,25,-4.126139999999998,-4.674406999999998,-4.126139999999998,0.546147,0.0021200000000000004,0.20754716981132076,0.3841819903381114,0.26510532727272723,-0.18072775238095232,-0.088196358490566,-0.12745017999999944,4.827308124999945,0.0965461624999989,-0.9683257995883681,-2.628981476829485,2048.7735849056603,1620.0,-0.3770109716590791,0.6748794200000002,-0.7380177899999998,0.5482670000000001
tf_1h_donchian_55_20_atr4,tf_1h_donchian_55_20,4.0,1h,51,27,24,-4.918049999999998,-5.444096534999999,-4.918049999999998,0.524006535,0.00204,0.23529411764705882,0.35755786398140504,0.25249738708333336,-0.21728372256410253,-0.10674699088235293,-0.15038514500000033,5.631911370000125,0.11263822740000251,-0.9666516706920191,-2.972298472224468,2622.0588235294117,1980.0,-0.33651720780884364,0.6392015899999997,-0.5747123299999995,0.5260465350000008
tf_1h_donchian_55_20_atr5,tf_1h_donchian_55_20,5.0,1h,50,27,23,-4.982019999999999,-5.498791099999998,-4.982019999999999,0.5147710999999999,0.002,0.2,0.36616705898399154,0.3176666965,-0.21688645162499998,-0.10997582199999996,-0.1502685125000006,5.686605935000443,0.11373211870000888,-0.9669724195509196,-2.765245743018893,2932.5,2070.0,-0.3960890631033431,1.012496775,-0.5747123299999995,0.5167710999999997
tf_4h_donchian_20_10_atr3,tf_4h_donchian_20_10,3.0,4h,32,17,15,-6.4765500000000005,-6.803751195,-6.4765500000000005,0.32592119500000005,0.00128,0.15625,0.2530853884495661,0.46107814399999986,-0.3373756264814815,-0.21261722484375,-0.28277114999999997,6.803751194999677,0.13607502389999354,-1.0000000000000475,-3.4534012697131997,6232.03125,4440.0,-0.2022071200973714,0.6992160950000003,-0.8340378250000006,0.3272011949999998
tf_4h_donchian_20_10_atr4,tf_4h_donchian_20_10,4.0,4h,29,15,14,-6.847660000000001,-7.146693920000002,-6.847660000000001,0.29787392000000007,0.0011600000000000007,0.1724137931034483,0.21138257289675214,0.3831227909999997,-0.37759616145833336,-0.24643772137931041,-0.3072013750000006,7.1466939199999615,0.14293387839999924,-1.0000000000000058,-3.76015603524165,7166.379310344828,4800.0,-0.17318060124785614,0.6765508399999991,-0.8551604100000001,0.2990339200000012
tf_4h_donchian_20_10_atr5,tf_4h_donchian_20_10,5.0,4h,28,15,13,-7.165310000000001,-7.453522065000002,-7.165310000000001,0.28709206500000006,0.0011200000000000006,0.14285714285714285,0.17343541801726242,0.3909872087499999,-0.3757279541666667,-0.26619721660714296,-0.2978038375000003,7.453522064999561,0.1490704412999912,-1.0000000000000593,-4.180382221078643,7850.892857142857,4440.0,-0.17426867039133123,0.6765508399999991,-0.9424640399999992,0.2882120650000015
tf_1h_ema_cross_atr_trail_atr5,tf_1h_ema_cross_atr_trail,5.0,1h,351,202,149,-4.7689,-8.400108249999999,-4.7689,3.61716825,0.01404,0.22792022792022792,0.5559345358163114,0.13145331762499995,-0.06980211682656826,-0.02393193233618233,-0.03247577000000029,8.784573255000396,0.17568656909551295,-0.9562340714978329,-3.066101356864528,705.5982905982906,240.0,-0.9133144546083677,1.27885492,-0.480376675,3.6312082499999985
tf_1h_ema_cross_atr_trail_atr4,tf_1h_ema_cross_atr_trail,4.0,1h,353,203,150,-4.773529999999999,-8.427372025,-4.773529999999999,3.639722025,0.01412,0.22662889518413598,0.5566396634323584,0.13225725049999998,-0.06962619804029303,-0.02387357514164306,-0.03255737999999942,8.785899065000194,0.1757130845565804,-0.9591929024738703,-3.0713802639794054,701.2606232294618,240.0,-0.9117024758379525,1.27885492,-0.480376675,3.653842025000001
tf_1h_ema_cross_atr_trail_atr3,tf_1h_ema_cross_atr_trail,3.0,1h,358,207,151,-4.928150000000004,-8.634294495000002,-4.928150000000004,3.6918244949999997,0.014320000000000001,0.22625698324022347,0.5518678991590126,0.13127164172839503,-0.06955703059566788,-0.024118141047486042,-0.03251657499999985,8.95043848000023,0.1790037811519881,-0.9646783802037574,-3.2015361258111907,690.6284916201117,240.0,-0.8654747558503326,1.27885492,-0.480376675,3.7061444949999984
