feature,bucket,event_count,train_ext_trade_count,train_ext_no_cost_pnl,train_ext_cost_aware_pnl,train_ext_funding_adjusted_pnl,validation_ext_trade_count,validation_ext_no_cost_pnl,validation_ext_cost_aware_pnl,validation_ext_funding_adjusted_pnl,oos_ext_trade_count,oos_ext_no_cost_pnl,oos_ext_cost_aware_pnl,oos_ext_funding_adjusted_pnl,trade_count,train_no_cost,validation_no_cost,oos_no_cost,oos_cost,oos_funding,direction_match,early_entry_rate,trend_recall_proxy_count,largest_symbol_pnl_share,top_5pct_trade_pnl_contribution,all_splits_no_cost_positive
ret_20,q1,1192,522,-551.1702609036397,-1073.1702609036397,-1058.938566719219,397,1512.3016785867944,1115.3016785867944,1123.5221540892926,273,567.6707249351937,294.6707249351937,298.99905031250836,1192,-551.1702609036397,1512.3016785867944,567.6707249351937,294.6707249351937,298.99905031250836,0.8649328859060402,0.3859060402684564,627.0,0.5915383218295733,8.700702421523353,False
ret_20,q2,991,522,136.31193645762184,-385.688063542378,-372.4111998540442,266,505.132271616534,239.13227161653396,245.4599513074749,203,220.67121184283513,17.671211842835177,22.774817001075903,991,136.31193645762184,505.132271616534,220.67121184283513,17.671211842835177,22.774817001075903,0.8748738647830474,0.23713420787083753,456.0,0.523038412147562,-19.74367371494105,True
ret_20,q3,1002,522,670.9352160999516,148.93521609995167,166.26145302518506,274,40.435694804374776,-233.5643051956252,-228.8609978664475,206,-215.32663505519523,-421.32663505519514,-417.2555340003895,1002,670.9352160999516,40.435694804374776,-215.32663505519523,-421.32663505519514,-417.2555340003895,0.8802395209580839,0.20958083832335328,427.0,1.0,-4.609365970341677,False
ret_20,q4,1187,522,-598.7314269299077,-1120.7314269299077,-1096.8626269277731,363,668.1283304085698,305.12833040856975,315.3492157707981,302,393.345234032349,91.345234032349,96.34238319686577,1187,-598.7314269299077,668.1283304085698,393.345234032349,91.345234032349,96.34238319686577,0.8946925021061499,0.17354675652906487,431.0,0.839451211044414,-4.26044416437288,False
ret_20,q5,1406,522,577.8475126622827,55.84751266228267,78.26460562700518,504,521.322262543619,17.32226254361896,28.356784162804388,380,383.78222777241274,3.7822277724126963,11.086368016689853,1406,577.8475126622827,521.322262543619,383.78222777241274,3.7822277724126963,11.086368016689853,0.9310099573257468,0.15860597439544807,405.0,0.646596854744822,35.88245394930932,True
funding_rate,q1,1548,522,-412.85432374009247,-934.8543237400925,-924.3154179654982,603,948.6968247014943,345.69682470149417,352.246247548467,423,512.520710502407,89.5207105024071,93.51202454983402,1548,-412.85432374009247,948.6968247014943,512.520710502407,89.5207105024071,93.51202454983402,0.8959948320413437,0.24612403100775193,542.0,1.0,-9.079526680257539,False
funding_rate,q2,1338,522,-460.6060084762558,-982.6060084762557,-971.6675368130285,455,339.0625313478423,-115.93746865215769,-110.58035322280418,361,329.0334382557987,-31.966561744201286,-27.48916687358677,1338,-460.6060084762558,339.0625313478423,329.0334382557987,-31.966561744201286,-27.48916687358677,0.898355754857997,0.21898355754857998,524.0,0.3336310341624131,-2.1839124503049057,False
funding_rate,q3,1542,522,334.45371601662345,-187.5462839833764,-172.83342550392277,473,1121.8716412613312,648.8716412613313,658.8583298493563,547,308.2328805328074,-238.7671194671926,-220.97215561675466,1542,334.45371601662345,1121.8716412613312,308.2328805328074,-238.7671194671926,-220.97215561675466,0.8858625162127107,0.23346303501945526,516.0,0.5330063220416812,16.26508128136501,True
funding_rate,q4,709,522,405.48543729487085,-116.51456270512921,-98.09697606142174,159,483.46852282036775,324.46852282036775,330.87186795883065,28,226.06558369005478,198.06558369005478,198.3183796320951,709,405.48543729487085,483.46852282036775,226.06558369005478,198.06558369005478,198.3183796320951,0.8885754583921015,0.23554301833568406,313.0,0.7051508629805247,4.793379848817241,True
funding_rate,q5,641,522,368.7141562911632,-153.28584370883675,-116.77297850497439,114,354.22071782885666,240.22071782885664,252.4310153300732,5,-25.709849453472767,-30.709849453472767,-31.421997164837087,641,368.7141562911632,354.22071782885666,-25.709849453472767,-30.709849453472767,-31.421997164837087,0.8829953198127926,0.20748829953198128,234.0,0.5201418296405116,15.338954383508742,False
