split,policy_name,policy_family,month,trade_count,net_pnl,no_cost_pnl,win_rate,avg_trade,max_drawdown,max_ddpercent,active_symbol_count,avg_holding_minutes
train,v3_ensemble_core,ensemble,2025-02,19,0.1827429349999993,0.2444499999999989,0.2631578947368421,0.009618049210526279,0.4699861100007183,0.009398638022954217,5,4673.684210526316
train,v3_ensemble_core,ensemble,2025-03,27,0.3237428049999999,0.4012299999999997,0.37037037037037035,0.011990474259259256,0.9443965050004408,0.01888314080937749,5,4888.888888888889
train,v3_ensemble_core,ensemble,2025-04,24,0.06829236000000041,0.11860000000000039,0.3333333333333333,0.002845515000000017,0.17806596999980684,0.003561180189523863,4,3990.0
train,v3_ensemble_core,ensemble,2025-05,35,0.7252865099999998,0.8487599999999997,0.22857142857142856,0.020722471714285706,0.665958519999549,0.013317543796496795,5,3833.1428571428573
train,v3_ensemble_core,ensemble,2025-06,30,-0.30143135499999907,-0.2189499999999991,0.26666666666666666,-0.010047711833333303,0.38307831500060274,0.0076614411933355235,5,3536.0
train,v3_ensemble_core,ensemble,2025-07,27,0.7966957399999995,0.9259599999999995,0.2222222222222222,0.02950724962962961,0.7146523999999772,0.014291954150196356,5,4524.444444444444
train,v3_ensemble_core,ensemble,2025-08,36,-2.0830159899999963,-1.9274199999999964,0.1111111111111111,-0.05786155527777767,2.0830159899996943,0.041660319799993885,5,2606.6666666666665
train,v3_ensemble_core,ensemble,2025-09,45,-0.8183714200000001,-0.5947000000000001,0.3111111111111111,-0.018186031555555558,1.246128939999835,0.02492169595988287,5,2847.9333333333334
validation,v3_1d_donchian_20_10_atr4,1d_donchian,2025-10,2,-1.8606247850000002,-1.8446300000000002,0.0,-0.9303123925000001,1.8606247850002546,0.037212495700005094,2,9360.0
validation,v3_1d_donchian_20_10_atr4,1d_donchian,2025-12,4,1.1184545,1.1274800000000003,0.75,0.279613625,0.12527198499992664,0.002504816638639824,4,84959.25
validation,v3_1d_donchian_55_20_atr5,1d_donchian,2025-12,3,1.2267411300000002,1.2341200000000003,1.0,0.40891371000000004,0.0,0.0,3,106559.33333333333
validation,v3_1d_ema_50_200_atr5,1d_ema,2025-10,7,-1.818315045000001,-1.7724100000000007,0.0,-0.25975929214285726,1.8183150450004177,0.03636630090000836,4,6377.142857142857
validation,v3_1d_ema_50_200_atr5,1d_ema,2025-12,3,0.9147767049999999,0.9203099999999997,1.0,0.3049255683333333,0.0,0.0,3,82079.0
validation,v3_4h_donchian_100_30_atr5,4h_donchian,2025-10,5,-1.4317175649999996,-1.4068499999999993,0.0,-0.28634351299999994,1.4317175650003264,0.02863435130000653,4,11280.0
validation,v3_4h_donchian_100_30_atr5,4h_donchian,2025-11,5,-0.32736365000000034,-0.3090800000000004,0.4,-0.06547273000000006,0.4334294000000227,0.008668404115843685,5,9360.0
validation,v3_4h_donchian_100_30_atr5,4h_donchian,2025-12,6,-1.3049495399999997,-1.2958199999999997,0.0,-0.21749158999999996,1.3049495400000524,0.026098990800001047,3,11560.0
validation,v3_4h_donchian_20_10_atr4,4h_donchian,2025-10,16,-0.200130664999999,-0.134649999999999,0.375,-0.012508166562499937,1.1966705699996965,0.023928642230622875,4,5370.0
validation,v3_4h_donchian_20_10_atr4,4h_donchian,2025-11,10,-0.09779901500000111,-0.05839000000000123,0.6,-0.009779901500000111,0.6157154950005861,0.012313889176138028,5,11280.0
validation,v3_4h_donchian_20_10_atr4,4h_donchian,2025-12,16,-2.7376531149999996,-2.67685,0.1875,-0.17110331968749998,2.7376531150002847,0.0547530623000057,5,7169.8125
validation,v3_4h_donchian_55_20_atr4,4h_donchian,2025-10,8,-0.9887900050000004,-0.9456700000000005,0.5,-0.12359875062500005,1.0654296599996087,0.02130826658835218,5,7290.0
validation,v3_4h_donchian_55_20_atr4,4h_donchian,2025-11,7,-0.23273879500000044,-0.21027000000000062,0.5714285714285714,-0.033248399285714346,0.6703917499999079,0.013407535381148026,5,9531.42857142857
validation,v3_4h_donchian_55_20_atr4,4h_donchian,2025-12,9,-1.0720989850000004,-1.0475700000000003,0.1111111111111111,-0.1191221094444445,1.2234109800001534,0.024468219600003067,5,9173.222222222223
validation,v3_4h_donchian_55_with_risk_filters,risk_filtered,2025-10,3,-0.3698649350000005,-0.35683000000000054,0.3333333333333333,-0.12328831166666683,0.39441493499998614,0.007888259968643277,2,8400.0
validation,v3_4h_donchian_55_with_risk_filters,risk_filtered,2025-12,1,-0.007996655,-0.00783,0.0,-0.007996655,0.007996655000169994,0.0001599331000033999,1,15120.0
validation,v3_4h_ema_50_200_atr4,4h_ema,2025-10,41,-2.5371596350000005,-2.3668300000000007,0.0975609756097561,-0.06188194231707318,2.5371596349996253,0.05074319269999251,5,2277.0731707317073
validation,v3_4h_ema_50_200_atr4,4h_ema,2025-11,27,1.8127979900000015,1.9077000000000013,0.37037037037037035,0.06714066629629635,0.46682626999972854,0.009334867052834648,5,4337.777777777777
validation,v3_4h_ema_50_200_atr4,4h_ema,2025-12,44,-1.9979315499999972,-1.8568999999999969,0.1590909090909091,-0.045407535227272665,2.0386750500001654,0.04077350100000331,5,2585.431818181818
validation,v3_4h_vol_compression_donchian_breakout,vol_compression,2025-10,11,0.10026498500000033,0.14815000000000045,0.36363636363636365,0.009114998636363668,0.4485094250003385,0.00896920408607067,5,5149.090909090909
validation,v3_4h_vol_compression_donchian_breakout,vol_compression,2025-11,5,0.11979739499999988,0.1352099999999998,0.8,0.023959478999999975,0.23649525000018912,0.00472979808074719,3,11472.0
validation,v3_4h_vol_compression_donchian_breakout,vol_compression,2025-12,10,-1.1350077899999995,-1.0964799999999995,0.2,-0.11350077899999995,1.1350077899996904,0.02270015579999381,5,7223.7
validation,v3_ensemble_core,ensemble,2025-10,40,-1.965468265000001,-1.7886500000000012,0.15,-0.049136706625000026,2.14330819999941,0.04286463939105158,5,2586.0
validation,v3_ensemble_core,ensemble,2025-11,28,1.8098216200000015,1.9077000000000013,0.35714285714285715,0.06463648642857148,0.46682626999972854,0.009334867052834648,5,4182.857142857143
validation,v3_ensemble_core,ensemble,2025-12,49,-3.030121824999998,-2.8801899999999976,0.14285714285714285,-0.061839220918367306,3.070865325000341,0.06141730650000681,5,2546.918367346939
