split,policy_name,policy_family,symbol,trade_count,no_cost_pnl,net_pnl,contribution_share,positive_pnl_share,absolute_pnl_share,win_rate,avg_trade_pnl,policy_net_pnl,policy_no_cost_pnl,net_pnl_without_symbol,no_cost_pnl_without_symbol,removing_symbol_improves_policy,largest_symbol_dependency,largest_dependency_symbol,is_largest_dependency_symbol
validation,v3_1d_ema_50_200_atr5,1d_ema,BTCUSDT_SWAP_OKX.GLOBAL,3,-1.4021100000000006,-1.4367493050000006,1.5901365126354232,,0.5728699867198168,0.0,-0.4789164350000002,-0.9035383400000008,-0.8521000000000011,0.5332109649999999,0.5500099999999996,True,0.8955168660925401,DOGEUSDT_SWAP_OKX.GLOBAL,False
validation,v3_1d_ema_50_200_atr5,1d_ema,DOGEUSDT_SWAP_OKX.GLOBAL,1,0.7219999999999999,0.7184044999999999,-0.7951012903337331,0.8955168660925401,0.28644689434838905,1.0,0.7184044999999999,-0.9035383400000008,-0.8521000000000011,-1.6219428400000007,-1.574100000000001,False,0.8955168660925401,DOGEUSDT_SWAP_OKX.GLOBAL,True
validation,v3_1d_ema_50_200_atr5,1d_ema,ETHUSDT_SWAP_OKX.GLOBAL,2,-0.2605600000000003,-0.2690123400000003,0.2977320696762022,,0.1072623422241829,0.0,-0.13450617000000015,-0.9035383400000008,-0.8521000000000011,-0.6345260000000005,-0.5915400000000008,True,0.8955168660925401,DOGEUSDT_SWAP_OKX.GLOBAL,False
validation,v3_1d_ema_50_200_atr5,1d_ema,LINKUSDT_SWAP_OKX.GLOBAL,2,0.023270000000000002,0.022829855,-0.025267167965445696,0.02845822959481338,0.009102867622869904,0.5,0.0114149275,-0.9035383400000008,-0.8521000000000011,-0.9263681950000008,-0.8753700000000011,False,0.8955168660925401,DOGEUSDT_SWAP_OKX.GLOBAL,False
validation,v3_1d_ema_50_200_atr5,1d_ema,SOLUSDT_SWAP_OKX.GLOBAL,2,0.06530000000000001,0.06098895,-0.06750012401244639,0.07602490431264647,0.024317909084741515,0.5,0.030494475,-0.9035383400000008,-0.8521000000000011,-0.9645272900000008,-0.9174000000000011,False,0.8955168660925401,DOGEUSDT_SWAP_OKX.GLOBAL,False
validation,v3_4h_donchian_100_30_atr5,4h_donchian,BTCUSDT_SWAP_OKX.GLOBAL,2,-0.19560000000000002,-0.21660511999999998,0.07069286744153454,,0.07069286744153454,0.5,-0.10830255999999999,-3.0640307549999997,-3.0117499999999997,-2.8474256349999996,-2.8161499999999995,True,0.6786338458276997,ETHUSDT_SWAP_OKX.GLOBAL,False
validation,v3_4h_donchian_100_30_atr5,4h_donchian,DOGEUSDT_SWAP_OKX.GLOBAL,2,-0.5074999999999998,-0.5154117499999997,0.16821363465720165,,0.16821363465720165,0.0,-0.25770587499999986,-3.0640307549999997,-3.0117499999999997,-2.548619005,-2.50425,True,0.6786338458276997,ETHUSDT_SWAP_OKX.GLOBAL,False
validation,v3_4h_donchian_100_30_atr5,4h_donchian,ETHUSDT_SWAP_OKX.GLOBAL,5,-2.06081,-2.079354975,0.6786338458276997,,0.6786338458276997,0.0,-0.415870995,-3.0640307549999997,-3.0117499999999997,-0.9846757799999994,-0.9509399999999997,True,0.6786338458276997,ETHUSDT_SWAP_OKX.GLOBAL,True
validation,v3_4h_donchian_100_30_atr5,4h_donchian,LINKUSDT_SWAP_OKX.GLOBAL,5,-0.0677399999999996,-0.06867255999999951,0.022412490438595327,,0.022412490438595327,0.0,-0.013734511999999902,-3.0640307549999997,-3.0117499999999997,-2.995358195,-2.94401,True,0.6786338458276997,ETHUSDT_SWAP_OKX.GLOBAL,False
validation,v3_4h_donchian_100_30_atr5,4h_donchian,SOLUSDT_SWAP_OKX.GLOBAL,2,-0.1800999999999999,-0.18398634999999997,0.060047161634968635,,0.060047161634968635,0.5,-0.09199317499999998,-3.0640307549999997,-3.0117499999999997,-2.8800444049999996,-2.83165,True,0.6786338458276997,ETHUSDT_SWAP_OKX.GLOBAL,False
validation,v3_4h_donchian_20_10_atr4,4h_donchian,BTCUSDT_SWAP_OKX.GLOBAL,9,-1.477959999999999,-1.569608139999999,0.5170697839588986,,0.5170697839588986,0.2222222222222222,-0.17440090444444434,-3.0355827949999994,-2.8698899999999994,-1.4659746550000003,-1.3919300000000003,True,0.5170697839588986,BTCUSDT_SWAP_OKX.GLOBAL,True
validation,v3_4h_donchian_20_10_atr4,4h_donchian,DOGEUSDT_SWAP_OKX.GLOBAL,6,-0.6815000000000001,-0.7031097500000001,0.2316226561693898,,0.2316226561693898,0.16666666666666666,-0.11718495833333335,-3.0355827949999994,-2.8698899999999994,-2.3324730449999995,-2.188389999999999,True,0.5170697839588986,BTCUSDT_SWAP_OKX.GLOBAL,False
validation,v3_4h_donchian_20_10_atr4,4h_donchian,ETHUSDT_SWAP_OKX.GLOBAL,11,-0.65839,-0.699654745,0.23048448757596815,,0.23048448757596815,0.36363636363636365,-0.06360497681818182,-3.0355827949999994,-2.8698899999999994,-2.3359280499999993,-2.211499999999999,True,0.5170697839588986,BTCUSDT_SWAP_OKX.GLOBAL,False
validation,v3_4h_donchian_20_10_atr4,4h_donchian,LINKUSDT_SWAP_OKX.GLOBAL,12,-0.011640000000000102,-0.0141058600000001,0.004646837511147544,,0.004646837511147544,0.5,-0.0011754883333333418,-3.0355827949999994,-2.8698899999999994,-3.0214769349999995,-2.858249999999999,True,0.5170697839588986,BTCUSDT_SWAP_OKX.GLOBAL,False
validation,v3_4h_donchian_20_10_atr4,4h_donchian,SOLUSDT_SWAP_OKX.GLOBAL,4,-0.040400000000000214,-0.04910430000000027,0.016176234784596042,,0.016176234784596042,0.5,-0.012276075000000067,-3.0355827949999994,-2.8698899999999994,-2.986478494999999,-2.829489999999999,True,0.5170697839588986,BTCUSDT_SWAP_OKX.GLOBAL,False
validation,v3_4h_donchian_55_20_atr4,4h_donchian,BTCUSDT_SWAP_OKX.GLOBAL,4,-0.628490000000001,-0.6694715850000008,0.2918832730307199,,0.2918832730307199,0.5,-0.1673678962500002,-2.2936277850000013,-2.2035100000000014,-1.6241562000000005,-1.5750200000000003,True,0.48642907855251655,DOGEUSDT_SWAP_OKX.GLOBAL,False
validation,v3_4h_donchian_55_20_atr4,4h_donchian,DOGEUSDT_SWAP_OKX.GLOBAL,5,-1.0965,-1.11568725,0.48642907855251644,,0.48642907855251644,0.0,-0.22313745,-2.2936277850000013,-2.2035100000000014,-1.1779405350000014,-1.1070100000000014,True,0.48642907855251655,DOGEUSDT_SWAP_OKX.GLOBAL,True
validation,v3_4h_donchian_55_20_atr4,4h_donchian,ETHUSDT_SWAP_OKX.GLOBAL,6,-0.31441000000000024,-0.33685876500000034,0.14686723242672967,,0.14686723242672967,0.5,-0.056143127500000056,-2.2936277850000013,-2.2035100000000014,-1.956769020000001,-1.8891000000000011,True,0.48642907855251655,DOGEUSDT_SWAP_OKX.GLOBAL,False
validation,v3_4h_donchian_55_20_atr4,4h_donchian,LINKUSDT_SWAP_OKX.GLOBAL,6,-0.015009999999999801,-0.0161313349999999,0.007033109341235108,,0.007033109341235108,0.3333333333333333,-0.0026885558333333164,-2.2936277850000013,-2.2035100000000014,-2.2774964500000014,-2.1885000000000017,True,0.48642907855251655,DOGEUSDT_SWAP_OKX.GLOBAL,False
