exit_variant,oracle,source_policy,trade_count,no_cost_pnl,cost_aware_pnl,funding_adjusted_pnl,funding_events_count,funding_data_complete,win_rate,profit_factor,max_drawdown,largest_symbol_pnl_share,top_5pct_trade_pnl_contribution,avg_captured_fraction,early_exit_share,late_entry_share,avg_hold_bars,max_hold_bars_used,exit_reason_distribution
health_ema20_core,False,v3_1d_ema_50_200_atr5,162,-1.2095300000000022,-1.7126009100000008,-2.516105949911012,6448,True,0.43209876543209874,0.840188533197682,6.000228250126307,0.9464444162950795,-3.242246168517224,0.24725671510678698,0.7037037037037037,0.4506172839506173,12.975308641975309,50,"{""hard_drawdown"": 10, ""health_deterioration"": 146, ""max_hold_bars"": 6}"
health_ema20_core,False,v3_4h_donchian_100_30_atr5,170,-6.711750000000001,-7.167228969999998,-7.407924104499541,1615,True,0.3235294117647059,0.5496616494462625,8.220157289413095,0.34604557694814964,-0.7280240418708905,0.28557098709466233,0.4176470588235294,0.041176470588235294,18.276470588235295,50,"{""data_end"": 1, ""hard_drawdown"": 33, ""health_deterioration"": 129, ""max_hold_bars"": 7}"
health_ema20_core,False,v3_4h_donchian_20_10_atr4,517,-6.0538499999999935,-7.372776599999991,-7.810916166479978,4608,True,0.34235976789168276,0.7387452201799438,8.848894561042018,0.38298486382719515,-1.7658958191792966,0.3813575136492119,0.5222437137330754,0.2727272727272727,17.102514506769825,50,"{""data_end"": 3, ""hard_drawdown"": 57, ""health_deterioration"": 442, ""max_hold_bars"": 15}"
health_ema20_core,False,v3_4h_donchian_55_20_atr4,278,-8.878690000000002,-9.631083784999998,-9.930697900194168,2671,True,0.34532374100719426,0.5651068156413305,10.545522852447776,0.4694065293802112,-0.7929768550205906,0.3421194131613704,0.49280575539568344,0.12589928057553956,18.528776978417266,50,"{""data_end"": 1, ""hard_drawdown"": 43, ""health_deterioration"": 224, ""max_hold_bars"": 10}"
health_ema20_core,False,v3_4h_donchian_55_with_risk_filters,73,2.610329999999999,2.4611786749999993,2.3874287390341418,754,True,0.3150684931506849,2.0734209170220717,0.6495803411502141,0.4005188801480631,1.3798656551386146,0.3979111815316546,0.4794520547945205,0.136986301369863,20.068493150684933,50,"{""data_end"": 1, ""hard_drawdown"": 13, ""health_deterioration"": 57, ""max_hold_bars"": 2}"
health_ema20_core,False,v3_4h_ema_50_200_atr4,1116,2.7586600000000185,-0.5002394349999737,-1.227746628049619,6602,True,0.42562724014336917,0.9670827993954367,8.495212796611241,0.9049690067026223,-19.01743815685495,0.2295696271259041,0.7132616487455197,0.471326164874552,11.03853046594982,50,"{""data_end"": 5, ""hard_drawdown"": 71, ""health_deterioration"": 1009, ""max_hold_bars"": 31}"
health_ema20_core,False,v3_4h_vol_compression_donchian_breakout,349,1.8387100000000014,0.9413200200000049,0.6369756836137915,3177,True,0.3524355300859599,1.0411750741852588,2.4884699792510716,0.5272435914444775,14.627716424983898,0.38853220149856,0.5444126074498568,0.30945558739255014,17.507163323782233,50,"{""data_end"": 2, ""hard_drawdown"": 51, ""health_deterioration"": 284, ""max_hold_bars"": 12}"
health_ema20_core,False,v3_ensemble_core,1154,-1.3765099999999855,-4.683553649999978,-5.461915121452961,7104,True,0.41421143847487,0.8738152294824209,9.834732361090213,1.0,-4.517623621856006,0.24260695303966606,0.7140381282495667,0.4506065857885615,11.49740034662045,50,"{""data_end"": 5, ""hard_drawdown"": 89, ""health_deterioration"": 1030, ""max_hold_bars"": 30}"
health_ema50_core,False,v3_1d_donchian_20_10_atr4,89,1.091029999999996,0.8578844049999972,0.03035251366599814,6812,True,0.3258426966292135,1.0023805311221496,4.168096858732015,0.42991694101038974,256.5588637033008,0.48021995351603713,0.42696629213483145,0.30337078651685395,25.247191011235955,50,"{""hard_drawdown"": 12, ""health_deterioration"": 62, ""max_hold_bars"": 15}"
health_ema50_core,False,v3_1d_donchian_55_20_atr5,43,3.374950000000001,3.2628254250000013,2.6123008775698855,4094,True,0.4418604651162791,1.376597741115719,3.080156156183616,0.5299132809459872,1.8380890744304412,0.4242229726783486,0.3023255813953488,0.16279069767441862,31.46511627906977,50,"{""hard_drawdown"": 12, ""health_deterioration"": 19, ""max_hold_bars"": 12}"
health_ema50_core,False,v3_1d_ema_50_200_atr5,162,14.64618,14.143109090000001,12.573707617982542,10741,True,0.37037037037037035,1.6683356336279802,6.0458707649316885,0.8563223261690756,1.5293095970453354,0.3847587166042787,0.6481481481481481,0.4506172839506173,21.814814814814813,50,"{""data_end"": 3, ""hard_drawdown"": 12, ""health_deterioration"": 117, ""max_hold_bars"": 30}"
health_ema50_core,False,v3_4h_donchian_100_30_atr5,170,-7.266080000000002,-7.721558970000002,-8.010926484642475,2551,True,0.37058823529411766,0.5952596994340242,8.36771508311205,0.4793427832974608,-0.849471405438215,0.47384903432339315,0.38823529411764707,0.041176470588235294,29.194117647058825,50,"{""data_end"": 1, ""hard_drawdown"": 55, ""health_deterioration"": 67, ""max_hold_bars"": 47}"
health_ema50_core,False,v3_4h_donchian_20_10_atr4,517,-5.300289999999994,-6.619216599999989,-7.217945692584871,6630,True,0.33268858800773693,0.7961427138830081,8.989785585906084,0.39336842746833356,-2.3905288050941813,0.48575654030070886,0.46808510638297873,0.2727272727272727,24.941972920696326,50,"{""data_end"": 3, ""hard_drawdown"": 102, ""health_deterioration"": 323, ""max_hold_bars"": 89}"
health_ema50_core,False,v3_4h_donchian_55_20_atr4,278,-11.558180000000005,-12.310573785000004,-12.712622859311848,4031,True,0.3597122302158273,0.5463750233288173,13.486612893193284,0.4958224380165262,-0.7011239987563176,0.5045668548609195,0.42805755395683454,0.12589928057553956,28.320143884892087,50,"{""data_end"": 1, ""hard_drawdown"": 80, ""health_deterioration"": 136, ""max_hold_bars"": 61}"
health_ema50_core,False,v3_4h_donchian_55_with_risk_filters,73,2.10987,1.9607186750000012,1.8495503143069758,1028,True,0.2876712328767123,1.5902776498525317,1.0973982917308578,0.3938498166078971,1.7811523674707297,0.5337890939916148,0.4520547945205479,0.136986301369863,27.52054794520548,50,"{""data_end"": 1, ""hard_drawdown"": 32, ""health_deterioration"": 31, ""max_hold_bars"": 9}"
health_ema50_core,False,v3_4h_ema_50_200_atr4,1116,11.74127000000001,8.482370565000018,7.1350080419527115,11659,True,0.3431899641577061,1.1420053201046325,9.113554093315216,0.9618171795918191,5.585992698144711,0.36209865460690477,0.6612903225806451,0.471326164874552,20.1084229390681,50,"{""data_end"": 6, ""hard_drawdown"": 122, ""health_deterioration"": 828, ""max_hold_bars"": 160}"
health_ema50_core,False,v3_4h_vol_compression_donchian_breakout,349,-1.525689999999999,-2.423079979999997,-2.8025084336564214,4338,True,0.3524355300859599,0.8634264832374522,4.683583970135502,0.7707882448688775,-3.635452859916836,0.46956695979830826,0.49570200573065903,0.30945558739255014,24.16618911174785,50,"{""data_end"": 3, ""hard_drawdown"": 94, ""health_deterioration"": 204, ""max_hold_bars"": 48}"
health_ema50_core,False,v3_ensemble_core,1154,1.7988600000000026,-1.5081836499999874,-2.7598129596827166,12045,True,0.3310225303292894,0.9514231892138104,8.697065135776493,0.989422883779233,-13.863561198177628,0.3702463236823824,0.6568457538994801,0.4506065857885615,20.064991334488735,50,"{""data_end"": 6, ""hard_drawdown"": 152, ""health_deterioration"": 844, ""max_hold_bars"": 152}"
health_energy_confirmed,False,v3_1d_donchian_20_10_atr4,89,1.96682,1.7336744050000008,1.0465577891047895,4642,True,0.38202247191011235,1.0980424381968008,3.20403462973631,0.6856198739126748,7.066060254940911,0.3446679481981681,0.5168539325842697,0.30337078651685395,17.123595505617978,50,"{""hard_drawdown"": 14, ""health_deterioration"": 72, ""max_hold_bars"": 3}"
health_energy_confirmed,False,v3_1d_donchian_55_20_atr5,43,3.417900000000002,3.3057754250000015,2.758718807651488,2459,True,0.37209302325581395,1.4595763004394724,3.025883160096092,0.39788184519883646,1.8830360821050867,0.2499511483245678,0.4186046511627907,0.16279069767441862,18.790697674418606,50,"{""hard_drawdown"": 9, ""health_deterioration"": 32, ""max_hold_bars"": 2}"
health_energy_confirmed,False,v3_1d_ema_50_200_atr5,162,-2.429930000000001,-2.9330009099999996,-3.7475852650284596,6559,True,0.43209876543209874,0.77899313111446,7.199029579520541,0.9555583125849114,-2.173724592283976,0.24910689696300672,0.6975308641975309,0.4506172839506173,13.203703703703704,50,"{""hard_drawdown"": 17, ""health_deterioration"": 139, ""max_hold_bars"": 6}"
