exit_variant,oracle,symbol,trade_count,no_cost_pnl,cost_aware_pnl,funding_adjusted_pnl,funding_events_count,funding_data_complete,win_rate,profit_factor,max_drawdown,largest_symbol_pnl_share,top_5pct_trade_pnl_contribution,avg_captured_fraction,early_exit_share,late_entry_share,avg_hold_bars,max_hold_bars_used,exit_reason_distribution
health_ema50_core,False,LINKUSDT_SWAP_OKX.GLOBAL,949,0.1485699999999997,-0.014491854999994891,-0.10267913663308875,16310,True,0.34351949420442573,0.9761719504175481,0.7475372579015066,1.0,-19.814767768013397,0.47955784157904724,0.512118018967334,0.3340358271865121,23.45205479452055,50,"{""data_end"": 3, ""hard_drawdown"": 194, ""health_deterioration"": 615, ""max_hold_bars"": 137}"
health_ema50_core,False,SOLUSDT_SWAP_OKX.GLOBAL,704,-3.8583399999999988,-4.913346734999996,-5.67536948379914,9359,True,0.3465909090909091,0.8317286025795771,12.50099728982567,1.0,-3.040126991436226,0.36992652497423406,0.6278409090909091,0.3536931818181818,19.808238636363637,50,"{""data_end"": 5, ""hard_drawdown"": 119, ""health_deterioration"": 501, ""max_hold_bars"": 79}"
health_energy_confirmed,False,BTCUSDT_SWAP_OKX.GLOBAL,764,1.7051500000000352,-3.415593129999957,-6.378549432607516,9160,True,0.39528795811518325,0.9163800799401624,23.701218152450863,1.0,-5.913420897317035,0.2578788831209745,0.6348167539267016,0.38481675392670156,14.472513089005236,50,"{""data_end"": 7, ""hard_drawdown"": 70, ""health_deterioration"": 661, ""max_hold_bars"": 26}"
health_energy_confirmed,False,DOGEUSDT_SWAP_OKX.GLOBAL,728,-6.479180000000007,-8.951427979999998,-9.250390873982951,6782,True,0.4175824175824176,0.764089971020203,13.298406746408435,1.0,-1.896056960916949,0.27940718102540335,0.625,0.40384615384615385,14.228021978021978,50,"{""hard_drawdown"": 89, ""health_deterioration"": 589, ""max_hold_bars"": 50}"
health_energy_confirmed,False,ETHUSDT_SWAP_OKX.GLOBAL,806,-2.4447999999999968,-4.6213651250000005,-5.718180647114898,8191,True,0.3858560794044665,0.8893509700912198,15.951169478990224,1.0,-4.467279768510175,0.2748820412742519,0.6699751861042184,0.37220843672456577,13.76302729528536,50,"{""data_end"": 5, ""hard_drawdown"": 104, ""health_deterioration"": 665, ""max_hold_bars"": 32}"
health_energy_confirmed,False,LINKUSDT_SWAP_OKX.GLOBAL,949,-0.7762899999999999,-0.9393518549999949,-0.9955584493438148,11101,True,0.37513171759747105,0.7413134754212287,1.307647497806855,1.0,-1.3877060843863716,0.3672364149143063,0.5732349841938883,0.3340358271865121,16.14436248682824,50,"{""data_end"": 2, ""hard_drawdown"": 163, ""health_deterioration"": 759, ""max_hold_bars"": 25}"
health_energy_confirmed,False,SOLUSDT_SWAP_OKX.GLOBAL,704,-3.5155299999999996,-4.570536734999994,-5.041696718013997,5939,True,0.39204545454545453,0.8276983298223807,12.219841413727423,1.0,-2.8538428672676868,0.25166775492250987,0.6633522727272727,0.3536931818181818,12.610795454545455,50,"{""data_end"": 4, ""hard_drawdown"": 89, ""health_deterioration"": 604, ""max_hold_bars"": 7}"
health_no_energy,False,BTCUSDT_SWAP_OKX.GLOBAL,764,0.7003400000000122,-4.420403129999985,-6.664717176171337,5779,True,0.337696335078534,0.8907111383868419,18.9149465034574,1.0,-5.282763728206892,0.17640277441035543,0.6596858638743456,0.38481675392670156,8.763089005235603,50,"{""hard_drawdown"": 24, ""health_deterioration"": 733, ""max_hold_bars"": 7}"
health_no_energy,False,DOGEUSDT_SWAP_OKX.GLOBAL,728,-4.1710400000000005,-6.6432879799999895,-6.933419712860255,3519,True,0.385989010989011,0.7775820953051577,10.706861852883844,1.0,-2.3847399913391762,0.16970179553778453,0.6771978021978022,0.40384615384615385,7.083791208791209,50,"{""hard_drawdown"": 44, ""health_deterioration"": 682, ""max_hold_bars"": 2}"
health_no_energy,False,ETHUSDT_SWAP_OKX.GLOBAL,806,-7.321999999999992,-9.498565124999987,-10.321945214550269,5218,True,0.3610421836228288,0.745577004153697,17.30714895656557,1.0,-1.7950935056165505,0.19384896764770806,0.6761786600496278,0.37220843672456577,8.724565756823822,50,"{""hard_drawdown"": 31, ""health_deterioration"": 773, ""max_hold_bars"": 2}"
