group,session_type,timeframe,split,trade_count,long_count,short_count,no_cost_pnl,cost_aware_pnl,funding_pnl,funding_adjusted_pnl,avg_gross_return,win_rate,max_drawdown,max_drawdown_pct
C,europe_to_us,15m,oos,458,209,249,-2364.7191950803804,-3280.7191950803804,1.9282850028874001,-3278.7909100774937,-0.005163142347337076,0.3558951965065502,3414.9948799239946,3.0056178032764227
C,europe_to_us,15m,train,1349,666,683,-4295.515236871537,-6993.515236871537,4.909246180578398,-6988.6059906909595,-0.0031842218212539196,0.3780578206078577,7003.604385098883,7.027183804596416
C,europe_to_us,15m,validation,351,164,187,-3874.1238517235265,-4576.123851723527,2.1132721971762,-4574.010579526351,-0.011037389890950218,0.38746438746438744,4734.7499343140535,4.158029542155487
C,europe_to_us,30m,oos,400,190,210,-2682.4972407767946,-3482.497240776794,0.6000216122212998,-3481.897219164573,-0.006706243101941986,0.345,3658.5079054576454,3.1093614464643573
C,europe_to_us,30m,train,1230,602,628,-4545.364161353617,-7005.364161353618,10.1685126784516,-6995.195648675166,-0.0036954180173606648,0.3926829268292683,6613.744467403879,11.123158478930904
C,europe_to_us,30m,validation,309,146,163,-2236.1129111683813,-2854.1129111683813,0.5479552365750998,-2853.5649559318053,-0.00723661136300447,0.4692556634304207,3098.596538935348,2.6289065346265117
D,random_time_control,15m,oos,646,319,327,2768.531425927763,1476.531425927763,-1.5339446187027,1474.99748130906,0.00428565236211728,0.47987616099071206,264.1087841211993,0.17562027074768582
D,random_time_control,15m,train,1897,973,924,7576.248277723803,3782.248277723803,-21.426584976795404,3760.8216927470075,0.003993805101593992,0.4717975751186083,603.5796295757409,0.31774695162396915
D,random_time_control,15m,validation,496,251,245,1478.6338125940492,486.63381259404946,-2.5366283334621,484.09718426058726,0.0029811165576492933,0.5020161290322581,526.2696868347789,0.31000816977513107
D,random_time_control,1h,oos,138,77,61,1067.5082919813879,791.5082919813879,-2.1698145034934,789.3384774778945,0.007735567333198464,0.5579710144927537,445.2332168783323,0.20038782638111877
D,random_time_control,1h,train,450,238,212,4739.6320062174445,3839.6320062174445,-10.073688607677301,3829.5583176097666,0.010532515569372099,0.5622222222222222,318.63839675531017,0.1256104797511876
D,random_time_control,1h,validation,102,58,44,597.5953960609772,393.59539606097707,-1.2546083131991004,392.340787747778,0.005858778392754678,0.5490196078431373,235.71348857229464,0.16761218819813634
D,random_time_control,30m,oos,500,248,252,3456.746948487009,2456.7469484870085,-0.9108451138179998,2455.836103373191,0.006913493896974017,0.56,168.75222012411496,0.10500455652414552
D,random_time_control,30m,train,1583,804,779,11289.505233202533,8123.505233202533,1.2984539303708003,8124.803687132906,0.007131715245232175,0.5805432722678459,568.4814819039166,0.1363924427733723
D,random_time_control,30m,validation,406,209,197,3155.2542912503804,2343.25429125038,-2.1058829988726,2341.1484082515076,0.007771562293720149,0.6182266009852216,330.781607800791,0.2519817535565452
E,reverse_test,15m,oos,662,340,322,4979.824527668125,3655.824527668125,-2.5265978846388,3653.297929783486,0.0075223935463264715,0.5634441087613293,283.9398863696606,0.19701428032896628
E,reverse_test,15m,train,1941,946,995,9414.467730052536,5532.467730052535,-3.6313203053858003,5528.836409747149,0.004850318253504655,0.4889232354456466,2325.913031016962,0.5241575833256474
E,reverse_test,15m,validation,518,255,263,6790.042481695551,5754.042481695551,-2.3662651578416,5751.6762165377095,0.01310819011910338,0.5501930501930502,272.908759229348,0.25805778068581936
E,reverse_test,1h,oos,145,64,81,1440.2363913311356,1150.2363913311356,4.1613459177328,1154.3977372488687,0.009932664767800936,0.5724137931034483,226.41064671593654,0.15940943986876804
E,reverse_test,1h,train,477,220,257,3439.7729685351214,2485.772968535121,9.1694778774586,2494.9424464125805,0.0072112640849792894,0.4863731656184486,1430.7891979822605,0.8001769903631623
E,reverse_test,1h,validation,107,47,60,907.9835668227669,693.9835668227669,1.2601052059399003,695.2436720287068,0.008485827727315579,0.514018691588785,406.27837473086174,0.23031478704799901
E,reverse_test,30m,oos,505,252,253,4099.158973321743,3089.1589733217434,1.359198512924,3090.5181718346676,0.008117146481825236,0.596039603960396,584.6612242251686,0.2341239058393797
E,reverse_test,30m,train,1533,754,779,7438.4374930861895,4372.4374930861895,-10.9783029878495,4361.4591900983405,0.004852209714994253,0.4827136333985649,2363.3711038204283,0.7837969632994889
E,reverse_test,30m,validation,399,194,205,4009.6886291436276,3211.6886291436276,0.6229195652217,3212.31154870885,0.010049344935197064,0.47117794486215536,436.36427248604423,0.2895979220247815
