group,session_type,timeframe,split,symbol,trade_count,long_count,short_count,no_cost_pnl,cost_aware_pnl,funding_pnl,funding_adjusted_pnl,avg_gross_return,win_rate,max_drawdown,max_drawdown_pct
A,ordinary_rolling,30m,train,SOLUSDT_SWAP_OKX.GLOBAL,792,406,386,-15126.305408351649,-16710.305408351647,-3.6744918440692986,-16713.979900195718,-0.019098870465090467,0.42424242424242425,16697.828175868417,16.971954506350663
A,ordinary_rolling,30m,validation,BTCUSDT_SWAP_OKX.GLOBAL,211,106,105,-453.6034483876143,-875.6034483876144,1.1293763062348,-874.4740720813795,-0.0021497793762446176,0.38388625592417064,864.2799351265973,0.8731812645234995
A,ordinary_rolling,30m,validation,ETHUSDT_SWAP_OKX.GLOBAL,222,112,110,-844.2744828271937,-1288.2744828271934,-0.3230003726916,-1288.5974831998851,-0.003803038210933304,0.4144144144144144,1301.5332839057605,1.284911919391903
A,ordinary_rolling,30m,validation,SOLUSDT_SWAP_OKX.GLOBAL,140,68,72,-12415.039287776366,-12695.039287776366,-1.8785389299615,-12696.917826706327,-0.08867885205554547,0.34285714285714286,12811.284568393654,11.49647067624733
B,asia_to_europe,15m,oos,BTCUSDT_SWAP_OKX.GLOBAL,92,42,50,-625.6739866514789,-809.6739866514789,-0.093396253295,-809.767382904774,-0.006800804202733465,0.18478260869565216,792.7727176686965,0.8064785506571921
B,asia_to_europe,15m,oos,ETHUSDT_SWAP_OKX.GLOBAL,74,46,28,-1238.9727322282356,-1386.9727322282356,-0.17196139527249998,-1387.144693623508,-0.016742874759841025,0.25675675675675674,1634.9678107605773,1.5969453913457072
B,asia_to_europe,15m,oos,SOLUSDT_SWAP_OKX.GLOBAL,73,42,31,-889.0405117428515,-1035.0405117428515,0.051397470294200005,-1034.9891142725573,-0.01217863714716235,0.3013698630136986,1049.1386666315573,1.0423754145122084
B,asia_to_europe,15m,train,BTCUSDT_SWAP_OKX.GLOBAL,241,129,112,-845.1915463121268,-1327.1915463121268,-0.3178160754731,-1327.5093623876,-0.0035070188643656713,0.27800829875518673,1336.098055868135,1.3373612521850466
B,asia_to_europe,15m,train,ETHUSDT_SWAP_OKX.GLOBAL,245,127,118,-734.688925243166,-1224.688925243166,0.3948244923707,-1224.2941007507952,-0.0029987303071149626,0.3142857142857143,1251.12541067345,1.2597891663509189
B,asia_to_europe,15m,train,SOLUSDT_SWAP_OKX.GLOBAL,224,130,94,-3597.4531341383627,-4045.4531341383627,0.1735271430714,-4045.279606995291,-0.01606005863454626,0.39732142857142855,3751.155129785395,5.314187854195959
