family,hold_label,symbol,trade_count,no_cost_pnl,cost_aware_pnl,funding_adjusted_pnl,funding_events_count,funding_data_complete,win_rate,profit_factor,max_drawdown,largest_symbol_pnl_share,top_5pct_trade_pnl_contribution
breakout_retest_reclaim,fixed_hold_8h,LINKUSDT_SWAP_OKX.GLOBAL,360,635.3269668842302,275.3269668842303,305.05671264536375,360,True,0.5111111111111111,1.0808368443848388,749.9289449701713,1.0,5.992490981520315
breakout_retest_reclaim,fixed_hold_8h,SOLUSDT_SWAP_OKX.GLOBAL,170,202.92702738472036,32.92702738472025,43.371141493671246,170,True,0.4470588235294118,1.0173707407698318,1261.2603837625666,1.0,36.64457822220699
cross_symbol_breadth_acceleration,fixed_hold_10d,BTCUSDT_SWAP_OKX.GLOBAL,290,-1333.7031081111365,-1623.7031081111363,-1169.2877364124183,8649,True,0.4793103448275862,0.8610137103395018,2455.794493131726,1.0,-1.7713775693739298
cross_symbol_breadth_acceleration,fixed_hold_10d,DOGEUSDT_SWAP_OKX.GLOBAL,282,3360.9340418704724,3078.9340418704724,3633.3262338234035,8409,True,0.5673758865248227,1.2844073605397222,2657.2749265050293,1.0,1.1292190245333946
cross_symbol_breadth_acceleration,fixed_hold_10d,ETHUSDT_SWAP_OKX.GLOBAL,286,-25.57194118702023,-311.57194118702023,125.56957063244079,8529,True,0.527972027972028,1.010995215288365,1998.4109250034924,1.0,26.084784614769195
cross_symbol_breadth_acceleration,fixed_hold_10d,LINKUSDT_SWAP_OKX.GLOBAL,279,2031.4016649013074,1752.4016649013074,2166.7862261474074,8319,True,0.4946236559139785,1.1592324122594528,2484.902991886957,1.0,1.7387198468475022
cross_symbol_breadth_acceleration,fixed_hold_10d,SOLUSDT_SWAP_OKX.GLOBAL,292,-2445.6842903688994,-2737.6842903688994,-2441.686820402031,8709,True,0.4657534246575342,0.8597808322031829,5651.790328003067,1.0,-1.8433308032028515
cross_symbol_breadth_acceleration,fixed_hold_1d,BTCUSDT_SWAP_OKX.GLOBAL,1445,-1401.4695036115254,-2846.469503611526,-2598.5803443342884,4329,True,0.45121107266435984,0.8092991462912017,2981.1813054501586,1.0,-1.4885701416494175
cross_symbol_breadth_acceleration,fixed_hold_1d,DOGEUSDT_SWAP_OKX.GLOBAL,1432,3070.303680758375,1638.3036807583742,1953.222024166359,4290,True,0.5027932960893855,1.0882532534586646,1759.1492590461216,1.0,4.270348306012127
cross_symbol_breadth_acceleration,fixed_hold_1d,ETHUSDT_SWAP_OKX.GLOBAL,1459,34.3128285424109,-1424.687171457589,-1179.9786431542207,4371,True,0.46196024674434544,0.932496659025815,2359.7687076901284,1.0,-5.048204047580078
cross_symbol_breadth_acceleration,fixed_hold_1d,LINKUSDT_SWAP_OKX.GLOBAL,1428,1160.717887623629,-267.2821123763714,-32.56810570053847,4278,True,0.4796918767507003,0.9985308384784942,2034.0200224558218,1.0,-227.46692176057675
cross_symbol_breadth_acceleration,fixed_hold_1d,SOLUSDT_SWAP_OKX.GLOBAL,1443,-488.5601491533573,-1931.5601491533573,-1756.8283916105186,4323,True,0.47886347886347885,0.9325767225285994,3655.6753678279956,1.0,-5.170889372977075
