exit_variant,oracle,split,trade_count,no_cost_pnl,cost_aware_pnl,funding_adjusted_pnl,funding_events_count,funding_data_complete,win_rate,profit_factor,max_drawdown,largest_symbol_pnl_share,top_5pct_trade_pnl_contribution,avg_captured_fraction,early_exit_share,late_entry_share,avg_hold_bars,max_hold_bars_used,exit_reason_distribution
health_energy_confirmed,False,train_ext,1768,8.085430000000008,4.621666070000022,2.2385734866089857,18084,True,0.38574660633484165,1.0430353984683738,16.061030633760303,0.9961176063905223,16.34818735769851,0.291350358557803,0.621606334841629,0.3438914027149321,14.653280542986426,50,"{""hard_drawdown"": 242, ""health_deterioration"": 1454, ""max_hold_bars"": 72}"
health_energy_confirmed,False,validation_ext,1159,3.686340000000003,0.07249394500001571,-1.5569716346323847,11684,True,0.4167385677308024,0.9780262501079615,22.495876525095934,0.6410620367181279,-27.761859046765924,0.27626663702022203,0.6289905090595341,0.362381363244176,12.812769628990509,50,"{""hard_drawdown"": 172, ""health_deterioration"": 970, ""max_hold_bars"": 17}"
health_no_energy,False,oos_ext,1024,-24.054320000000004,-27.964334839999992,-28.581529643516873,5424,True,0.3271484375,0.5057419703484034,29.905100328020243,1.0,-0.7398153260677557,0.1754924742753233,0.6943359375,0.416015625,7.1162109375,46,"{""hard_drawdown"": 42, ""health_deterioration"": 982}"
health_no_energy,False,train_ext,1768,-1.4916099999999997,-4.955373929999988,-6.7458167389067984,11215,True,0.35237556561085975,0.8477342227924575,16.021188394926096,1.0,-4.2225350117894385,0.1960442357876524,0.6476244343891403,0.3438914027149321,8.742647058823529,50,"{""hard_drawdown"": 95, ""health_deterioration"": 1665, ""max_hold_bars"": 8}"
health_no_energy,False,validation_ext,1159,3.222690000000016,-0.3911560549999695,-1.6986411864070767,7780,True,0.41069887834339946,0.9712432447670469,18.270648857293093,0.6833542017729476,-22.082454062464443,0.1986600014848827,0.6626402070750647,0.362381363244176,8.66695427092321,50,"{""hard_drawdown"": 67, ""health_deterioration"": 1089, ""max_hold_bars"": 3}"
oracle_hold_to_trend_end,True,oos_ext,1024,-129.45662,-133.36663483999996,-134.92140909408528,28799,True,0.4365234375,0.3997059367557894,146.7827170742365,1.0,-0.3925002100737299,0.7072412903509304,0.3154296875,0.416015625,42.5087890625,267,"{""oracle_hold_to_trend_end"": 1024}"
oracle_hold_to_trend_end,True,train_ext,1768,-15.20335999999998,-18.66712392999998,-23.769234739562158,50520,True,0.44004524886877827,0.8316119198746462,40.82999296500762,1.0,-2.926236520000916,0.7536908482756841,0.2579185520361991,0.3438914027149321,43.20814479638009,327,"{""oracle_hold_to_trend_end"": 1768}"
oracle_hold_to_trend_end,True,validation_ext,1159,-27.95616999999999,-31.570016054999993,-34.05982871269508,33397,True,0.4797238999137187,0.8265334422790757,42.26257878184655,1.0,-2.6073271163006755,0.7420115376903061,0.26919758412424505,0.362381363244176,38.3779119930975,331,"{""oracle_hold_to_trend_end"": 1159}"
original_exit,False,oos_ext,1024,-32.129780000000004,-36.039794839999985,-37.36131216857605,17209,True,0.251953125,0.5819173103243467,45.42704543072895,1.0,-1.0696340229234256,0.4310591979399477,0.609375,0.416015625,22.3857421875,236,"{""original_exit"": 1024}"
original_exit,False,train_ext,1768,7.973160000000003,4.50939607000002,-0.3546632771043896,32315,True,0.2664027149321267,0.9946004198190703,16.60620591602066,0.8756114485324775,-141.27654483311073,0.487384291469658,0.5475113122171946,0.3438914027149321,25.702488687782804,371,"{""original_exit"": 1768}"
original_exit,False,validation_ext,1159,-15.665469999999974,-19.27931605499997,-22.772534888820807,21911,True,0.27955133735979293,0.7617637649775726,31.484235800979796,0.508569975617853,-2.2416876396311447,0.479000063976353,0.5720448662640207,0.362381363244176,25.604831751509924,274,"{""original_exit"": 1159}"
