trend_segment_id,symbol,timeframe,direction,start_time,end_time,start_idx,end_idx,duration_bars,duration_days,start_price,end_price,trend_return,mfe,mae,labels,atr_labels,efficiency_labels,has_atr_move,has_efficiency,has_run_length,run_length,max_run_return,max_run_drawdown,run_duration_bars,month,quarter,abs_trend_return,is_major_trend
TOM_BTCUSDT_SWAP_OKX_GLOBAL_1d_00015,BTCUSDT_SWAP_OKX.GLOBAL,1d,down,2024-08-24T23:59:00+08:00,2024-09-06T23:59:00+08:00,601,614,14,13.0,63978.7,54204.3,0.1803251771538419,0.2309514189514188,-0.03171434538745832,downtrend_2atr;downtrend_3atr,downtrend_2atr;downtrend_3atr,,True,False,False,3,0.1803251771538419,-0.03175345478306557,14,2024-08,2024Q3,0.1803251771538419,False
TOM_BTCUSDT_SWAP_OKX_GLOBAL_1d_00016,BTCUSDT_SWAP_OKX.GLOBAL,1d,down,2024-09-26T23:59:00+08:00,2024-10-11T23:59:00+08:00,634,649,16,15.0,65235.9,62254.5,0.047890513938751544,0.10656158985780384,-0.03749490979267356,downtrend_2atr;run_length,downtrend_2atr,,True,False,True,4,0.07567460611906718,-0.05097116676948987,16,2024-09,2024Q3,0.047890513938751544,False
TOM_BTCUSDT_SWAP_OKX_GLOBAL_1d_00017,BTCUSDT_SWAP_OKX.GLOBAL,1d,down,2024-12-05T23:59:00+08:00,2025-04-07T23:59:00+08:00,704,827,124,123.0,101350.0,78500.0,0.29108280254777075,0.38124747021152783,-0.08389232322556683,downtrend_2atr;downtrend_3atr;downtrend_5atr;run_length;trend_efficiency_20_ge_0.45,downtrend_2atr;downtrend_3atr;downtrend_5atr,trend_efficiency_20_ge_0.45,True,True,True,4,0.29108280254777075,-0.14288428573437595,124,2024-12,2024Q4,0.29108280254777075,True
TOM_BTCUSDT_SWAP_OKX_GLOBAL_1d_00030,BTCUSDT_SWAP_OKX.GLOBAL,1d,up,2024-12-23T23:59:00+08:00,2025-01-20T23:59:00+08:00,722,750,29,28.0,93266.8,104940.0,0.12515922064443075,0.1861787903090919,-0.04497420303902355,run_length;uptrend_2atr;uptrend_3atr,uptrend_2atr;uptrend_3atr,,True,False,True,6,0.13154520150793214,-0.10724287742261973,29,2024-12,2024Q4,0.12515922064443075,False
TOM_BTCUSDT_SWAP_OKX_GLOBAL_1d_00031,BTCUSDT_SWAP_OKX.GLOBAL,1d,up,2025-02-28T23:59:00+08:00,2025-10-07T23:59:00+08:00,789,1010,222,221.0,84013.7,121446.8,0.445559474228608,0.5208567174163263,-0.12662220566407623,run_length;trend_efficiency_20_ge_0.45;trend_efficiency_20_ge_0.60;uptrend_2atr;uptrend_3atr;uptrend_5atr,uptrend_2atr;uptrend_3atr;uptrend_5atr,trend_efficiency_20_ge_0.45;trend_efficiency_20_ge_0.60,True,True,True,7,0.4873359940105009,-0.16123798856615068,222,2025-02,2025Q1,0.445559474228608,True
TOM_BTCUSDT_SWAP_OKX_GLOBAL_1d_00018,BTCUSDT_SWAP_OKX.GLOBAL,1d,down,2025-05-21T23:59:00+08:00,2025-06-22T23:59:00+08:00,871,903,33,32.0,108924.0,98855.3,0.10185291026378951,0.11584852390094191,-0.042280716100118965,downtrend_2atr;run_length,downtrend_2atr,,True,False,True,4,0.10185291026378951,-0.046764448465964614,33,2025-05,2025Q2,0.10185291026378951,False
TOM_BTCUSDT_SWAP_OKX_GLOBAL_1d_00019,BTCUSDT_SWAP_OKX.GLOBAL,1d,down,2025-08-12T23:59:00+08:00,2026-02-19T23:59:00+08:00,954,1145,192,191.0,119650.9,66384.3,0.8023975548435396,0.9511427103801968,-0.06356517193017608,downtrend_2atr;downtrend_3atr;downtrend_5atr;run_length;trend_efficiency_20_ge_0.45;trend_efficiency_20_ge_0.60;trend_efficiency_20_ge_0.75,downtrend_2atr;downtrend_3atr;downtrend_5atr,trend_efficiency_20_ge_0.45;trend_efficiency_20_ge_0.60;trend_efficiency_20_ge_0.75,True,True,True,6,0.8254687979153348,-0.20541719071384446,192,2025-08,2025Q3,0.8023975548435396,True
TOM_BTCUSDT_SWAP_OKX_GLOBAL_1d_00032,BTCUSDT_SWAP_OKX.GLOBAL,1d,up,2025-10-17T23:59:00+08:00,2025-10-21T23:59:00+08:00,1020,1024,5,4.0,106731.1,113320.0,0.061733646519149366,0.06362625326638627,-0.028817280061762762,run_length,,,False,False,True,4,0.061733646519149366,0.0,5,2025-10,2025Q4,0.061733646519149366,False
TOM_BTCUSDT_SWAP_OKX_GLOBAL_1d_00033,BTCUSDT_SWAP_OKX.GLOBAL,1d,up,2025-11-21T23:59:00+08:00,2026-01-14T23:59:00+08:00,1055,1109,55,54.0,83931.0,98060.9,0.1683513838748496,0.17608988335656672,-0.04470934458066744,run_length;uptrend_2atr;uptrend_3atr,uptrend_2atr;uptrend_3atr,,True,False,True,5,0.1683513838748496,-0.0798274773325709,55,2025-11,2025Q4,0.1683513838748496,False
TOM_BTCUSDT_SWAP_OKX_GLOBAL_1d_00034,BTCUSDT_SWAP_OKX.GLOBAL,1d,up,2026-02-11T23:59:00+08:00,2026-03-17T23:59:00+08:00,1137,1171,35,34.0,65545.3,73569.3,0.12241915133503078,0.16292853949863684,-0.0394734633909678,run_length;uptrend_2atr;uptrend_3atr,uptrend_2atr;uptrend_3atr,,True,False,True,4,0.12241915133503078,-0.07661571462789851,35,2026-02,2026Q1,0.12241915133503078,False
