,daily_net_pnl_usd
2023-06-02 00:00:00+00:00,175.9695127346798
2023-06-03 00:00:00+00:00,-221.92383114582452
2023-06-04 00:00:00+00:00,-77.94910579219024
2023-06-05 00:00:00+00:00,60.95288336734991
2023-06-06 00:00:00+00:00,108.37668778381621
2023-06-07 00:00:00+00:00,-737.0209746058171
2023-06-08 00:00:00+00:00,783.046859369848
2023-06-09 00:00:00+00:00,-126.53234172879495
2023-06-10 00:00:00+00:00,33.92979880312295
2023-06-11 00:00:00+00:00,1848.0796332992913
2023-06-12 00:00:00+00:00,135.9778746117854
2023-06-13 00:00:00+00:00,225.06577861242556
2023-06-14 00:00:00+00:00,-181.33360678332312
2023-06-15 00:00:00+00:00,674.5137231509726
2023-06-16 00:00:00+00:00,-629.5571864208212
2023-06-17 00:00:00+00:00,-974.2674490676868
2023-06-18 00:00:00+00:00,-228.96683978959044
2023-06-19 00:00:00+00:00,401.0989839306574
2023-06-20 00:00:00+00:00,-536.4985084592413
2023-06-21 00:00:00+00:00,-1066.4788732576885
2023-06-22 00:00:00+00:00,-570.2391668352245
2023-06-23 00:00:00+00:00,209.62518159011648
2023-06-24 00:00:00+00:00,-693.5048786260285
2023-06-25 00:00:00+00:00,-69.15421275435253
2023-06-26 00:00:00+00:00,18.91616946502408
2023-06-27 00:00:00+00:00,11.137122608067656
2023-06-28 00:00:00+00:00,-13.067178838798398
2023-06-29 00:00:00+00:00,-178.01412682400698
2023-06-30 00:00:00+00:00,-917.3683106880244
2023-07-01 00:00:00+00:00,-90.19113972592353
2023-07-02 00:00:00+00:00,-347.5655476403932
2023-07-03 00:00:00+00:00,-21.6097384675126
2023-07-04 00:00:00+00:00,269.39303423572994
2023-07-05 00:00:00+00:00,-420.1423946735872
2023-07-06 00:00:00+00:00,-337.71954081984893
2023-07-07 00:00:00+00:00,-917.4227650932143
2023-07-08 00:00:00+00:00,403.6922390159074
2023-07-09 00:00:00+00:00,-76.66347904758028
2023-07-10 00:00:00+00:00,-236.9549865376273
2023-07-11 00:00:00+00:00,-10.664622590974764
2023-07-12 00:00:00+00:00,137.86749997784688
2023-07-13 00:00:00+00:00,-102.02612719871286
2023-07-14 00:00:00+00:00,354.2197036107933
2023-07-15 00:00:00+00:00,-439.5419521196957
2023-07-16 00:00:00+00:00,388.56664675899583
2023-07-17 00:00:00+00:00,-133.73629815082862
2023-07-18 00:00:00+00:00,-185.22447671933617
2023-07-19 00:00:00+00:00,-673.9088022949092
2023-07-20 00:00:00+00:00,372.6994656312795
2023-07-21 00:00:00+00:00,-135.82437263264183
2023-07-22 00:00:00+00:00,-255.06941836761004
2023-07-23 00:00:00+00:00,-924.0662852481743
2023-07-24 00:00:00+00:00,210.72900019137035
2023-07-25 00:00:00+00:00,-1307.1762035218749
2023-07-26 00:00:00+00:00,-331.9138335338252
2023-07-27 00:00:00+00:00,315.07002016671277
2023-07-28 00:00:00+00:00,371.64929041585634
2023-07-29 00:00:00+00:00,-573.6376441502806
2023-07-30 00:00:00+00:00,241.0869830087272
2023-07-31 00:00:00+00:00,-1126.3383894742092
2023-08-01 00:00:00+00:00,-273.8631380717161
2023-08-02 00:00:00+00:00,2.333251835502786
2023-08-03 00:00:00+00:00,-495.63098126130745
2023-08-04 00:00:00+00:00,-323.7727406923967
2023-08-05 00:00:00+00:00,-16.451812607148135
2023-08-06 00:00:00+00:00,-101.20227280098624
2023-08-07 00:00:00+00:00,-110.92846684814953
2023-08-08 00:00:00+00:00,30.238703789122958
2023-08-09 00:00:00+00:00,196.27891002194315
2023-08-10 00:00:00+00:00,73.70870380464447
2023-08-11 00:00:00+00:00,-0.06289754052502983
2023-08-12 00:00:00+00:00,-208.80500717721694
2023-08-13 00:00:00+00:00,181.19401971277316
2023-08-14 00:00:00+00:00,-696.0116920446114
2023-08-15 00:00:00+00:00,490.8316763772497
2023-08-16 00:00:00+00:00,-1373.7207924954737
2023-08-17 00:00:00+00:00,-253.20543438566503
2023-08-18 00:00:00+00:00,1185.119984963324
2023-08-19 00:00:00+00:00,-106.09214550534823
2023-08-20 00:00:00+00:00,-182.31466622794284
2023-08-21 00:00:00+00:00,-179.86794736003074
2023-08-22 00:00:00+00:00,415.61128723346394
2023-08-23 00:00:00+00:00,321.75953615147824
2023-08-24 00:00:00+00:00,-1034.9153719702576
2023-08-25 00:00:00+00:00,516.5198343456512
2023-08-26 00:00:00+00:00,212.28971563545304
2023-08-27 00:00:00+00:00,154.8284128192477
2023-08-28 00:00:00+00:00,-412.08395982355796
2023-08-29 00:00:00+00:00,52.573670804272865
2023-08-30 00:00:00+00:00,-2182.776105259066
2023-08-31 00:00:00+00:00,698.6593654173372
2023-09-01 00:00:00+00:00,1129.250901577768
2023-09-02 00:00:00+00:00,231.01448487156992
2023-09-03 00:00:00+00:00,-132.67529212277657
2023-09-04 00:00:00+00:00,-124.3224955980709
2023-09-05 00:00:00+00:00,32.25380633480942
2023-09-06 00:00:00+00:00,-675.1037650191124
2023-09-07 00:00:00+00:00,89.0751407583077
2023-09-08 00:00:00+00:00,-233.48211594246305
2023-09-09 00:00:00+00:00,42.985126092361895
2023-09-10 00:00:00+00:00,-82.78745828239263
2023-09-11 00:00:00+00:00,91.24975263196038
2023-09-12 00:00:00+00:00,790.1731616510697
2023-09-13 00:00:00+00:00,-622.765492800784
2023-09-14 00:00:00+00:00,-151.5861971931267
2023-09-15 00:00:00+00:00,-311.5473946393857
2023-09-16 00:00:00+00:00,-235.68553135147803
2023-09-17 00:00:00+00:00,-59.14071218900519
2023-09-18 00:00:00+00:00,-20.50131832703667
2023-09-19 00:00:00+00:00,-24.924145091533376
2023-09-20 00:00:00+00:00,51.20040072120976
2023-09-21 00:00:00+00:00,221.82150734687474
