feature,target,count,spearman,abs_spearman
lower_wick_ratio,future_return_30m,1713,0.057915466181155256,0.057915466181155256
lower_wick_ratio,future_return_60m,1713,0.05236693711967679,0.05236693711967679
lower_wick_ratio,future_return_120m,1713,0.02379139910580356,0.02379139910580356
lower_wick_ratio,mfe_atr,1713,-0.0027402136290613087,0.0027402136290613087
lower_wick_ratio,mae_atr,1713,-0.06506022906994188,0.06506022906994188
body_ratio,future_return_15m,1713,-0.027030819927549306,0.027030819927549306
body_ratio,future_return_30m,1713,-0.054046959404965324,0.054046959404965324
body_ratio,future_return_60m,1713,-0.053557142118464234,0.053557142118464234
body_ratio,future_return_120m,1713,-0.05894894036723946,0.05894894036723946
body_ratio,mfe_atr,1713,0.04219051941916963,0.04219051941916963
body_ratio,mae_atr,1713,0.07022008570783615,0.07022008570783615
range_atr,future_return_15m,1716,-0.048909875763966805,0.048909875763966805
range_atr,future_return_30m,1716,-0.04205321519103822,0.04205321519103822
range_atr,future_return_60m,1716,-0.011530288050841836,0.011530288050841836
range_atr,future_return_120m,1716,-0.002492568827990306,0.002492568827990306
range_atr,mfe_atr,1716,0.0488941226588263,0.0488941226588263
range_atr,mae_atr,1716,0.04155449481343716,0.04155449481343716
