signal_id,datetime,vt_symbol,price,close_1m,atr_1m,breakout_distance_atr,atr_pct,ema_spread_pct,rsi,donchian_width_atr,close_location_in_donchian,recent_return_5m,recent_return_15m,recent_return_30m,recent_volatility_30m,volume_zscore_30m,upper_wick_ratio,lower_wick_ratio,body_ratio,range_atr,hour,weekday,is_weekend,direction,regime,future_return_15m,future_return_30m,future_return_60m,future_return_120m,mfe_60m,mae_60m,mfe_atr,mae_atr,stop_first,tp_first,good_signal_60m,bad_signal_60m
OkxAdaptiveMhfStrategy-20260213000800-004940,2026-02-13T00:09:00+08:00,BTCUSDT_SWAP_OKX.GLOBAL,67350.0,67350.1,156.4995693116576,0.1923327976708312,0.0023236724119438,-0.0002390855322554,41.5857571047836,6.253052352183759,1.0,0.001506142422369266,0.011314279507326875,-0.001713258269222432,0.0031569968127423665,-0.5586973931060414,0.8599167822468099,0.06380027739258598,0.07628294036060411,0.4607041432582084,0,4,False,short,short,0.0012457312546398,0.0226770601336303,0.0087809948032664,0.0298010393466963,0.0251789161098738,0.0019851521900519,10.83581256778373,0.8543154501194924,False,True,True,False
OkxAdaptiveMhfStrategy-20260213003700-004942,2026-02-13T00:38:00+08:00,BTCUSDT_SWAP_OKX.GLOBAL,66178.3,66178.3,195.47717082197252,0.437902797754066,0.0029537955919383,-0.0022310830167178,20.991399840280383,6.240114867996094,1.0,0.022651158782468643,0.022806514534102238,0.02332884435212437,0.0024006877574974175,-0.0712939510797833,0.0,0.0052303860522821145,0.9947696139477179,2.053948286194807,0,4,False,short,short,-0.0068013230923126,-0.0107965904231447,-0.0122955712068759,0.0159448036592055,0.0079195144027574,0.0140892105116026,2.681131498865999,4.769866455910383,False,True,False,True
OkxAdaptiveMhfStrategy-20260213015400-004944,2026-02-13T01:55:00+08:00,BTCUSDT_SWAP_OKX.GLOBAL,66561.3,66561.5,236.9555559822096,0.0033761605491241,0.0035599491595323,-0.0047177436476131,42.11139718804745,2.4553127593416035,1.0,0.006284682357443682,0.006605454132443839,0.005754063517562257,0.0017398975742276143,1.2847051271921126,0.09442518004799874,0.6719125100026623,0.23366230994933898,1.5821532373275151,1,4,False,short,short,0.021335220315709,0.0168596466715644,0.0162977586074791,0.0041300275084772,0.0234565731138064,0.0,6.5889993316604185,0.0,False,True,True,False
OkxAdaptiveMhfStrategy-20260213020600-004946,2026-02-13T02:07:00+08:00,BTCUSDT_SWAP_OKX.GLOBAL,65933.1,65933.1,176.75723069919448,0.2053664218227299,0.0026808572734968,-0.0061889955518263,26.309560249091238,6.645838449455663,1.0,0.0054602337124909014,0.015180475499477522,0.014810927824571116,0.0016984353915570967,-1.1620826627266676,0.0015408320491722314,0.47457627118652806,0.5238828967642997,0.367170269319511,2,4,False,short,short,0.0075182268086894,0.0116921546233986,0.0054160960124733,-0.0160602186155359,0.0141522239967483,0.0,5.27899196151107,0.0,False,True,True,False
OkxAdaptiveMhfStrategy-20260213023100-004948,2026-02-13T02:32:00+08:00,BTCUSDT_SWAP_OKX.GLOBAL,65043.5,65043.5,151.31365102781427,0.3608398821198362,0.0023263454615421,-0.0116577551230195,27.454521746581296,3.5667634501846592,1.0,0.006510846318362315,0.006316542189734537,0.018519217215582515,0.0020914952499866165,0.47371067299461767,0.42307692307693423,0.44827586206899545,0.12864721485407032,0.4983026943559873,2,4,False,short,short,-0.0055670435939025,-0.0065832865697571,-0.0166427083413407,-0.0197513971419126,0.000668783198936,0.0208552737783175,0.28748232366686866,8.96482234607269,True,False,False,True
OkxAdaptiveMhfStrategy-20260213044200-004969,2026-02-13T04:43:00+08:00,BTCUSDT_SWAP_OKX.GLOBAL,66800.0,66800.0,219.19791296637365,0.349455881962511,0.0032814058827301,0.0014208661319366,60.07748935806282,2.1359692419691148,1.0,0.004604470981911373,0.006376006698270749,0.001576658263817666,0.0017041228486117993,-1.4678154248028177,0.4307359307358767,0.41450216450218946,0.15476190476193383,0.8430737204525867,4,4,False,long,long,-0.0060314371257484,-0.0044910179640718,-0.0011467065868264,0.0017964071856287,0.0021841317365268,0.0100898203592814,0.6656085271321548,3.074846794291301,True,False,False,True
OkxAdaptiveMhfStrategy-20260213052100-004970,2026-02-13T05:22:00+08:00,BTCUSDT_SWAP_OKX.GLOBAL,66943.9,66943.9,254.53623462769684,0.3689062193339157,0.0038022319379016,0.0014240318671227,63.48104169304829,2.0311449988886716,1.0,0.0025357768636682407,0.0024227021174206844,0.005636395181304636,0.0018520465417150584,1.3980127608076356,0.004832214765108484,0.2252348993288825,0.7699328859060091,1.4634458647698845,5,4,False,long,long,-0.00471290139953,-0.0042184575443019,-0.003937625384837,0.0066010495355067,0.003764345967295,0.0094989984150907,0.9900358601933167,2.4982690614957184,True,False,False,True
OkxAdaptiveMhfStrategy-20260213063300-004972,2026-02-13T06:34:00+08:00,BTCUSDT_SWAP_OKX.GLOBAL,67185.6,67185.6,249.22211514897603,0.2002230017596163,0.0037094573115217,0.0027768277839305,62.13730717920054,2.8312094196705173,1.0,0.0006121022644791928,0.0020292426758428514,0.0008952095808383669,0.0022018081624830227,1.018433497138841,0.08094392286220174,0.09236234458261404,0.8266937325551842,1.5813203405501435,6,4,False,long,long,0.0021983877497558,0.004892417422781,0.0025109547283941,-0.0097684622895382,0.008329165773618,0.0057452787502083,2.245386608911014,1.548819212007963,True,False,True,False
OkxAdaptiveMhfStrategy-20260213064800-004973,2026-02-13T06:49:00+08:00,BTCUSDT_SWAP_OKX.GLOBAL,67506.9,67507.0,254.54866333909655,0.4651369936375105,0.0037707002731434,0.0032759128959973,67.07050329855701,2.6195384067357153,1.0,0.003610016827865351,0.007081983493818408,0.00912559723279653,0.002013632974056613,0.2757242895625681,0.31164383561646813,0.027777777777788545,0.6605783866057433,1.032415556823861,6,4,False,long,long,0.0001096184241908,-0.0022279204051733,-0.0058157018023341,-0.0399633222677977,0.0035300095249523,0.0074347955542321,0.9361667701336601,1.9717251444820425,True,False,False,True
OkxAdaptiveMhfStrategy-20260213070800-004974,2026-02-13T07:09:00+08:00,BTCUSDT_SWAP_OKX.GLOBAL,67700.8,67700.8,251.15847458227,0.1309929917942384,0.0037098302321725,0.0052920131498071,65.62322105243335,2.5637199822579624,1.0,0.0008398220821366301,0.0051439043691949285,0.008624755945379575,0.0017599019317132807,1.4375344195200346,0.19786096256682412,0.2237076648841283,0.5784313725490475,0.893459798134302,7,4,False,long,long,-0.0061860421147165,-0.0042894618675112,-0.0176039278708671,-0.0354471439037648,0.0004416491385625,0.0188816084891168,0.11904834208649405,5.089615240441653,True,False,False,True
OkxAdaptiveMhfStrategy-20260213084500-004982,2026-02-13T08:46:00+08:00,BTCUSDT_SWAP_OKX.GLOBAL,65728.5,65728.6,127.7764008785751,5.443102131675536,0.0019440000377092,-0.0019096769115161,16.54799716042642,1.2427960007333023,1.0,0.014039269675418064,0.014323707064939791,0.013226534296028925,0.0023650972443805046,1.2536137811910075,0.0,0.0,1.0,1.00018469076657,8,4,False,short,short,0.0064751211422746,0.0051575800451858,0.0004305590421202,-0.0122945145560906,0.0178552682626257,0.0015381455532988,9.184794625067395,0.7912259173434906,False,True,True,False
