hour,entry_count,future_return_5m_mean,future_return_5m_median,mfe_5m_mean,mfe_5m_median,mae_5m_mean,mae_5m_median,future_return_5m_positive_rate,future_return_15m_mean,future_return_15m_median,mfe_15m_mean,mfe_15m_median,mae_15m_mean,mae_15m_median,future_return_15m_positive_rate,future_return_30m_mean,future_return_30m_median,mfe_30m_mean,mfe_30m_median,mae_30m_mean,mae_30m_median,future_return_30m_positive_rate,future_return_60m_mean,future_return_60m_median,mfe_60m_mean,mfe_60m_median,mae_60m_mean,mae_60m_median,future_return_60m_positive_rate,future_return_120m_mean,future_return_120m_median,mfe_120m_mean,mfe_120m_median,mae_120m_mean,mae_120m_median,future_return_120m_positive_rate,mfe_atr_median,mfe_atr_mean,mae_atr_median,mae_atr_mean,take_profit_first_rate,stop_first_rate
10,94,-0.0015986661468684654,-0.00045312209097851127,0.0016475721777747653,0.0006268857727910248,0.0031428009684546215,0.0016888626274788208,0.32978723404255317,-0.0010452976562494581,-0.0005219136063445357,0.0034613833947336956,0.0016392266859306891,0.004684789110977577,0.002163118621781904,0.3829787234042553,-0.0015818415019060515,-0.0008525636802638441,0.0043886880886911984,0.0020321363348867237,0.005705971853028212,0.0033914486495521057,0.3723404255319149,-0.0011640962197479623,-0.0006544648527535915,0.006254689751978391,0.004139053400892342,0.007522449640381747,0.005679626288684313,0.4148936170212766,-0.001711858503368938,-0.0010366819153254732,0.007463248173658648,0.005997718482388937,0.009633274044906213,0.008106266245605622,0.44680851063829785,4.542998767653972,6.342179867935529,5.415999599863802,6.57561184144294,0.3191489361702128,0.6808510638297872
11,90,-0.0012611863984406666,-0.0004167751882829372,0.0018610252255027526,0.0008992953410455723,0.0029936792570911296,0.0014446303266983222,0.4111111111111111,-0.0017020529861762898,-0.0010219736902177677,0.0026220335364002495,0.0014597025206325204,0.004844144578972947,0.002677374244299298,0.34444444444444444,-0.0018918209547858756,-0.0009022112800093482,0.003915528253715681,0.0020492666960292014,0.006530799342544961,0.0036977894539313534,0.34444444444444444,-0.0017512832659344476,-0.0007865274110718607,0.005258161677999856,0.003102626915712979,0.008254648670423591,0.005080165390528487,0.4444444444444444,-0.0015680451646539575,-0.0005927464930466323,0.007794255278540796,0.006094683184236828,0.010770864763879756,0.008887730846968936,0.4777777777777778,3.9409810908251464,6.327442158182557,4.952574456072641,7.524979990597559,0.3111111111111111,0.6555555555555556
12,98,-4.632872816099911e-05,-6.333335141140122e-05,0.0020618607096310002,0.0005913252723181881,0.0023949063363226234,0.001233744892280553,0.45918367346938777,-0.0005387662459312046,-0.0005337758184356872,0.0025774780170400077,0.0010925693089436886,0.0038117026131069807,0.00203103511971456,0.42857142857142855,-0.0011762289449118528,-0.0006215910706687368,0.0032942827903718074,0.0015032637617988756,0.005058737313225743,0.0029925657809315082,0.40816326530612246,-0.001416348966255902,-0.0010196877050977259,0.0052202118721795705,0.0028430869686995137,0.006930451644927375,0.005042470383925567,0.3877551020408163,-0.0014795092671797995,-0.0022628680323511707,0.0070911571104262236,0.0040573205363006425,0.008917063197501606,0.0077161788726609155,0.336734693877551,4.326604897399031,6.662655078369117,5.837112254213293,9.983204809675206,0.3673469387755102,0.6224489795918368
13,83,-0.0010830473310809484,-0.0003460889138999131,0.0014606362896488515,0.0004865466227854866,0.0028914600877492347,0.0011584198207995461,0.42168674698795183,-0.0012153677824228758,-0.0005627462014631402,0.002571761041191165,0.001064711007779495,0.004177173328554856,0.0018597053843042337,0.4457831325301205,-0.002046436477364058,-0.0015836006449479192,0.0035596330807514736,0.0014766255050546887,0.005424750736807717,0.002518143943659046,0.3855421686746988,-0.0019538499541679097,-0.0016217263925861155,0.004822732255952793,0.0023461704520113054,0.006796753367603185,0.0035827365905784377,0.3253012048192771,-0.003054494942793906,-0.0024518261012317338,0.006349091745913182,0.0035771845251312195,0.009779127015329356,0.007237717606800423,0.3132530120481928,3.3455728320948803,5.505954018827135,4.708957380894108,7.997403334133054,0.3855421686746988,0.6144578313253012
14,69,-0.0008571592559907889,-0.0003088372653590045,0.0009100560873997369,0.0006825041480421254,0.0023197201452500207,0.001119802263718752,0.34782608695652173,-0.0009868752966349106,-0.00033080654492594546,0.0019384286654174257,0.0009895032567196563,0.0036516198624509917,0.001727836297830579,0.4057971014492754,-0.000572163931416633,-0.00045171742966759623,0.002964028534639891,0.0016759885954432544,0.004272652685852437,0.002178831111370908,0.42028985507246375,0.00027835756385145887,-0.00028305850612920575,0.0046222996642127185,0.002249065591359901,0.005033192778836399,0.003396044960028754,0.463768115942029,0.0002727999530492639,-0.00010748597676839871,0.00843873107415072,0.005496316056004549,0.007841682684674507,0.005489103719482098,0.4927536231884058,3.8589640919151798,6.346335475534468,4.228668483094593,5.6926347571881895,0.2608695652173913,0.7101449275362319
15,63,-0.00045393342061160995,-0.00014131196382422294,0.0016432849750598363,0.0007083150021997787,0.002713234468670964,0.0012256533441379488,0.4444444444444444,-0.00013098056673784437,0.0,0.003325531698688321,0.0011133128304446976,0.0035105363647363066,0.001983648380588098,0.49206349206349204,-0.0006257491164326101,-0.0005666260195252742,0.004218252989141806,0.0016925646455307347,0.0047872908745798205,0.0028164886459860344,0.42857142857142855,-0.00028331200567220275,-0.0004937041600134566,0.007141796493365985,0.004487292328050313,0.006606949394831399,0.004279753839542104,0.4126984126984127,8.352403912411735e-05,-0.0010047317434132696,0.010421609843035183,0.006906755121859166,0.009529129693907063,0.007450257143553497,0.4126984126984127,4.721416737338475,9.64195661130047,5.092026544994513,7.230358978272472,0.3333333333333333,0.6666666666666666
16,64,-0.0009585444178654217,-0.000390867068375965,0.002667636622531575,0.0007532447618304118,0.003739886784031768,0.0019059679204918637,0.359375,-0.0029865678344217768,-0.0013431460765232005,0.0033753591540138152,0.0010254629288061101,0.006676309334544155,0.0036231102003411522,0.296875,-0.0025784075900851253,-0.0017043001755243504,0.0058685105736808185,0.0016134300530244398,0.00913183455390268,0.006646402767441403,0.390625,-0.002668280259539242,-0.0028119721414715977,0.007271201245753764,0.003747930018315806,0.011238462219422428,0.009028276789425568,0.34375,-0.0033659096304916956,-0.004088893297357435,0.009614946098322991,0.005174303712606264,0.014284608161112829,0.01205527012092497,0.3125,3.2684394459162025,7.063680114422751,6.186443444784858,8.886128339337878,0.265625,0.734375
17,51,-6.995628772054015e-05,-0.00037087289438052223,0.001843212320478077,0.00044097414789054715,0.002425802027352679,0.0015564180431913862,0.39215686274509803,-0.0009586057710645931,-0.0006341221107811327,0.0029550778417225536,0.001006619317869931,0.0036661971459561607,0.0021046533798900198,0.43137254901960786,-0.0008028849043373177,-0.0004539591407390011,0.0036267695931081413,0.0018086251796691436,0.0042483749372556135,0.0025312996747361145,0.47058823529411764,-0.001188175228156382,-0.0004384596823080475,0.0049512930217359055,0.002329643849845967,0.006585042560965109,0.00425305180360458,0.43137254901960786,-0.0026632865997989106,-0.0018236261825805514,0.006297005883993303,0.0038643531975157525,0.009780172214893506,0.007762902149206508,0.35294117647058826,3.2205928242978,3.961999919259696,4.3917361270582385,7.658597785416357,0.3137254901960784,0.6666666666666666
18,34,-0.0024325741567094807,-0.0009727728652751221,0.0008458357360932763,0.0004456877533697685,0.003626158566970012,0.0020434771384381834,0.23529411764705882,-0.0027058399002504816,-0.0011956362448226447,0.0019869205649476647,0.0009999594378237101,0.005459257244038271,0.003067022080422739,0.20588235294117646,-0.002972909383250995,-0.002755691185404561,0.0025790618592772432,0.0012175762695677945,0.006595969311514185,0.00426226155360281,0.20588235294117646,-0.0023798731102435667,-0.00245616915422561,0.0035444915789732646,0.0015918032063387015,0.007561989832690804,0.005624426419810437,0.29411764705882354,-0.006089586734867029,-0.004817286264670751,0.005760730036066258,0.002673381172969672,0.013005344812769328,0.00918988290768278,0.20588235294117646,1.4099219970685266,4.310781994371835,5.018492368211629,8.670515664752868,0.14705882352941177,0.8529411764705882
19,31,2.7117999386492112e-05,6.28205530900546e-05,0.0027623950127463894,0.0008262822965829458,0.003009680438566722,0.0013749185903465418,0.5161290322580645,-0.002195967042708215,0.00014011185837452394,0.0036491718391983966,0.0013451557093426025,0.005749321775797176,0.0022643734117006892,0.5161290322580645,-0.0010618997789289244,0.0007203305433629377,0.004782671893430621,0.0026895226416647506,0.006030441070526135,0.0027951183928212413,0.5161290322580645,-0.0002594151061787644,-0.0002581311306143521,0.008078051888028315,0.0055946846030049974,0.007821849843897234,0.003609982459026827,0.4838709677419355,-0.0002202779510257462,-0.0014088327689250472,0.011036080445109838,0.009998920769928652,0.009357696181721106,0.0059983186212694715,0.45161290322580644,5.2927950076699535,7.580424040906932,4.699585666797249,5.144862176822852,0.3548387096774194,0.6451612903225806
20,30,-0.0005768056454243964,-0.0004568609927380488,0.0021316968895064,0.0010189529365779995,0.0029386962331157188,0.0018932150623847664,0.3,-0.0008405475775877174,-0.0010177909851223975,0.0031414804518624466,0.0014959987366860478,0.00474338590770944,0.002942640572484576,0.3,-0.0009345262504669599,-0.0014832018046107404,0.004445583032367663,0.0025597314133637625,0.006450237794939474,0.004828480246958422,0.3,-0.0020423410212883565,-0.0019558825559351485,0.006307940707322101,0.004254643978248118,0.008752104848105322,0.007424284562091418,0.3333333333333333,-0.002123803574899969,6.403570014222988e-05,0.008275520746219928,0.007172585194973449,0.010793697370177269,0.007932932903620682,0.5,4.06851199141826,6.122852249615458,4.505692962602598,7.231868825879652,0.23333333333333334,0.7666666666666667
21,14,-0.0015745826246076758,-0.00033444108918397617,0.0020749267289962956,0.0018383543913452704,0.003605231898200038,0.0018207650280719647,0.2857142857142857,-0.0021423214421764556,-0.0010217061893546067,0.002627055591836016,0.002072229391006001,0.00522309508089812,0.00377390595086317,0.2857142857142857,-0.0022990572507703448,-0.0006979818747957114,0.003319910454468723,0.0035806665617739157,0.005814413910624733,0.004370054823532825,0.5,-0.0033474886227969785,-0.0030834494541814887,0.005736280811354952,0.00472454938813091,0.00844050926079359,0.007139148408320733,0.42857142857142855,-0.0037318302742088754,-0.004063499739801981,0.00793520156558313,0.006002631420538534,0.011873379978916267,0.009847768062489829,0.2857142857142857,3.0282809717973143,4.412249727661132,5.097134227614524,5.826229197738906,0.35714285714285715,0.6428571428571429
22,17,-0.00014521187486441343,-0.00024498246180472644,0.0020775632727613952,0.0007486069623371318,0.00265577978232315,0.0019587734253143116,0.35294117647058826,-0.0003863517245054887,-0.0002920444159637246,0.002510884119225092,0.001976852697568319,0.0037516600011566377,0.0023607503357824314,0.47058823529411764,-0.002096422793913072,-0.0005566636781852745,0.0033193437729053614,0.002448770282077252,0.006970781071467282,0.005466370616480279,0.47058823529411764,-0.0015175961467793514,-0.0010820350663403053,0.005359743042531346,0.0040509647966758796,0.010307766140992351,0.006103941590106896,0.35294117647058826,-0.006563506524491076,-0.0027655858238445578,0.010125697512572947,0.005702568634031562,0.013856093089379011,0.008058509419260293,0.23529411764705882,2.384957553340759,5.799058385895095,4.269402451923366,7.360445935902783,0.17647058823529413,0.8235294117647058
23,14,-0.00181752952140739,-0.0012348477798102906,0.001656320276757424,0.0014668912188990002,0.004126913463755208,0.0025912565352195667,0.2857142857142857,-0.005401660384858015,-0.003973535412357795,0.002304080954195196,0.0024080083204850193,0.007288088791880255,0.0057836750006610834,0.14285714285714285,-0.004291949273382783,-0.0042052003998750385,0.0029620578681637164,0.0026591253732648357,0.00856760482945765,0.007309086320420252,0.21428571428571427,-0.0018094704644179718,-0.0033232728095917625,0.004890391744482907,0.004029096201026913,0.010657847119390341,0.01071580534806385,0.2857142857142857,0.00023238982435758754,-0.0025813733544280465,0.009049249466758804,0.0074203916057640675,0.013673179337383752,0.011977188754318632,0.42857142857142855,3.427063459152765,6.731979851232672,5.817514326226528,8.80625155947041,0.07142857142857142,0.9285714285714286
