date,close_price,pre_close,trades,trade_count,start_pos,end_pos,turnover,commission,slippage,trading_pnl,holding_pnl,total_pnl,net_pnl,balance,return,highlevel,drawdown,ddpercent
2025-07-15,116617.1,119600.0,"[TradeData(gateway_name='BACKTESTING', extra=None, symbol='BTCUSDT_SWAP_OKX', exchange=<Exchange.GLOBAL: 'GLOBAL'>, orderid='4', tradeid='4', direction=<Direction.SHORT: '空'>, offset=<Offset.CLOSE: '平'>, price=119599.8, volume=1, datetime=datetime.datetime(2025, 7, 15, 0, 3, tzinfo=zoneinfo.ZoneInfo(key='Asia/Shanghai'))), TradeData(gateway_name='BACKTESTING', extra=None, symbol='BTCUSDT_SWAP_OKX', exchange=<Exchange.GLOBAL: 'GLOBAL'>, orderid='5', tradeid='5', direction=<Direction.LONG: '多'>, offset=<Offset.OPEN: '开'>, price=116516.5, volume=1, datetime=datetime.datetime(2025, 7, 15, 16, 1, tzinfo=zoneinfo.ZoneInfo(key='Asia/Shanghai')))]",2,1,1,236116.3,118.05815000000001,0.0,3083.300000000003,-2982.899999999994,100.40000000000873,-17.65814999999128,16081.433050000007,-0.0010974433875020186,16099.091199999999,-17.65814999999202,-0.10968414167373634
2025-07-16,117881.4,116617.1,[],0,1,1,0.0,0.0,0.0,0.0,1264.2999999999884,1264.2999999999884,1264.2999999999884,17345.733049999995,0.07568116262388981,17345.733049999995,0.0,0.0
2025-07-17,118929.0,117881.4,[],0,1,1,0.0,0.0,0.0,0.0,1047.6000000000058,1047.6000000000058,1047.6000000000058,18393.33305,0.05864172228826561,18393.33305,0.0,0.0
2025-07-18,116760.0,118929.0,[],0,1,1,0.0,0.0,0.0,0.0,-2169.0,-2169.0,-2169.0,16224.333050000001,-0.12547610928904385,18393.33305,-2169.0,-11.792316238192619
2025-07-19,118084.8,116760.0,[],0,1,1,0.0,0.0,0.0,0.0,1324.800000000003,1324.800000000003,1324.800000000003,17549.133050000004,0.07849239440345777,18393.33305,-844.1999999999971,-4.589706486068315
2025-07-20,118122.9,118084.8,[],0,1,1,0.0,0.0,0.0,0.0,38.09999999999127,38.09999999999127,38.09999999999127,17587.233049999995,0.002168694100256282,18393.33305,-806.1000000000058,-4.382566214664426
2025-07-21,118366.0,118122.9,[],0,1,1,0.0,0.0,0.0,0.0,243.10000000000582,243.10000000000582,243.10000000000582,17830.33305,0.01372786696139886,18393.33305,-563.0,-3.0608916745516113
2025-07-22,118500.0,118366.0,[],0,1,1,0.0,0.0,0.0,0.0,134.0,134.0,134.0,17964.33305,0.007487184018155832,18393.33305,-429.0,-2.332366835493146
2025-07-23,118318.8,118500.0,[],0,1,1,0.0,0.0,0.0,0.0,-181.1999999999971,-181.1999999999971,-181.1999999999971,17783.133050000004,-0.010137868312886376,18393.33305,-610.1999999999971,-3.317506393981144
2025-07-24,118902.4,118318.8,[],0,1,1,0.0,0.0,0.0,0.0,583.5999999999913,583.5999999999913,583.5999999999913,18366.733049999995,0.03229061522355809,18393.33305,-26.60000000000582,-0.14461761730566727
2025-07-25,115734.2,118902.4,"[TradeData(gateway_name='BACKTESTING', extra=None, symbol='BTCUSDT_SWAP_OKX', exchange=<Exchange.GLOBAL: 'GLOBAL'>, orderid='6', tradeid='6', direction=<Direction.SHORT: '空'>, offset=<Offset.CLOSE: '平'>, price=115129.6, volume=1, datetime=datetime.datetime(2025, 7, 25, 16, 2, tzinfo=zoneinfo.ZoneInfo(key='Asia/Shanghai')))]",1,1,0,115129.6,57.564800000000005,0.0,-604.5999999999913,-3168.199999999997,-3772.7999999999884,-3830.3647999999885,14536.368250000007,-0.23388737739444088,18393.33305,-3856.9647999999943,-20.96936313562807
2025-07-26,118141.9,115734.2,[],0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14536.368250000007,0.0,18393.33305,-3856.9647999999943,-20.96936313562807
2025-07-27,118627.2,118141.9,[],0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14536.368250000007,0.0,18393.33305,-3856.9647999999943,-20.96936313562807
