policy_name,time,net_pnl,no_cost_net_pnl,cumulative_net_pnl,cumulative_no_cost_net_pnl,equity,no_cost_equity,drawdown,ddpercent
v3_4h_ema_50_200_atr4,2025-07-09T16:00:00+08:00,-0.10028050000000004,-0.09840000000000004,-0.5598923650004508,-0.5096499999999651,4999.440107635,4999.49035,0.5598923650004508,0.011197847300009016
v3_4h_ema_50_200_atr4,2025-07-19T00:00:00+08:00,0.8558251299999994,0.8671399999999995,0.29593276499963395,0.3574900000003254,5000.295932765,5000.35749,0.0,0.0
v3_4h_ema_50_200_atr4,2025-07-24T04:00:00+08:00,0.03746867499999998,0.037669999999999974,0.33340143999976135,0.3951600000000326,5000.33340144,5000.39516,0.0,0.0
v3_4h_ema_50_200_atr4,2025-07-24T04:00:00+08:00,0.043095749999999766,0.047499999999999765,0.37649719000000914,0.4426599999997052,5000.37649719,5000.44266,0.0,0.0
v3_4h_ema_50_200_atr4,2025-07-25T08:00:00+08:00,-0.07796414999999993,-0.07569999999999993,0.29853303999971104,0.36696000000029017,5000.29853304,5000.36696,0.0779641500002981,0.0015591655957128562
v3_4h_ema_50_200_atr4,2025-07-25T12:00:00+08:00,-0.1324538450000003,-0.12063000000000029,0.16607919499983836,0.24632999999994354,5000.166079195,5000.24633,0.21041799500017078,0.00420804303672767
v3_4h_ema_50_200_atr4,2025-07-26T00:00:00+08:00,-0.007639860000000009,-0.007420000000000009,0.15843933500036655,0.2389100000000326,5000.158439335,5000.23891,0.2180578549996426,0.004360828732040115
v3_4h_ema_50_200_atr4,2025-07-29T00:00:00+08:00,-0.0007040400000000182,-0.0004800000000000182,0.15773529499983852,0.23843000000033499,5000.157735295,5000.23843,0.21876189500017063,0.00437490847185418
v3_4h_ema_50_200_atr4,2025-07-29T04:00:00+08:00,-0.0845244499999999,-0.0822999999999999,0.07321084500017605,0.15613000000030297,5000.073210845,5000.15613,0.3032863449998331,0.006065270188560145
v3_4h_ema_50_200_atr4,2025-07-29T20:00:00+08:00,-0.004934315000000001,-0.004710000000000001,0.06827652999982092,0.15142000000014377,5000.06827653,5000.15142,0.3082206600001882,0.006163949058103828
v3_4h_ema_50_200_atr4,2025-07-30T00:00:00+08:00,-0.0828330199999997,-0.07101999999999971,-0.01455649000035919,0.08039999999982683,4999.98544351,5000.0804,0.39105368000036833,0.00782048472190292
v3_4h_ema_50_200_atr4,2025-07-30T08:00:00+08:00,1.23119424,1.23448,1.2166377499997907,1.3148799999999028,5001.21663775,5001.31488,0.0,0.0
