policy_name,weekday,signal_count,long_count,short_count,overlap_count,median_future_return_60m,mean_future_return_60m,positive_rate_60m,median_mfe_60m,median_mae_60m,median_future_return_120m,mean_future_return_120m,positive_rate_120m,median_mfe_120m,median_mae_120m,median_future_return_240m,mean_future_return_240m,positive_rate_240m,median_mfe_240m,median_mae_240m,median_future_return_480m,mean_future_return_480m,positive_rate_480m,median_mfe_480m,median_mae_480m
htf_1h_15m_structure_5m_pullback_reclaim_strict,3,12,3,9,9,-0.0019511910000121202,-0.0035460219293559267,0.3333333333333333,0.002363439187852645,0.0037869392807766133,-0.003140085173699514,-0.0019435844098991777,0.25,0.0025730262009430183,0.008642543178775886,-0.002549814017592744,-0.002121929779980094,0.3333333333333333,0.01108052714393637,0.011681239333269144,0.0006668520630173091,0.006546687504300523,0.5833333333333334,0.016850113122171884,0.01588882184699536
htf_1h_15m_structure_5m_pullback_reclaim_strict,4,17,9,8,18,-0.00014349018780335232,-0.0002066389726982757,0.4117647058823529,0.007873727385922402,0.0036314459589310566,0.0010356347077227213,0.0002741929786457852,0.5882352941176471,0.009827604131629863,0.00544919617991757,-0.0008803995643340556,0.0006542421602141926,0.4117647058823529,0.011634288916770208,0.008252252252252346,-0.002792415676741822,-0.0009096550561342927,0.35294117647058826,0.012297592029018256,0.011262426987659224
htf_1h_15m_structure_5m_pullback_reclaim_strict,5,21,8,13,22,-0.0004090276858580433,-0.0008014714418268456,0.47619047619047616,0.0015037258986154711,0.002932619231076794,-0.0017893632050771657,-0.0008332981087098435,0.38095238095238093,0.002558667340536891,0.004895364975311511,8.371983992772059e-05,0.0005644036823591048,0.5238095238095238,0.004372608049475035,0.012881966829120017,-0.0021784745332318334,0.0007028390320955538,0.42857142857142855,0.005225948383487999,0.014727708803611628
htf_1h_15m_structure_5m_pullback_reclaim_strict,6,27,11,16,42,0.00013542734097438114,0.00040080882491787826,0.5555555555555556,0.001953493670971085,0.0024464079077508583,0.0006013534230722151,0.001662479363632129,0.6666666666666666,0.0023877637144533725,0.0039765884441962385,0.0010678611449159714,0.0030403517735658994,0.6666666666666666,0.0044895295077509445,0.007393637621023519,0.000379804773853909,0.004359710231521634,0.5185185185185185,0.006853413108512285,0.008324139562545962
htf_1h_15m_structure_5m_pullback_reclaim_vol_cap,0,49,25,24,131,-0.00018078278947841753,0.00034715896972560757,0.4897959183673469,0.0027048300536671732,0.00395054545454554,-0.0004912753894423805,-0.0006720386579548251,0.42857142857142855,0.007916361553981677,0.0059567673790222875,0.0001687895977382503,0.00028544538892112073,0.5306122448979592,0.013659662539463824,0.011826425283568476,0.0,-0.0006855344752120037,0.4897959183673469,0.01441527302533574,0.01378801707767574
htf_1h_15m_structure_5m_pullback_reclaim_vol_cap,1,55,18,37,149,-0.00012177340532915082,0.001381013219373418,0.4909090909090909,0.0029207139119291625,0.002584146626393835,0.00042367854661318205,0.0021122343365379084,0.5636363636363636,0.005729978933309399,0.0036861767640830045,0.0012246953824908147,0.002088313744269376,0.6363636363636364,0.01452524786031928,0.006576617368187487,0.00035670855289815506,0.0009510598316201743,0.509090909090909,0.016392085197005635,0.012640071974395095
htf_1h_15m_structure_5m_pullback_reclaim_vol_cap,2,35,17,18,72,-0.001618984183034522,-0.0006321364363016795,0.2857142857142857,0.0022884747979867726,0.004147041734329782,-0.0014385843623820893,-0.0014917626939347267,0.34285714285714286,0.003447023460704468,0.0050881007097461906,-0.0009551252994883797,-0.002388182509010869,0.37142857142857144,0.005889456178632679,0.00891184928574551,-0.0019150038565026728,0.001013230826435201,0.4,0.012352104316600387,0.009505369545937503
htf_1h_15m_structure_5m_pullback_reclaim_vol_cap,3,37,14,23,72,-0.0005202789592736456,-0.0014112543251758442,0.40540540540540543,0.0029106334841628723,0.0032855675192464684,-0.0018339768339767915,0.0004769941220286628,0.3783783783783784,0.004344796491371872,0.006893213988343083,-0.0032899909417279938,-0.0007678959634746293,0.2702702702702703,0.010104694437003792,0.01285259703669328,-0.001517170710799598,0.006621652251302053,0.4864864864864865,0.015486719398259519,0.020336878585901275
htf_1h_15m_structure_5m_pullback_reclaim_vol_cap,4,42,15,27,70,-0.0002464639168485161,-0.00020795673367001748,0.40476190476190477,0.0037524382016637103,0.004779322845112344,-0.0006514143767995528,-0.0015418986956128153,0.4523809523809524,0.005542534142985556,0.0063658234474121,-0.0017443721310825833,0.0007609344932626385,0.42857142857142855,0.011368719477375056,0.010517436420227066,-0.002551486689858884,0.0006844232339761983,0.40476190476190477,0.013228503867011354,0.014170428893905074
htf_1h_15m_structure_5m_pullback_reclaim_vol_cap,5,28,12,16,38,-0.0007574477547984682,-0.0013900847423613488,0.39285714285714285,0.0018069070727990688,0.0031130048611347494,-0.001949414003665273,-0.0007558665966951238,0.35714285714285715,0.002671360411118484,0.004861394071580094,-0.0008125054139063725,-0.0002604809751167051,0.4642857142857143,0.004799278216481517,0.012644762466130721,-0.0020064097897765087,-0.0005223082418556616,0.4642857142857143,0.005784975085131205,0.015391619685873603
htf_1h_15m_structure_5m_pullback_reclaim_vol_cap,6,58,27,31,149,7.316263658130318e-05,-0.0004184757728861962,0.5172413793103449,0.0022323822752751132,0.0024935187867009545,0.0002368434908774919,0.0007089521822005097,0.5517241379310345,0.0032301531127610916,0.004938499921605277,0.000923807374281993,0.0014899818359345595,0.5862068965517241,0.004633083190507703,0.007789519400584033,0.0021029807230780184,0.0031057293505764028,0.603448275862069,0.00961089485634059,0.008511822194922858
htf_1h_15m_structure_no_overextension,0,159,57,102,831,-0.00018078278947841753,-0.0005967377399101313,0.4779874213836478,0.003062857142857034,0.0034988415181772536,-0.0009036995806016579,-0.0015960793605984567,0.4088050314465409,0.005374153472372578,0.007038171731390208,-0.0012481234153096654,-0.003053517698672461,0.389937106918239,0.008102375711435794,0.013467614316198029,-0.0035869565217391264,-0.005032955173875237,0.37735849056603776,0.012504925418163948,0.016968645573273933
htf_1h_15m_structure_no_overextension,1,145,39,106,710,-0.0004100159201493314,-4.342794312509421e-05,0.43448275862068964,0.0035643380036756156,0.0037299893276414586,-0.00048582190898638355,-4.5533222248045535e-05,0.46206896551724136,0.0071142189091921715,0.005688838102309246,-0.0002496189044716157,-0.00042099606509609397,0.4689655172413793,0.011024680191239034,0.009270105018254315,-0.0012075711359907926,-0.001195733341303451,0.4689655172413793,0.016224719101123553,0.016234033907886913
htf_1h_15m_structure_no_overextension,2,159,76,83,947,-0.00032939723247493724,-0.00018650424004539794,0.4716981132075472,0.0034113785340990077,0.0035780380669200307,-7.093013523540304e-05,0.0003743996295512421,0.49056603773584906,0.006032158060025772,0.005772871581277372,-0.0004955554411839591,0.0006054646151500696,0.4591194968553459,0.011786173521926235,0.008852885713526937,-0.0002772834718866024,0.0031909628312965033,0.48427672955974843,0.018268342841603724,0.011389738095004098
htf_1h_15m_structure_no_overextension,3,138,51,87,720,-0.000550581006882267,-2.342132863627371e-05,0.45652173913043476,0.0026023867499057607,0.003309389091128101,-0.0009907489582337559,0.00021333720151794428,0.4420289855072464,0.004711019545654782,0.007199129278475325,-0.0017241267378508285,0.0008632254129244881,0.463768115942029,0.009499674175631467,0.011440127154009938,-0.00184168879186003,0.004877742655416445,0.4420289855072464,0.014131431203623257,0.01895180421709003
htf_1h_15m_structure_no_overextension,4,141,47,94,922,-0.00023706424441027885,0.0007905342292550763,0.48936170212765956,0.005175454361647125,0.004665660821673967,-0.000422778442598859,0.001009622321358124,0.48226950354609927,0.00780666121361584,0.00711706464764128,-0.0009681846971741903,0.0002710702805100586,0.46099290780141844,0.011758332655538606,0.010162461502097098,-0.0024382456853905277,-0.0014074585963104755,0.45390070921985815,0.019374510059701144,0.014178893905191892
htf_1h_15m_structure_no_overextension,5,97,28,69,468,-0.0006774253991284063,-0.0004722203764540332,0.4329896907216495,0.001763240356871032,0.0025007675775253757,-0.0013488527538475514,-0.0005008315938101007,0.38144329896907214,0.0025925433515032736,0.0046429901968961795,-0.0022361724361351643,-9.235434226239493e-06,0.422680412371134,0.004372608049475035,0.007722919398890693,-0.003470290067685955,0.0014232742402605406,0.35051546391752575,0.007286620920999187,0.012839262312206778
