policy_name,date,trade_count,gross_pnl,net_pnl,no_cost_net_pnl,fee_total,slippage_total,cumulative_net_pnl,equity
tf_1h_donchian_20_10_atr3,2026-02-20,1,0.010909999999999127,0.004171514999999127,0.010909999999999127,0.006698485,4e-05,-0.5141845850000005,4999.485815415
tf_1h_donchian_20_10_atr3,2026-02-21,1,-0.00913000000000029,-0.015943255000000288,-0.00913000000000029,0.006773255,4e-05,-0.5301278400000008,4999.46987216
tf_1h_donchian_20_10_atr3,2026-02-22,1,-0.08948999999999942,-0.09629627499999942,-0.08948999999999942,0.006766275,4e-05,-0.6264241150000002,4999.373575885
tf_1h_donchian_20_10_atr3,2026-02-23,1,-0.13353999999999944,-0.14021241999999945,-0.13353999999999944,0.00663242,4e-05,-0.7666365349999997,4999.233363465
tf_1h_donchian_20_10_atr3,2026-02-25,1,-0.031780000000000294,-0.03832079000000029,-0.031780000000000294,0.00650079,4e-05,-0.804957325,4999.195042675
tf_1h_donchian_20_10_atr3,2026-02-26,1,0.14413999999999944,0.13732782999999943,0.14413999999999944,0.00677217,4e-05,-0.6676294950000006,4999.332370505
tf_1h_donchian_20_10_atr3,2026-02-27,1,-0.046640000000000875,-0.053493840000000875,-0.046640000000000875,0.006813840000000001,4e-05,-0.7211233350000015,4999.278876665
tf_1h_donchian_20_10_atr3,2026-03-01,2,-0.005759999999999127,-0.019203409999999116,-0.005759999999999127,0.01336341,8e-05,-0.7403267450000005,4999.259673255
tf_1h_donchian_20_10_atr3,2026-03-03,2,-0.4978099999999992,-0.5114031649999992,-0.4978099999999992,0.013513165,8e-05,-1.2517299099999997,4998.74827009
tf_1h_donchian_20_10_atr3,2026-03-05,1,-0.02435,-0.031599915,-0.02435,0.007209915,4e-05,-1.2833298249999996,4998.716670175
tf_1h_donchian_20_10_atr3,2026-03-09,1,0.08173999999999942,0.07483599999999943,0.08173999999999942,0.006864000000000001,4e-05,-1.2084938250000001,4998.791506175
tf_1h_donchian_20_10_atr3,2026-03-10,1,-0.20423999999999942,-0.21112736999999943,-0.20423999999999942,0.00684737,4e-05,-1.4196211949999997,4998.580378805
tf_1h_donchian_20_10_atr3,2026-03-11,1,-0.10947999999999884,-0.11642239999999884,-0.10947999999999884,0.0069024,4e-05,-1.5360435949999984,4998.463956405
tf_1h_donchian_20_10_atr3,2026-03-14,1,-0.1456800000000003,-0.15286487000000032,-0.1456800000000003,0.007144870000000001,4e-05,-1.6889084649999988,4998.311091535
tf_1h_donchian_20_10_atr3,2026-03-18,1,-0.10151999999999971,-0.1088661699999997,-0.10151999999999971,0.007306170000000002,4e-05,-1.7977746349999986,4998.202225365
tf_1h_donchian_20_10_atr3,2026-03-20,1,0.1414699999999997,0.1342788549999997,0.1414699999999997,0.007151145,4e-05,-1.6634957799999988,4998.33650422
tf_1h_donchian_20_10_atr3,2026-03-23,1,0.00795,0.0010485350000000015,0.00795,0.006861464999999999,4e-05,-1.6624472449999987,4998.337552755
tf_1h_donchian_20_10_atr3,2026-03-24,1,-0.006500000000000001,-0.013535590000000002,-0.006500000000000001,0.00699559,4e-05,-1.6759828349999988,4998.324017165
tf_1h_donchian_20_10_atr3,2026-03-25,1,-0.20737999999999884,-0.21444479999999885,-0.20737999999999884,0.0070248,4e-05,-1.8904276349999978,4998.109572365
tf_1h_donchian_20_10_atr3,2026-03-26,1,-0.16742999999999886,-0.17455777499999886,-0.16742999999999886,0.007087775000000001,4e-05,-2.0649854099999967,4997.93501459
tf_1h_donchian_20_10_atr3,2026-03-27,2,-0.2500600000000006,-0.2640599700000006,-0.2500600000000006,0.01391997,8e-05,-2.329045379999997,4997.67095462
tf_1h_donchian_20_10_atr3,2026-03-28,1,0.014210000000000583,0.007517105000000583,0.014210000000000583,0.006652895,4e-05,-2.3215282749999964,4997.678471725
tf_1h_donchian_20_10_atr3,2026-03-30,1,-0.069,-0.07568044,-0.069,0.00664044,4e-05,-2.3972087149999965,4997.602791285
tf_1h_donchian_20_10_atr3,2026-03-31,2,-0.09348999999999942,-0.10689076499999942,-0.09348999999999942,0.013320765000000002,8e-05,-2.504099479999996,4997.49590052
tf_1h_donchian_20_10_atr4,2026-01-01,1,-0.054530000000000294,-0.06333693500000029,-0.054530000000000294,0.008766935,4e-05,-0.06333693500000029,4999.936663065
tf_1h_donchian_20_10_atr4,2026-01-03,1,-0.1898699999999997,-0.1990425449999997,-0.1898699999999997,0.009132545,4e-05,-0.26237948,4999.73762052
tf_1h_donchian_20_10_atr4,2026-01-05,1,0.04781999999999971,0.03852278999999971,0.04781999999999971,0.00925721,4e-05,-0.2238566900000003,4999.77614331
tf_1h_donchian_20_10_atr4,2026-01-07,1,-0.1895,-0.19891117000000003,-0.1895,0.00937117,4e-05,-0.42276786000000033,4999.57723214
tf_1h_donchian_20_10_atr4,2026-01-09,1,0.00921999999999971,-7.093000000029162e-05,0.00921999999999971,0.009250930000000001,4e-05,-0.42283879000000063,4999.57716121
tf_1h_donchian_20_10_atr4,2026-01-13,1,-0.07419000000000088,-0.08342498500000088,-0.07419000000000088,0.009194985000000001,4e-05,-0.5062637750000015,4999.493736225
tf_1h_donchian_20_10_atr4,2026-01-16,1,0.19517000000000118,0.18575797500000116,0.19517000000000118,0.009372025,4e-05,-0.32050580000000034,4999.6794942
tf_1h_donchian_20_10_atr4,2026-01-17,1,-0.041860000000000584,-0.051357050000000584,-0.041860000000000584,0.009457050000000002,4e-05,-0.3718628500000009,4999.62813715
