split,policy_name,policy_family,funding_mode,synthetic_funding_stress,funding_bps_per_8h,original_net_pnl,funding_cost,funding_adjusted_net_pnl,funding_break_even_bps,remains_positive_after_funding,funding_exposure_notional_periods
train,v3_1d_ema_50_200_atr5,1d_ema,synthetic,True,5.0,1.6508167100000004,3.390968911677084,-1.7401522016770836,2.4341371935249474,False,6781.937823354167
train,v3_1d_ema_50_200_atr5,1d_ema,synthetic,True,10.0,1.6508167100000004,6.781937823354168,-5.131121113354167,2.4341371935249474,False,6781.937823354167
train,v3_4h_donchian_100_30_atr5,4h_donchian,synthetic,True,1.0,-1.339346419999999,0.5417817442770831,-1.881128164277082,-2.4721143415179703,False,5417.817442770832
train,v3_4h_donchian_100_30_atr5,4h_donchian,synthetic,True,3.0,-1.339346419999999,1.6253452328312494,-2.9646916528312484,-2.4721143415179703,False,5417.817442770832
train,v3_4h_donchian_100_30_atr5,4h_donchian,synthetic,True,5.0,-1.339346419999999,2.708908721385416,-4.048255141385415,-2.4721143415179703,False,5417.817442770832
train,v3_4h_donchian_100_30_atr5,4h_donchian,synthetic,True,10.0,-1.339346419999999,5.417817442770832,-6.757163862770831,-2.4721143415179703,False,5417.817442770832
train,v3_4h_donchian_20_10_atr4,4h_donchian,synthetic,True,1.0,-5.388133239999993,0.60722653525,-5.995359775249993,-8.873349445741292,False,6072.2653525000005
train,v3_4h_donchian_20_10_atr4,4h_donchian,synthetic,True,3.0,-5.388133239999993,1.8216796057500004,-7.209812845749994,-8.873349445741292,False,6072.2653525000005
train,v3_4h_donchian_20_10_atr4,4h_donchian,synthetic,True,5.0,-5.388133239999993,3.0361326762500003,-8.424265916249993,-8.873349445741292,False,6072.2653525000005
train,v3_4h_donchian_20_10_atr4,4h_donchian,synthetic,True,10.0,-5.388133239999993,6.0722653525000005,-11.460398592499994,-8.873349445741292,False,6072.2653525000005
train,v3_4h_donchian_55_20_atr4,4h_donchian,synthetic,True,1.0,-4.728818925000001,0.6448895566041668,-5.373708481604167,-7.332757797941128,False,6448.895566041668
train,v3_4h_donchian_55_20_atr4,4h_donchian,synthetic,True,3.0,-4.728818925000001,1.9346686698125002,-6.6634875948125005,-7.332757797941128,False,6448.895566041668
train,v3_4h_donchian_55_20_atr4,4h_donchian,synthetic,True,5.0,-4.728818925000001,3.224447783020834,-7.953266708020834,-7.332757797941128,False,6448.895566041668
