policy_name,time,net_pnl,no_cost_net_pnl,cumulative_net_pnl,cumulative_no_cost_net_pnl,equity,no_cost_equity,drawdown,ddpercent
v3_4h_donchian_55_with_risk_filters,2026-01-28T12:00:00+08:00,-0.001255205,-0.0010899999999999998,-0.5459449099998892,-0.5333199999995486,4999.45405509,4999.46668,0.5459449099998892,0.010918898199997785
v3_4h_donchian_55_with_risk_filters,2026-01-28T20:00:00+08:00,-0.0017004,-0.0,-0.5476453100000072,-0.5333199999995486,4999.45235469,4999.46668,0.5476453100000072,0.010952906200000143
v3_4h_donchian_55_with_risk_filters,2026-02-10T04:00:00+08:00,1.1682752699999999,1.1761199999999998,0.6206299599998601,0.6427999999996246,5000.62062996,5000.6428,0.0,0.0
v3_4h_donchian_55_with_risk_filters,2026-02-26T00:00:00+08:00,-0.0864747500000001,-0.0835000000000001,0.5341552099998808,0.5592999999998938,5000.53415521,5000.5593,0.0864747499999794,0.0017292803513605291
v3_4h_donchian_55_with_risk_filters,2026-03-05T04:00:00+08:00,-0.12495300000000002,-0.12200000000000003,0.4092022100003305,0.43729999999959546,5000.40920221,5000.4373,0.21142774999952962,0.004228030191548861
v3_4h_donchian_55_with_risk_filters,2026-03-08T04:00:00+08:00,-0.08717495000000003,-0.08590000000000003,0.3220272600001408,0.3513999999995576,5000.32202726,5000.3514,0.29860269999971933,0.00597131280486894
v3_4h_donchian_55_with_risk_filters,2026-03-31T23:59:00+08:00,-0.06613160499999993,-0.06406999999999993,0.25589565500013123,0.2873300000001109,5000.255895655,5000.28733,0.3647343049997289,0.007293780752223278
v3_4h_ema_50_200_atr4,2026-01-01T04:00:00+08:00,0.0,0.0,0.0,0.0,5000.0,5000.0,0.0,0.0
v3_4h_ema_50_200_atr4,2026-01-01T08:00:00+08:00,-0.017053700000000064,-0.015400000000000063,-0.01705370000036055,-0.01540000000022701,4999.9829463,4999.9846,0.01705370000036055,0.000341074000007211
v3_4h_ema_50_200_atr4,2026-01-01T20:00:00+08:00,-0.10773225000000015,-0.10450000000000015,-0.1247859499999322,-0.11989999999968859,4999.87521405,4999.8801,0.1247859499999322,0.002495718999998644
v3_4h_ema_50_200_atr4,2026-01-02T04:00:00+08:00,-0.003163799999999989,-0.0029999999999999892,-0.12794974999997066,-0.12290000000029977,4999.87205025,4999.8771,0.12794974999997066,0.0025589949999994133
