family,hold_label,timeframe,trade_count,no_cost_pnl,cost_aware_pnl,funding_adjusted_pnl,funding_events_count,funding_data_complete,win_rate,profit_factor,max_drawdown,largest_symbol_pnl_share,top_5pct_trade_pnl_contribution
cross_symbol_breadth_acceleration,fixed_hold_3d,4h,5778,9071.732650378322,3293.7326503783215,6368.114937652304,51831,True,0.4980962270681897,1.0452121305127056,5801.13362029887,0.407751013189968,7.877218706963025
cross_symbol_breadth_acceleration,fixed_hold_4h,4h,5778,4832.655978873796,-945.3440211262034,-787.912142858172,2831,True,0.4499826929733472,0.9760935749872044,1848.904035359551,1.0,-18.74446988794539
cross_symbol_breadth_acceleration,fixed_hold_8h,4h,5778,6855.605283645058,1077.605283645058,1413.7503341480533,5773,True,0.46953963309103497,1.0320138055522137,1592.04426497451,0.6556442919324382,13.939882711670158
funding_neutral_momentum,fixed_hold_10d,1d,1844,13180.774282410863,11336.774282410863,13418.987690030093,54897,True,0.5130151843817787,1.1753176369654303,5231.521384633939,0.36591389124976054,1.958720766658275
funding_neutral_momentum,fixed_hold_1d,1d,1844,97.15671817309044,-1746.8432818269089,-1600.374427637237,5526,True,0.45878524945770066,0.9436205909336542,2153.970946860708,1.0,-6.5853426972311215
funding_neutral_momentum,fixed_hold_1d,4h,6210,2631.9644923388505,-3578.0355076611495,-2935.220798959774,18616,True,0.4830917874396135,0.9702661301752817,6153.182802990192,0.7814789512904882,-12.700752495252758
funding_neutral_momentum,fixed_hold_3d,1d,1844,6083.20140875201,4239.201408752009,4754.825625595828,16566,True,0.48427331887201736,1.105573166858024,2997.3084126109666,0.4565657025531104,3.5979372396440756
funding_neutral_momentum,fixed_hold_3d,4h,6210,10458.788419308661,4248.788419308661,6278.580580593325,55790,True,0.48470209339774556,1.0400116336303205,5208.552974431456,0.7068834684418478,9.15825771276501
funding_neutral_momentum,fixed_hold_4h,4h,6210,-360.10728207766215,-6570.1072820776635,-6473.831987028851,2846,True,0.44605475040257647,0.8559922758103947,6563.008409648598,1.0,-2.739006033231999
funding_neutral_momentum,fixed_hold_8h,4h,6210,23.675313489838572,-6186.324686510161,-5963.463236682761,6206,True,0.4502415458937198,0.902416376339516,6050.106527453254,0.3750163623767876,-4.175412684597026
pre_breakout_momentum_acceleration,fixed_hold_10d,1d,893,3344.4602791622433,2451.4602791622433,3964.2665419924588,26670,True,0.5005599104143337,1.101559462372572,4050.7537391121277,0.6643931178779364,3.1233248519431993
pre_breakout_momentum_acceleration,fixed_hold_1d,1d,893,-3103.474257669778,-3996.4742576697777,-3859.7596624966736,2676,True,0.44344904815229563,0.7500042015870934,4232.012621739979,1.0,-1.1368155760145775
pre_breakout_momentum_acceleration,fixed_hold_1d,4h,2886,-539.1261670462111,-3425.1261670462113,-2852.995369906957,8655,True,0.48544698544698545,0.9320289430539361,4586.226772017686,1.0,-4.9959051040796645
pre_breakout_momentum_acceleration,fixed_hold_3d,1d,893,-1557.9648390308173,-2450.964839030818,-2017.6577713956951,8019,True,0.46472564389697646,0.9196191577390946,3258.078337611086,1.0,-4.047934189194814
pre_breakout_momentum_acceleration,fixed_hold_3d,4h,2886,-1508.3387328992944,-4394.338732899294,-2746.559319937369,25963,True,0.48440748440748443,0.9632857911365924,5238.531743279416,0.6227125118751569,-8.882748624110176
pre_breakout_momentum_acceleration,fixed_hold_4h,4h,2886,-281.1482790396027,-3167.148279039602,-3071.9224479550758,1483,True,0.4473319473319473,0.8312501765239769,3169.3165031147932,0.2947154430693434,-1.9711344568590408
pre_breakout_momentum_acceleration,fixed_hold_8h,4h,2886,830.3872518018084,-2055.6127481981916,-1866.3180628975415,2885,True,0.4622314622314622,0.922422265268442,2543.3866476412777,0.2833033996957076,-4.764539759038623
relative_strength_leader,fixed_hold_10d,1d,2546,27605.538883855304,25059.538883855304,28427.841562760514,75975,True,0.5318146111547526,1.2880986876565594,6138.727941892161,0.5371788339075971,1.3493693302391991
relative_strength_leader,fixed_hold_1d,1d,2546,4656.950782708169,2110.9507827081693,2398.262661356807,7629,True,0.48586017282010996,1.0684430942341483,2211.65207879867,0.3806563208219654,6.017460349577604
relative_strength_leader,fixed_hold_1d,4h,7619,2651.5305791008122,-4967.469420899188,-3968.0655669846637,22834,True,0.47735923349520937,0.9648733730088269,5002.588958981697,0.7719071149315164,-11.017067018081796
relative_strength_leader,fixed_hold_3d,1d,2546,12677.077390745493,10131.077390745493,11041.4741465632,22872,True,0.5102120974076984,1.1912902293683898,3711.9141289269355,0.44797413507439354,2.1629937595429234
relative_strength_leader,fixed_hold_3d,4h,7619,7902.939528226995,283.9395282269966,3365.726489385844,68455,True,0.48864680404252525,1.0177349834331388,7163.397561623383,0.3563737482872484,20.71704003171499
relative_strength_leader,fixed_hold_4h,4h,7619,24.180252187285873,-7594.819747812715,-7429.900748835364,3700,True,0.4382464890405565,0.8543221167322093,8289.53247073217,1.0,-2.90131308977241
relative_strength_leader,fixed_hold_8h,4h,7619,-1514.1433172050986,-9133.143317205098,-8792.400580884105,7615,True,0.45557159732248326,0.8728228979538369,8882.667315446666,0.28355747443748136,-3.077886780522751
