policy_name,base_policy_name,atr_mult,timeframe,train_trade_count,validation_trade_count,oos_trade_count,train_no_cost_net_pnl,validation_no_cost_net_pnl,oos_no_cost_net_pnl,train_net_pnl,validation_net_pnl,oos_net_pnl,train_cost_drag,validation_cost_drag,oos_cost_drag,train_max_ddpercent,validation_max_ddpercent,oos_max_ddpercent,train_top_5pct_trade_pnl_contribution,validation_top_5pct_trade_pnl_contribution,oos_top_5pct_trade_pnl_contribution,train_no_cost_positive,validation_no_cost_positive,oos_no_cost_positive,oos_cost_aware_nonnegative,oos_cost_drag_explainable,drawdown_controlled,trade_count_sufficient,stable_candidate,strategy_v2_candidate
tf_1h_donchian_55_with_risk_filters_atr4,tf_1h_donchian_55_with_risk_filters,4.0,1h,2.0,2.0,2.0,-0.2949199999999997,0.1311999999999999,-0.3960199999999997,-0.3161175699999997,0.1107764999999999,-0.4141999399999997,0.0211975699999999,0.0204235,0.0181799399999999,0.0063223513999946,0.0008878564000042,0.0082839987999977,0.0734655463788362,1.4007422151810125,0.0856350437906865,False,True,False,False,False,True,False,False,False
tf_1h_donchian_55_with_risk_filters_atr5,tf_1h_donchian_55_with_risk_filters,5.0,1h,2.0,2.0,2.0,-0.2949199999999997,0.1034400000000008,-0.3960199999999997,-0.3161175699999997,0.0830026200000008,-0.4141999399999997,0.0211975699999999,0.02043738,0.0181799399999999,0.0063223513999946,0.0008878564000042,0.0082839987999977,0.0734655463788362,1.5348363702254093,0.0856350437906865,False,True,False,False,False,True,False,False,False
tf_1h_donchian_55_20_atr5,tf_1h_donchian_55_20,5.0,1h,50.0,25.0,25.0,-4.982019999999999,-2.362890000000001,-1.208110000000001,-5.498791099999998,-2.610239755000001,-1.3974157950000008,0.5167710999999997,0.2473497550000001,0.1893057949999999,0.1137321187000088,0.0693861779175284,0.0426690127427197,-0.3960890631033431,-0.3293435510486273,-1.2590966599171722,False,False,False,False,False,True,True,False,False
tf_1h_donchian_55_20_atr3,tf_1h_donchian_55_20,3.0,1h,53.0,27.0,28.0,-4.126139999999998,-1.7314600000000009,-1.317820000000001,-4.674406999999998,-2.0014915800000006,-1.5306326600000015,0.5482670000000001,0.2700315799999997,0.2128126600000002,0.0965461624999989,0.0576440002323328,0.0336209579389631,-0.3770109716590791,-0.4402798436953697,-0.6876974093836454,False,False,False,False,False,True,True,False,False
tf_1h_donchian_55_20_atr4,tf_1h_donchian_55_20,4.0,1h,51.0,25.0,28.0,-4.918049999999998,-1.7230300000000034,-2.0494700000000003,-5.444096534999999,-1.970358475000003,-2.262200855,0.5260465350000008,0.2473284749999995,0.2127308549999997,0.1126382274000025,0.0565907522750428,0.0452440170999943,-0.3365172078088436,-0.4362991003451786,-0.4653044457451587,False,False,False,False,False,True,True,False,False
tf_1h_vol_compression_breakout_atr3,tf_1h_vol_compression_breakout,3.0,1h,53.0,27.0,28.0,-1.1056299999999917,-0.8882900000000008,-2.1703300000000003,-1.646456794999992,-1.1566750350000008,-2.379547875,0.5408267950000005,0.268385035,0.2092178749999997,0.0435920651999913,0.028088711554057,0.0475909574999968,-0.9320054918295068,-0.7075589212487827,-0.0863372500963019,False,False,False,False,False,True,True,False,False
tf_1h_donchian_20_10_atr3,tf_1h_donchian_20_10,3.0,1h,116.0,54.0,52.0,-1.919959999999989,-3.4387799999999986,-2.109879999999996,-3.10877819999999,-3.98113093,-2.504099479999996,1.188818200000001,0.5423509300000009,0.3942194799999998,0.0803608153305406,0.0881143233928935,0.0572380803452085,-1.2501089785048072,-0.2937672713014739,-0.7181942787672334,False,False,False,False,False,True,True,False,False
tf_1h_donchian_20_10_atr5,tf_1h_donchian_20_10,5.0,1h,110.0,49.0,47.0,-2.521629999999992,-3.81472,-2.2187999999999968,-3.649757764999992,-4.304828520000001,-2.5735174199999973,1.128127765,0.4901085200000006,0.3547174200000005,0.0935945430353267,0.0911672434888021,0.0514703483999983,-1.060952216372642,-0.3389103510678279,-0.6422737639755332,False,False,False,False,False,True,True,False,False
tf_1h_vol_compression_breakout_atr5,tf_1h_vol_compression_breakout,5.0,1h,52.0,25.0,27.0,-0.8868899999999935,0.4339499999999985,-2.4177500000000003,-1.4195048749999937,0.1886700649999984,-2.619794375,0.5326148750000002,0.2452799350000001,0.2020443749999998,0.0354508286999953,0.0281932961926676,0.0523958875000062,-1.081015501972128,6.72547921155383,-0.0674357085754103,False,True,False,False,False,True,True,False,False
tf_1h_donchian_20_10_atr4,tf_1h_donchian_20_10,4.0,1h,111.0,50.0,48.0,-2.375959999999988,-3.868940000000001,-2.356469999999997,-3.514684179999988,-4.3694780500000014,-2.7178585949999974,1.1387241799999996,0.5005380500000003,0.3613885950000002,0.0890417343329614,0.0924601684689747,0.0543571718999919,-1.1017258995942032,-0.2604547870425845,-0.6081636193438543,False,False,False,False,False,True,True,False,False
tf_1h_vol_compression_breakout_atr4,tf_1h_vol_compression_breakout,4.0,1h,52.0,25.0,27.0,-0.8993999999999925,-0.2517600000000021,-2.5740899999999995,-1.4319834599999928,-0.4974592900000022,-2.7762395349999998,0.5325834600000002,0.2456992900000001,0.2021495349999997,0.0376133468999978,0.0270413939784544,0.0555247907000011,-1.0715953206610422,-1.6018697127959869,-0.0750231373677198,False,False,False,False,False,True,True,False,False
tf_1h_ema_cross_atr_trail_atr5,tf_1h_ema_cross_atr_trail,5.0,1h,351.0,110.0,129.0,-4.7689,-2.14685999999999,-1.9596899999999968,-8.400108249999999,-3.233264509999991,-2.9851525949999966,3.6312082499999994,1.0864045100000008,1.0254625949999998,0.1756865690955129,0.0881625762324471,0.0646359262039604,-0.9133144546083676,-1.1538839641672292,-0.8663490483976426,False,False,False,False,False,True,True,False,False
tf_1h_ema_cross_atr_trail_atr4,tf_1h_ema_cross_atr_trail,4.0,1h,353.0,114.0,132.0,-4.773529999999999,-2.347109999999992,-2.024669999999995,-8.427372025,-3.474531814999992,-3.070421584999995,3.653842025000001,1.127421815,1.045751585,0.1757130845565804,0.0929869042644079,0.0663412369114162,-0.9117024758379524,-1.1057914834491194,-0.8422895808948023,False,False,False,False,False,True,True,False,False
tf_1h_ema_cross_atr_trail_atr3,tf_1h_ema_cross_atr_trail,3.0,1h,358.0,115.0,136.0,-4.928150000000004,-2.441469999999991,-2.016369999999994,-8.634294495000002,-3.5775784549999914,-3.0945386149999945,3.7061444949999984,1.1361084550000005,1.0781686150000005,0.1790037811519881,0.0950474022417434,0.0653118415336291,-0.8654747558503326,-1.0281160305120438,-0.9285876547383156,False,False,False,False,False,True,True,False,False
