policy_name,symbol,trade_count,long_count,short_count,active_symbol_count,no_cost_net_pnl,net_pnl,fee_total,slippage_total,cost_drag,win_rate,profit_factor,avg_win,avg_loss,avg_trade_net_pnl,median_trade_net_pnl,max_drawdown,max_ddpercent,return_drawdown_ratio,sharpe_like,avg_holding_minutes,median_holding_minutes,top_5pct_trade_pnl_contribution,best_trade,worst_trade,largest_symbol_pnl_share,portfolio_turnover,max_concurrent_positions,pnl_share
v3_1d_ema_50_200_atr5,ETHUSDT_SWAP_OKX.GLOBAL,3,1,2,1,1.8574200000000012,1.848838140000001,0.008461860000000002,0.00012000000000000002,0.008581860000000274,0.6666666666666666,7.998962007356903,1.0564985225000005,-0.26415890499999994,0.6162793800000003,1.0445407800000002,0.2641589049999311,0.0052820746315274955,6.998962007358727,1.7143557291826517,80640.0,102240.0,0.5779068712851197,1.0684562650000007,-0.26415890499999994,1.0,16.923720000000003,1,0.8628846272751349
v3_1d_ema_50_200_atr5,LINKUSDT_SWAP_OKX.GLOBAL,9,3,6,1,-0.04807999999999997,-0.04999789999999996,0.0015579,0.00036,0.0019178999999999932,0.3333333333333333,0.3992373959668274,0.011075385000000002,-0.013870675833333327,-0.005555322222222218,-0.00808489000000001,0.06627155499973014,0.001325426786086954,-0.7544398196210056,-1.097604780268864,26560.0,15840.0,-0.5583730516681708,0.027917480000000015,-0.030847489999999998,1.0,3.1158,1,0.018978617415774203
v3_1d_ema_50_200_atr5,SOLUSDT_SWAP_OKX.GLOBAL,6,6,0,1,-0.2831999999999999,-0.29717109999999997,0.0115711,0.0024000000000000002,0.01397110000000007,0.3333333333333333,0.558222352911794,0.18775004999999995,-0.16816779999999998,-0.04952851666666666,-0.09495065,0.6361642000001666,0.01272328400000333,-0.4671295555454427,-0.5995804061120593,17279.833333333332,9360.0,-1.1496341669832628,0.34163804999999986,-0.26494490000000004,1.0,23.142200000000003,1,0.11280266999063526
v3_4h_donchian_100_30_atr5,BTCUSDT_SWAP_OKX.GLOBAL,8,4,4,1,-0.39858999999999956,-0.4805551349999998,0.08164513500000001,0.00032,0.08196513500000024,0.375,0.8141951375856868,0.7019293416666668,-0.5172686320000001,-0.060069391874999975,-0.3554331474999999,1.0724813899996661,0.02144962779999332,-0.4480778309823627,-0.2417201233326765,24510.0,20280.0,-3.0297499786366857,1.455961909999999,-0.7495679600000009,1.0,163.29027000000002,1,0.12120538049286633
v3_4h_donchian_100_30_atr5,DOGEUSDT_SWAP_OKX.GLOBAL,3,2,1,1,-2.1585,-2.17151825,0.00701825,0.006,0.013018250000000009,0.0,0.0,,-0.7238394166666667,-0.7238394166666667,-0.5581767500000001,2.17151825000019,0.0434303650000038,-0.9999999999999125,-2.3360564271501643,7680.0,8640.0,0.07608351898493138,-0.16521674999999997,-1.44812475,1.0,14.0365,1,0.54769926813591
v3_4h_donchian_100_30_atr5,ETHUSDT_SWAP_OKX.GLOBAL,9,4,5,1,1.2202300000000006,1.1924077550000005,0.027462245,0.00036,0.02782224500000008,0.6666666666666666,2.756757451988398,0.31186044500000004,-0.22625163833333314,0.13248975055555562,0.04726811999999991,0.5166459800002485,0.010329388903867686,2.3079783858947804,1.0916860869084222,19973.333333333332,17760.0,0.7405762175708089,0.8830688250000003,-0.4572886199999999,1.0,54.924490000000006,1,0.9083440706194374
v3_4h_donchian_100_30_atr5,LINKUSDT_SWAP_OKX.GLOBAL,12,6,6,1,0.03753999999999999,0.03504865999999999,0.00201134,0.00048,0.0024913400000000016,0.5,1.5928591654456625,0.015694446666666667,-0.009853003333333334,0.0029207216666666657,-0.00012155750000000825,0.036416345000361616,0.0007283233973164771,0.9624431007464355,0.611567702174474,15459.916666666666,12240.0,1.0568693639072084,0.037041855000000005,-0.018870029999999982,1.0,4.02268,1,0.026699123987294616
v3_4h_donchian_100_30_atr5,SOLUSDT_SWAP_OKX.GLOBAL,3,2,1,1,0.0931000000000003,0.08527055000000032,0.00662945,0.0012000000000000001,0.007829449999999974,0.6666666666666666,2.3228649218883395,0.0748647750000001,-0.06445899999999989,0.028423516666666773,0.0746366000000001,0.06445900000016991,0.0012891413954911914,1.32286492188485,0.7495795217226944,12959.666666666666,12480.0,0.8806434343392862,0.0750929500000001,-0.06445899999999989,1.0,13.258900000000002,1,0.06495680539326792
v3_4h_donchian_20_10_atr4,BTCUSDT_SWAP_OKX.GLOBAL,23,10,13,1,-4.749449999999998,-4.982625234999998,0.23225523500000003,0.00092,0.23317523500000004,0.17391304347826086,0.2611563929920232,0.4402976562499994,-0.354937676842105,-0.2166358797826086,-0.28611604999999996,4.9826252350003415,0.09965250470000683,-0.999999999999931,-2.7973289696500077,8024.347826086957,4800.0,-0.24520713928427706,0.6686757499999988,-0.9622486749999989,1.0,464.51047000000005,1,0.7085202734684996
v3_4h_donchian_20_10_atr4,DOGEUSDT_SWAP_OKX.GLOBAL,8,5,3,1,-1.1629999999999998,-1.1946459999999999,0.015646,0.016,0.03164600000000006,0.125,0.1345111092516301,0.1856674999999999,-0.19718764285714285,-0.14933074999999998,-0.1418738749999999,1.1946459999999206,0.023892919999998413,-1.0000000000000664,-2.6347803739828684,10080.0,8040.0,-0.15541633253700252,0.1856674999999999,-0.3807590000000001,1.0,31.291999999999998,1,0.16987649495939852
v3_4h_donchian_20_10_atr4,ETHUSDT_SWAP_OKX.GLOBAL,25,12,13,1,0.7030600000000004,0.6285801200000001,0.07347988000000001,0.0010000000000000002,0.07447988000000028,0.44,1.3170866469036306,0.23735826000000004,-0.14159719571428572,0.025143204800000003,-0.016663999999999998,0.7147489199996926,0.01429473104624069,0.879441860507142,0.4385874685013535,10003.16,6240.0,2.5886209541593512,1.041927425,-0.36396607999999986,1.0,146.95976000000002,1,0.7645540556691284
v3_4h_donchian_20_10_atr4,LINKUSDT_SWAP_OKX.GLOBAL,36,19,17,1,-0.025329999999999978,-0.03301462499999996,0.006244625,0.0014400000000000005,0.00768462499999998,0.3611111111111111,0.8649713945920134,0.016268180384615385,-0.010630476956521738,-0.0009170729166666654,-0.004683552499999995,0.1229807849995268,0.0024595851039250654,-0.2684535230453033,-0.32027929965427276,7006.638888888889,5520.0,-2.8406079124024624,0.05311926000000002,-0.03506508499999998,1.0,12.489249999999998,1,0.004694619809884204
v3_4h_donchian_20_10_atr4,SOLUSDT_SWAP_OKX.GLOBAL,8,5,3,1,0.21140000000000042,0.19357250000000042,0.014627500000000002,0.0032,0.017827499999999996,0.375,1.32123715781557,0.2653856333333335,-0.12051687999999998,0.024196562500000053,-0.047392524999999956,0.6025844000005236,0.01205041158944536,0.32123715781529066,0.3024812075313838,10919.875,12479.5,2.7359921993051652,0.5296128500000002,-0.2190398500000001,1.0,29.255,1,0.2354459443308717
v3_4h_donchian_55_20_atr4,BTCUSDT_SWAP_OKX.GLOBAL,15,8,7,1,-2.448010000000001,-2.6036793350000007,0.15506933500000003,0.0006000000000000001,0.1556693349999998,0.26666666666666666,0.4911935674052944,0.6283875649999999,-0.46520269045454543,-0.17357862233333338,-0.3180374549999994,2.603679335000379,0.052073586700007585,-0.9999999999998547,-1.316779984293392,15232.0,12240.0,-0.2896877141746797,0.7542539150000003,-0.8908435350000004,1.0,310.13867000000005,1,0.4993163380347732
v3_4h_donchian_55_20_atr4,DOGEUSDT_SWAP_OKX.GLOBAL,4,3,1,1,-2.178,-2.196913,0.010913,0.008,0.018912999999999958,0.0,0.0,,-0.54922825,-0.54922825,-0.5009626249999999,2.1969129999997676,0.04393825999999535,-1.0000000000001057,-3.101490446630053,4320.0,3000.0,0.04651310725549896,-0.10218524999999998,-1.0928025000000001,1.0,21.826,1,0.4213093906746344
v3_4h_donchian_55_20_atr4,ETHUSDT_SWAP_OKX.GLOBAL,15,5,10,1,-0.12402000000000052,-0.17106141000000055,0.04644141,0.0006000000000000001,0.047041410000000033,0.4666666666666667,0.9361472397426933,0.35827664000000004,-0.3348747362500001,-0.011404094000000036,-0.05147855499999997,1.1585602400000425,0.023167461195824274,-0.14764999185540345,-0.09868180847399438,14976.0,9360.0,-6.554007709862771,1.1211378,-0.5962440649999999,1.0,92.88282000000001,1,0.032805021598508476
v3_4h_donchian_55_20_atr4,LINKUSDT_SWAP_OKX.GLOBAL,19,8,11,1,0.018379999999999976,0.01440981999999998,0.00321018,0.00076,0.003970179999999997,0.3684210526315789,1.158505502140098,0.015045765000000001,-0.0075758779166666705,0.0007584115789473673,-0.001878675000000016,0.04023252499973751,0.0008046488795067392,0.35816345109072806,0.2393822214582112,9978.947368421053,9840.0,2.8534322427344727,0.041117445,-0.013712915,1.0,6.42036,1,0.05934000733502703
v3_4h_donchian_55_20_atr4,SOLUSDT_SWAP_OKX.GLOBAL,2,1,1,1,0.23360000000000014,0.22842500000000013,0.004375,0.0008,0.005175000000000013,1.0,,0.11421250000000006,,0.11421250000000006,0.11421250000000006,0.0,0.0,,4.128904000494315,15359.5,15359.5,0.671257743241764,0.15333205000000003,0.0750929500000001,1.0,8.75,1,0.940659992664973
v3_4h_donchian_55_with_risk_filters,BTCUSDT_SWAP_OKX.GLOBAL,1,1,0,1,0.7656300000000004,0.7542539150000003,0.011336085000000001,4e-05,0.011376085000000091,1.0,,0.7542539150000003,,0.7542539150000003,0.7542539150000003,0.0,0.0,,,26160.0,26160.0,1.0,0.7542539150000003,0.7542539150000003,1.0,22.67217,1,0.5785987449807684
v3_4h_donchian_55_with_risk_filters,DOGEUSDT_SWAP_OKX.GLOBAL,1,1,0,1,0.31,0.3058965,0.0021035,0.002,0.004103499999999982,1.0,,0.3058965,,0.3058965,0.3058965,0.0,0.0,,,20400.0,20400.0,1.0,0.3058965,0.3058965,1.0,4.207,1,0.23465749063299135
v3_4h_donchian_55_with_risk_filters,ETHUSDT_SWAP_OKX.GLOBAL,3,1,2,1,0.25509999999999994,0.24343678,0.01154322,0.00012000000000000002,0.011663219999999946,0.6666666666666666,1.5728740614530161,0.33418810750000005,-0.4249394350000001,0.08114559333333334,0.17955441499999994,0.424939434999942,0.008497957902583187,0.5728740614530944,0.3703745903336895,13200.0,9840.0,2.008003063464774,0.48882180000000014,-0.4249394350000001,1.0,23.08644,1,0.18674376438624035
v3_4h_donchian_55_with_risk_filters,LINKUSDT_SWAP_OKX.GLOBAL,8,4,4,1,-0.040200000000000014,-0.04192476000000002,0.0014047600000000001,0.00032,0.0017247600000000057,0.25,0.24929232974707602,0.006961112500000009,-0.00930783083333334,-0.005240595000000002,-0.0076797224999999945,0.041924760000256356,0.0008384952000051271,-0.9999999999938858,-1.8596501396555811,6990.0,5160.0,-0.25948103221103697,0.010878679999999998,-0.013712915,1.0,2.80952,1,0.031158965064713974
v3_4h_ema_50_200_atr4,BTCUSDT_SWAP_OKX.GLOBAL,44,28,16,1,-0.5127399999999965,-0.9857433999999968,0.4712434000000001,0.0017600000000000005,0.4730034000000003,0.25,0.7800445306650375,0.31780141272727297,-0.13580481636363634,-0.022403259090909018,-0.07997829499999985,2.652205264999793,0.05302643199464464,-0.37166934739497764,-0.5728855701332582,3878.181818181818,2040.0,-2.362019436295498,0.8558251299999994,-0.37017108999999915,1.0,942.4868,1,0.18861052123887748
v3_4h_ema_50_200_atr4,DOGEUSDT_SWAP_OKX.GLOBAL,54,19,35,1,0.9669999999999992,0.7425164999999989,0.1164835,0.10800000000000001,0.22448350000000028,0.35185185185185186,1.4785173830868634,0.12074835526315786,-0.04433435000000002,0.013750305555555535,-0.015659749999999983,0.8249944999997751,0.016495019473533254,0.9000260001735785,0.7896482061236852,3506.6481481481483,1440.0,1.7145831102743185,0.6635017499999997,-0.193395,1.0,232.967,1,0.3745701430190527
v3_4h_ema_50_200_atr4,ETHUSDT_SWAP_OKX.GLOBAL,58,26,32,1,1.3661799999999995,1.1959761199999999,0.16788388000000004,0.0023200000000000004,0.17020387999999964,0.27586206896551724,1.4934488264845018,0.22623028937499998,-0.05770734547619046,0.02062027793103448,-0.023105082500000037,0.854986645000281,0.017092737031767096,1.3988243290041178,0.7315242461491742,3657.9310344827586,840.0,1.9661667826611788,1.23119424,-0.17782337999999978,1.0,335.76776000000007,1,0.6033225474663154
v3_4h_ema_50_200_atr4,LINKUSDT_SWAP_OKX.GLOBAL,50,21,29,1,0.05469999999999979,0.043823679999999796,0.00887632,0.002,0.010876319999999995,0.3,1.3275741705013415,0.011840409666666664,-0.0038223561428571474,0.0008764735999999959,-0.0019763799999999894,0.033599184999729914,0.0006719824199420064,1.304307827715228,0.60697041034728,4252.78,2040.0,2.374759034385074,0.04076497000000002,-0.008217530000000018,1.0,17.75264,1,0.022107309514631864
v3_4h_ema_50_200_atr4,SOLUSDT_SWAP_OKX.GLOBAL,58,30,28,1,-2.135900000000001,-2.2582839500000005,0.09918395,0.023200000000000005,0.12238394999999969,0.13793103448275862,0.24598705955283812,0.09209202500000002,-0.059900403000000005,-0.0389359301724138,-0.017913199999999976,2.5504870499999015,0.05100974099999803,-0.88543243142524,-2.572758119619116,2917.2241379310344,1440.0,-0.22321121309833516,0.31519810000000004,-0.4855319499999999,1.0,198.36789999999996,1,0.4320963375609643
v3_4h_vol_compression_donchian_breakout,BTCUSDT_SWAP_OKX.GLOBAL,12,7,5,1,-2.818319999999998,-2.939210109999998,0.12041011,0.00048,0.12089010999999994,0.08333333333333333,0.1853372794892129,0.6686757499999988,-0.3279896236363634,-0.24493417583333318,-0.29468832750000046,2.9392101100002037,0.058784202200004076,-0.9999999999999301,-2.904341733638888,4980.0,2880.0,-0.22750185423116934,0.6686757499999988,-0.5282300799999995,1.0,240.82021999999998,1,0.49319575601813354
v3_4h_vol_compression_donchian_breakout,DOGEUSDT_SWAP_OKX.GLOBAL,10,9,1,1,-0.9899999999999998,-1.0308974999999998,0.0208975,0.020000000000000004,0.04089750000000003,0.2,0.38066844594503263,0.3168174999999999,-0.20806656249999994,-0.10308974999999998,-0.13498700000000002,1.5302014999997482,0.030604029999994963,-0.6737004897722094,-1.3088387892398607,11328.0,9600.0,-0.43454126137661603,0.4479674999999999,-0.4712347499999998,1.0,41.794999999999995,1,0.17298330260904823
