feature,target,train_spearman,validation_spearman,oos_spearman,train_count,validation_count,oos_count,train_direction,validation_direction,oos_direction,available_split_count,direction_consistent,consistent_direction,min_abs_spearman,max_abs_spearman,stable_candidate,single_split_only
recent_return_15m,future_return_15m,-0.0561376846358135,-0.0952345981780469,-0.0266655405616431,5295,1807,1716,negative,negative,negative,3,True,negative,0.0266655405616431,0.0952345981780469,False,False
recent_return_15m,future_return_30m,-0.0609804578637917,-0.1234344958513717,-0.0719891024545719,5295,1807,1716,negative,negative,negative,3,True,negative,0.0609804578637917,0.1234344958513717,False,False
recent_return_15m,future_return_60m,-0.072327498613695,-0.1347135947586953,-0.1069324872340521,5295,1807,1716,negative,negative,negative,3,True,negative,0.072327498613695,0.1347135947586953,True,False
recent_return_15m,mae_atr,0.0016051194217834,0.0858301506489242,-0.0444023396409021,5295,1807,1716,positive,positive,negative,3,False,,0.0016051194217834,0.0858301506489242,False,False
recent_return_15m,mfe_atr,0.0663306968119693,0.0243609023853448,0.0338178786953614,5295,1807,1716,positive,positive,positive,3,True,positive,0.0243609023853448,0.0663306968119693,False,False
recent_return_30m,future_return_120m,-0.1048536502137659,-0.0947751653157741,-0.1040090059967396,5295,1807,1716,negative,negative,negative,3,True,negative,0.0947751653157741,0.1048536502137659,False,False
recent_return_30m,future_return_15m,-0.1129787967908833,-0.0994747423393975,-0.0397661437053848,5295,1807,1716,negative,negative,negative,3,True,negative,0.0397661437053848,0.1129787967908833,False,False
recent_return_30m,future_return_30m,-0.1284584326060194,-0.117771732897354,-0.0872716868884038,5295,1807,1716,negative,negative,negative,3,True,negative,0.0872716868884038,0.1284584326060194,False,False
recent_return_30m,future_return_60m,-0.1158234309777734,-0.0880637687022582,-0.1002266448637548,5295,1807,1716,negative,negative,negative,3,True,negative,0.0880637687022582,0.1158234309777734,True,False
recent_return_30m,mae_atr,0.073827446529373,0.061107466524803,-0.0129932227909281,5295,1807,1716,positive,positive,negative,3,False,,0.0129932227909281,0.073827446529373,False,False
recent_return_30m,mfe_atr,0.0235563978693525,0.0302912346573979,0.0321506295459995,5295,1807,1716,positive,positive,positive,3,True,positive,0.0235563978693525,0.0321506295459995,False,False
recent_return_5m,future_return_120m,-0.0580460109094655,-0.1531049451797091,-0.1330723929030168,5295,1807,1716,negative,negative,negative,3,True,negative,0.0580460109094655,0.1531049451797091,False,False
recent_return_5m,future_return_15m,-0.0332594888079269,-0.1245219361580185,-0.0545629514075498,5295,1807,1716,negative,negative,negative,3,True,negative,0.0332594888079269,0.1245219361580185,False,False
recent_return_5m,future_return_30m,-0.0540765218537826,-0.156188682322298,-0.1137396070768586,5295,1807,1716,negative,negative,negative,3,True,negative,0.0540765218537826,0.156188682322298,False,False
recent_return_5m,future_return_60m,-0.0598231360045304,-0.1589086474177812,-0.1444417691242805,5295,1807,1716,negative,negative,negative,3,True,negative,0.0598231360045304,0.1589086474177812,True,False
recent_return_5m,mae_atr,-0.0274229975324699,0.0778806688101042,-0.0189211249967032,5295,1807,1716,negative,positive,negative,3,False,,0.0189211249967032,0.0778806688101042,False,False
recent_return_5m,mfe_atr,0.08597173172817,0.0048152402893832,0.0094521597374869,5295,1807,1716,positive,positive,positive,3,True,positive,0.0048152402893832,0.08597173172817,False,False
recent_volatility_30m,future_return_120m,-0.1974865245524058,-0.2019518257181719,-0.286020653303408,5295,1807,1716,negative,negative,negative,3,True,negative,0.1974865245524058,0.286020653303408,False,False
recent_volatility_30m,future_return_15m,-0.2393391541179811,-0.2736799215334686,-0.2851321026833887,5295,1807,1716,negative,negative,negative,3,True,negative,0.2393391541179811,0.2851321026833887,False,False
recent_volatility_30m,future_return_30m,-0.2347977411504973,-0.2587193728726809,-0.3108132292055424,5295,1807,1716,negative,negative,negative,3,True,negative,0.2347977411504973,0.3108132292055424,False,False
recent_volatility_30m,future_return_60m,-0.2180636470502943,-0.2252336609438908,-0.2934168442898667,5295,1807,1716,negative,negative,negative,3,True,negative,0.2180636470502943,0.2934168442898667,True,False
recent_volatility_30m,mae_atr,0.0299796425576836,0.1627293778357025,0.0895779420745145,5295,1807,1716,positive,positive,positive,3,True,positive,0.0299796425576836,0.1627293778357025,False,False
recent_volatility_30m,mfe_atr,-0.1858157963398452,-0.141535435336436,-0.2330141161020497,5295,1807,1716,negative,negative,negative,3,True,negative,0.141535435336436,0.2330141161020497,False,False
rsi,future_return_120m,0.0203611425562138,0.0179931558780812,-0.0280675073562525,5295,1807,1716,positive,positive,negative,3,False,,0.0179931558780812,0.0280675073562525,False,False
rsi,future_return_15m,0.0168942101691109,0.007614784368831,-0.0131102313902743,5295,1807,1716,positive,positive,negative,3,False,,0.007614784368831,0.0168942101691109,False,False
rsi,future_return_30m,0.0121045360173974,0.0320097689950479,-0.0346634455833671,5295,1807,1716,positive,positive,negative,3,False,,0.0121045360173974,0.0346634455833671,False,False
rsi,future_return_60m,0.0190114851823088,0.02241859662988,-0.0416152423521707,5295,1807,1716,positive,positive,negative,3,False,,0.0190114851823088,0.0416152423521707,False,False
rsi,mae_atr,-0.0181780218745844,-0.0006463107629896,0.0766771689488699,5295,1807,1716,negative,negative,positive,3,False,,0.0006463107629896,0.0766771689488699,False,False
rsi,mfe_atr,-0.013730421525366,-0.0027352425080777,-0.0443941815240185,5295,1807,1716,negative,negative,negative,3,True,negative,0.0027352425080777,0.0443941815240185,False,False
upper_wick_ratio,future_return_120m,0.0457911173143693,0.0291016284894407,0.0178398809968772,5286,1804,1713,positive,positive,positive,3,True,positive,0.0178398809968772,0.0457911173143693,False,False
upper_wick_ratio,future_return_15m,0.0545158188343514,0.0348663037581468,-0.0446741301988146,5286,1804,1713,positive,positive,negative,3,False,,0.0348663037581468,0.0545158188343514,False,False
upper_wick_ratio,future_return_30m,0.0576693204687378,0.031065564169874,-0.0347064232627613,5286,1804,1713,positive,positive,negative,3,False,,0.031065564169874,0.0576693204687378,False,False
upper_wick_ratio,future_return_60m,0.0496252454203451,0.0236095322708376,-0.0189895822946735,5286,1804,1713,positive,positive,negative,3,False,,0.0189895822946735,0.0496252454203451,False,False
upper_wick_ratio,mae_atr,-0.0567547519407487,-0.005426104026706,0.0018011393065657,5286,1804,1713,negative,negative,positive,3,False,,0.0018011393065657,0.0567547519407487,False,False
upper_wick_ratio,mfe_atr,0.0595978322306247,-0.0334192060676194,-0.0629366032280535,5286,1804,1713,positive,negative,negative,3,False,,0.0334192060676194,0.0629366032280535,False,False
volume_zscore_30m,future_return_120m,-0.0725989804216097,-0.0572390371116886,-0.0138595812802128,5295,1807,1716,negative,negative,negative,3,True,negative,0.0138595812802128,0.0725989804216097,False,False
volume_zscore_30m,future_return_15m,-0.0663710287497714,-0.0664147410335659,-0.0689829444021698,5295,1807,1716,negative,negative,negative,3,True,negative,0.0663710287497714,0.0689829444021698,False,False
volume_zscore_30m,future_return_30m,-0.0888663757914452,-0.0633417294240017,-0.0641903353898079,5295,1807,1716,negative,negative,negative,3,True,negative,0.0633417294240017,0.0888663757914452,False,False
volume_zscore_30m,future_return_60m,-0.0892093831380319,-0.0737163454104945,-0.0556095895594071,5295,1807,1716,negative,negative,negative,3,True,negative,0.0556095895594071,0.0892093831380319,True,False
volume_zscore_30m,mae_atr,0.0817561604311128,0.0604180802020284,0.0539980232945392,5295,1807,1716,positive,positive,positive,3,True,positive,0.0539980232945392,0.0817561604311128,False,False
volume_zscore_30m,mfe_atr,0.0535799892952843,0.0377015876834744,0.0408011344632964,5295,1807,1716,positive,positive,positive,3,True,positive,0.0377015876834744,0.0535799892952843,False,False
