group,event_group,hold,split,event_count,trade_count,early_trend_rate,early_uptrend_rate,early_downtrend_rate,nontrend_rate,direction_match_rate,future_2atr_hit_rate,future_3atr_hit_rate,avg_forward_return_3d,no_cost_pnl,cost_aware_pnl,funding_pnl,funding_adjusted_pnl
C,top30_score_events,hold_4h,validation_ext,2388,2388,0.3371021775544389,0.18299832495812396,0.1541038525963149,0.020100502512562814,0.453416149068323,0.3500837520938023,0.22445561139028475,-0.0016599643337111211,-165.68423913076845,-4941.684239130769,-48.6615621430837,-4990.345801273852
C,top30_score_events,hold_8h,validation_ext,2388,2388,0.3371021775544389,0.18299832495812396,0.1541038525963149,0.020100502512562814,0.453416149068323,0.3500837520938023,0.22445561139028475,-0.0016599643337111211,-1623.328500399304,-6399.328500399304,-52.3898538565866,-6451.7183542558905
C,top30_score_events,hold_1d,validation_ext,2388,2388,0.3371021775544389,0.18299832495812396,0.1541038525963149,0.020100502512562814,0.453416149068323,0.3500837520938023,0.22445561139028475,-0.0016599643337111211,-2686.0923702157365,-7462.092370215735,-53.3590613114805,-7515.451431527216
C,top30_score_events,hold_3d,validation_ext,2388,2388,0.3371021775544389,0.18299832495812396,0.1541038525963149,0.020100502512562814,0.453416149068323,0.3500837520938023,0.22445561139028475,-0.0016599643337111211,-3920.293591453167,-8696.293591453166,-93.32011621215531,-8789.613707665321
D,random_score_matched_control,hold_4h,oos_ext,1461,1461,0.18822724161533197,0.07529089664613278,0.11293634496919917,0.008213552361396304,0.4509090909090909,0.40383299110198495,0.2532511978097194,0.008316251867295732,1518.0117502646317,-1403.9882497353683,-46.633801636389805,-1450.6220513717583
D,random_score_matched_control,hold_8h,oos_ext,1461,1461,0.18822724161533197,0.07529089664613278,0.11293634496919917,0.008213552361396304,0.4509090909090909,0.40383299110198495,0.2532511978097194,0.008316251867295732,1172.6866647505396,-1749.3133352494604,-56.47065306446531,-1805.7839883139254
D,random_score_matched_control,hold_1d,oos_ext,1461,1461,0.18822724161533197,0.07529089664613278,0.11293634496919917,0.008213552361396304,0.4509090909090909,0.40383299110198495,0.2532511978097194,0.008316251867295732,4455.441832206625,1533.4418322066235,-101.081670258558,1432.360161948066
D,random_score_matched_control,hold_3d,oos_ext,1461,1461,0.18822724161533197,0.07529089664613278,0.11293634496919917,0.008213552361396304,0.4509090909090909,0.40383299110198495,0.2532511978097194,0.008316251867295732,12080.867273898399,9158.867273898399,-218.4637864123971,8940.403487486003
D,random_score_matched_control,hold_4h,train_ext,2171,2171,0.24274527867342238,0.117918010133579,0.12482726853984338,0.006448641179180101,0.476280834914611,0.4458894565722248,0.2884347422201579,0.009391368927024624,2518.985665446782,-1823.0143345532176,-96.41314401831319,-1919.4274785715306
D,random_score_matched_control,hold_8h,train_ext,2171,2171,0.24274527867342238,0.117918010133579,0.12482726853984338,0.006448641179180101,0.476280834914611,0.4458894565722248,0.2884347422201579,0.009391368927024624,4157.365607566257,-184.6343924337432,-117.3607767053409,-301.9951691390836
D,random_score_matched_control,hold_1d,train_ext,2171,2171,0.24274527867342238,0.117918010133579,0.12482726853984338,0.006448641179180101,0.476280834914611,0.4458894565722248,0.2884347422201579,0.009391368927024624,9657.348130595332,5315.348130595333,-218.0494254751122,5097.298705120221
D,random_score_matched_control,hold_3d,train_ext,2171,2171,0.24274527867342238,0.117918010133579,0.12482726853984338,0.006448641179180101,0.476280834914611,0.4458894565722248,0.2884347422201579,0.009391368927024624,19044.444305556783,14702.44430555678,-689.0898329163214,14013.354472640458
D,random_score_matched_control,hold_4h,validation_ext,1587,1587,0.26212980466288593,0.15500945179584122,0.10712035286704474,0.013232514177693762,0.4230769230769231,0.426591052299937,0.3125393824826717,0.0029464744157760145,79.86811839633475,-3094.1318816036646,-70.7646276054612,-3164.8965092091257
D,random_score_matched_control,hold_8h,validation_ext,1587,1587,0.26212980466288593,0.15500945179584122,0.10712035286704474,0.013232514177693762,0.4230769230769231,0.426591052299937,0.3125393824826717,0.0029464744157760145,1567.5647561569494,-1606.4352438430503,-88.49704832431229,-1694.9322921673624
D,random_score_matched_control,hold_1d,validation_ext,1587,1587,0.26212980466288593,0.15500945179584122,0.10712035286704474,0.013232514177693762,0.4230769230769231,0.426591052299937,0.3125393824826717,0.0029464744157760145,4871.671906642149,1697.6719066421497,-154.4507778599054,1543.221128782245
D,random_score_matched_control,hold_3d,validation_ext,1587,1587,0.26212980466288593,0.15500945179584122,0.10712035286704474,0.013232514177693762,0.4230769230769231,0.426591052299937,0.3125393824826717,0.0029464744157760145,4680.385282278006,1506.3852822780068,-369.1060911570213,1137.279191120986
E,reverse_direction_test,hold_4h,oos_ext,1461,1461,0.2587268993839836,0.08281998631074607,0.1759069130732375,0.018480492813141684,0.5423280423280423,0.34428473648186175,0.19575633127994524,0.006251234601127414,-630.8769529207475,-3552.876952920748,8.105087742897199,-3544.7718651778496
E,reverse_direction_test,hold_8h,oos_ext,1461,1461,0.2587268993839836,0.08281998631074607,0.1759069130732375,0.018480492813141684,0.5423280423280423,0.34428473648186175,0.19575633127994524,0.006251234601127414,-1192.8478122234546,-4114.847812223456,7.104532605297699,-4107.743279618157
E,reverse_direction_test,hold_1d,oos_ext,1461,1461,0.2587268993839836,0.08281998631074607,0.1759069130732375,0.018480492813141684,0.5423280423280423,0.34428473648186175,0.19575633127994524,0.006251234601127414,-3982.4361125156247,-6904.436112515626,18.612442280539504,-6885.823670235086
E,reverse_direction_test,hold_3d,oos_ext,1461,1461,0.2587268993839836,0.08281998631074607,0.1759069130732375,0.018480492813141684,0.5423280423280423,0.34428473648186175,0.19575633127994524,0.006251234601127414,-9125.574079848435,-12047.574079848433,43.00299851386999,-12004.571081334565
E,reverse_direction_test,hold_4h,train_ext,2171,2171,0.2551819438046983,0.08705665591893137,0.16812528788576692,0.007369875633348687,0.463898916967509,0.3597420543528328,0.21510824504836482,-0.006173538545689157,1385.067760307572,-2956.9322396924285,-11.437734392549398,-2968.3699740849765
E,reverse_direction_test,hold_8h,train_ext,2171,2171,0.2551819438046983,0.08705665591893137,0.16812528788576692,0.007369875633348687,0.463898916967509,0.3597420543528328,0.21510824504836482,-0.006173538545689157,789.8842443682026,-3552.1157556317967,-19.95284357788659,-3572.068599209683
E,reverse_direction_test,hold_1d,train_ext,2171,2171,0.2551819438046983,0.08705665591893137,0.16812528788576692,0.007369875633348687,0.463898916967509,0.3597420543528328,0.21510824504836482,-0.006173538545689157,1488.853233404839,-2853.146766595163,-50.295902708634586,-2903.4426693037985
E,reverse_direction_test,hold_3d,train_ext,2171,2171,0.2551819438046983,0.08705665591893137,0.16812528788576692,0.007369875633348687,0.463898916967509,0.3597420543528328,0.21510824504836482,-0.006173538545689157,13640.314116522137,9298.314116522139,-123.10812553430472,9175.205990987837
E,reverse_direction_test,hold_4h,validation_ext,1587,1587,0.3560176433522369,0.18210459987397606,0.17391304347826086,0.026465028355387523,0.46194690265486726,0.3320730938878387,0.20793950850661624,-0.0029147104391689526,1090.5412789439472,-2083.458721056053,16.789058324709004,-2066.669662731343
E,reverse_direction_test,hold_8h,validation_ext,1587,1587,0.3560176433522369,0.18210459987397606,0.17391304347826086,0.026465028355387523,0.46194690265486726,0.3320730938878387,0.20793950850661624,-0.0029147104391689526,2231.0794376435933,-942.9205623564067,16.912233182520996,-926.0083291738852
E,reverse_direction_test,hold_1d,validation_ext,1587,1587,0.3560176433522369,0.18210459987397606,0.17391304347826086,0.026465028355387523,0.46194690265486726,0.3320730938878387,0.20793950850661624,-0.0029147104391689526,4017.4132493293073,843.4132493293073,3.863871847971795,847.2771211772797
E,reverse_direction_test,hold_3d,validation_ext,1587,1587,0.3560176433522369,0.18210459987397606,0.17391304347826086,0.026465028355387523,0.46194690265486726,0.3320730938878387,0.20793950850661624,-0.0029147104391689526,4588.015825495634,1414.0158254956348,-15.752081069391096,1398.2637444262432
