group,event_group,hold,split,timeframe,trade_count,no_cost_pnl,cost_aware_pnl,funding_pnl,funding_adjusted_pnl,avg_gross_return,win_rate
A,top10_score_events,hold_4h,oos_ext,4h,626,129.76773320734196,-1122.2322667926578,2.6240521554663,-1119.6082146371916,0.0002072966984142844,0.4185303514376997
A,top10_score_events,hold_4h,train_ext,1d,125,423.6115857199029,173.61158571990285,14.5963927865229,188.20797850642586,0.003388892685759223,0.464
A,top10_score_events,hold_4h,train_ext,4h,961,-135.5525952256723,-2057.5525952256726,14.771212582820398,-2042.7813826428517,-0.00014105368910059555,0.41103017689906346
A,top10_score_events,hold_4h,validation_ext,1d,74,774.0136824637607,626.0136824637607,-9.768212564428298,616.2454698993322,0.010459644357618387,0.5675675675675675
A,top10_score_events,hold_4h,validation_ext,4h,725,-1860.7428056842205,-3310.742805684221,1.0769295995968995,-3309.665876084624,-0.0025665418009437526,0.4096551724137931
A,top10_score_events,hold_8h,oos_ext,1d,134,-415.2829255185254,-683.2829255185254,9.8460933141256,-673.4368322044002,-0.0030991263098397418,0.4626865671641791
A,top10_score_events,hold_8h,oos_ext,4h,626,708.9207449098797,-543.0792550901202,4.6982431124277,-538.3810119776928,0.0011324612538496483,0.4680511182108626
A,top10_score_events,hold_8h,train_ext,1d,125,423.6115857199029,173.61158571990285,14.5963927865229,188.20797850642586,0.003388892685759223,0.464
A,top10_score_events,hold_8h,train_ext,4h,961,338.92884027584944,-1583.0711597241504,27.286539911132603,-1555.7846198130178,0.00035268349664500476,0.43496357960457854
A,top10_score_events,hold_8h,validation_ext,1d,74,774.0136824637607,626.0136824637607,-9.768212564428298,616.2454698993322,0.010459644357618387,0.5675675675675675
A,top10_score_events,hold_8h,validation_ext,4h,725,-2524.032064310147,-3974.032064310147,0.9434870242567994,-3973.088577285889,-0.003481423536979512,0.43310344827586206
B,top20_score_events,hold_1d,oos_ext,1d,243,435.54481194127584,-50.45518805872416,-6.822943784026799,-57.278131842751236,0.0017923654812398173,0.5020576131687243
B,top20_score_events,hold_1d,oos_ext,4h,1218,3546.891300574349,1110.8913005743493,-11.789498496512701,1099.1018020778367,0.0029120618231316497,0.4876847290640394
B,top20_score_events,hold_1d,train_ext,1d,266,514.2604976313964,-17.739502368603382,7.800237328249503,-9.93926504035386,0.0019333101414714161,0.4548872180451128
