group,timeframe,split,symbol,trade_count,long_count,short_count,no_cost_pnl,cost_aware_pnl,funding_pnl,funding_adjusted_pnl,avg_gross_return,win_rate,mfe_mean,mae_mean,mfe_mae_ratio_mean,max_drawdown,max_drawdown_pct
B,15m,validation,SOLUSDT_SWAP_OKX.GLOBAL,123,62,61,-5101.2560798308305,-5347.2560798308305,-0.3423748386275,-5347.598454669457,-0.0414736266652913,0.25203252032520324,0.07350228608082243,-0.08272940193169769,2.6456315680592066,5351.795040044621,5.329429633586371
B,1h,oos,BTCUSDT_SWAP_OKX.GLOBAL,47,22,25,-138.33809873398658,-232.33809873398656,-0.6362324206274002,-232.974331154614,-0.002943363802850779,0.3829787234042553,0.016017935693813906,-0.018110402319321397,2.6533396563915264,306.8997048530192,0.29172744480177215
B,1h,oos,ETHUSDT_SWAP_OKX.GLOBAL,57,34,23,-842.0849244321848,-956.0849244321848,-2.4248328882732,-958.509757320458,-0.014773419726880434,0.3508771929824561,0.03328568323708828,-0.044140100919761255,4.67940481196205,1031.1668952906377,0.9705874151694718
B,1h,oos,SOLUSDT_SWAP_OKX.GLOBAL,59,29,30,-831.9902489945392,-949.9902489945391,0.1932362743137006,-949.7970127202256,-0.014101529643975241,0.3559322033898305,0.035197231054741,-0.04539017569666344,2.706185242935133,1040.7231350587376,0.9539813134438845
B,1h,train,BTCUSDT_SWAP_OKX.GLOBAL,152,83,69,112.92202412078052,-191.07797587921942,1.1579065567737996,-189.92006932244564,0.0007429080534261879,0.42105263157894735,0.019945692491906447,-0.014418090275056621,33.943005625068814,347.764975619747,0.3189071725210102
B,1h,train,ETHUSDT_SWAP_OKX.GLOBAL,168,80,88,-249.14889619632635,-585.1488961963264,3.8353852285552,-581.3135109677712,-0.0014830291440257523,0.36904761904761907,0.02187664355978648,-0.017147347763728542,9.132362331774313,774.2828294138818,0.6966767561166801
B,1h,train,SOLUSDT_SWAP_OKX.GLOBAL,168,78,90,-2275.3818608150677,-2611.3818608150677,3.6259834733896996,-2607.7558773416777,-0.013543939647708735,0.42857142857142855,0.039176040915984575,-0.04104232180246853,27.76925578290929,2788.882424183129,2.3612054369966637
B,1h,validation,BTCUSDT_SWAP_OKX.GLOBAL,28,11,17,18.48560304481062,-37.51439695518937,0.3368693055524,-37.17752764963698,0.0006602001087432363,0.5,0.01612905405729225,-0.01431323432835442,3.4983507466072363,73.88700091829435,0.07127069137830377
B,1h,validation,ETHUSDT_SWAP_OKX.GLOBAL,34,20,14,77.32707896493729,9.327078964937282,-0.10695812926260007,9.22012083567471,0.0022743258519099204,0.4411764705882353,0.03755305005913245,-0.025353257031405757,19.83684103097208,180.48797082455155,0.16453123245868248
B,1h,validation,SOLUSDT_SWAP_OKX.GLOBAL,16,9,7,-1538.9321275962016,-1570.9321275962016,0.1749755445085999,-1570.757152051693,-0.09618325797476258,0.5,0.06477299253647256,-0.11624625577258867,3.169771032428496,1696.6750829314683,1.5069260701849836
