filter_name,policy_name,train_no_cost_net_pnl,validation_no_cost_net_pnl,oos_no_cost_net_pnl,oos_cost_net_pnl,oos_funding_adjusted_net_pnl,train_trade_count,validation_trade_count,oos_trade_count,oos_largest_symbol_pnl_share,oos_top_5pct_trade_pnl_contribution,old_stable_candidate_like,strict_stable_candidate_like,rejected_reasons
exclude_hostile_chop_overheated,v3_4h_donchian_55_with_risk_filters,3.278960000000001,-0.31977999999999973,1.2399699999999994,1.1679083449999994,1.0556702102893616,26,24,19,1.0,1.000314172770125,False,False,validation_no_cost_net_pnl_not_positive;oos_largest_symbol_pnl_share_over_0p7;oos_top_5pct_trade_pnl_contribution_over_0p8
keep_trend_friendly_exclude_funding_overheated,v3_4h_donchian_55_with_risk_filters,-0.18814999999999998,-0.01115,0.0,0.0,,3,1,0,,,False,False,train_no_cost_net_pnl_not_positive;validation_no_cost_net_pnl_not_positive;oos_no_cost_net_pnl_not_positive;train_ext_trade_count_under_10;validation_ext_trade_count_under_10;oos_ext_trade_count_under_10;oos_largest_symbol_pnl_share_over_0p7;oos_top_5pct_trade_pnl_contribution_over_0p8;oos_not_enough_active_symbols
exclude_funding_overheated,v3_4h_donchian_55_with_risk_filters,3.2548300000000014,-0.31977999999999973,1.2399699999999994,1.1679083449999994,1.0556702102893616,29,24,19,1.0,1.000314172770125,False,False,validation_no_cost_net_pnl_not_positive;oos_largest_symbol_pnl_share_over_0p7;oos_top_5pct_trade_pnl_contribution_over_0p8
original_all,v3_4h_ema_50_200_atr4,1.5950600000000152,2.9426400000000106,-5.07042999999999,-6.26843713499999,-6.668188086989523,491,312,313,0.43429904876919495,-1.328421357774375,False,False,oos_no_cost_net_pnl_not_positive;oos_cost_aware_net_pnl_negative;oos_funding_adjusted_net_pnl_negative
keep_trend_friendly,v3_4h_ema_50_200_atr4,-0.30295999999999895,0.05777,0.0,0.0,,25,2,0,,,False,False,train_no_cost_net_pnl_not_positive;oos_no_cost_net_pnl_not_positive;validation_ext_trade_count_under_10;oos_ext_trade_count_under_10;oos_largest_symbol_pnl_share_over_0p7;oos_top_5pct_trade_pnl_contribution_over_0p8;oos_not_enough_active_symbols
exclude_hostile_chop_overheated,v3_4h_ema_50_200_atr4,2.4373600000000164,2.5784100000000096,-5.06930999999999,-6.267185294999991,-6.666882065785312,416,281,312,0.4343857979070647,-1.3286867035259746,False,False,oos_no_cost_net_pnl_not_positive;oos_cost_aware_net_pnl_negative;oos_funding_adjusted_net_pnl_negative
keep_trend_friendly_exclude_funding_overheated,v3_4h_ema_50_200_atr4,-0.30295999999999895,0.05777,0.0,0.0,,25,2,0,,,False,False,train_no_cost_net_pnl_not_positive;oos_no_cost_net_pnl_not_positive;validation_ext_trade_count_under_10;oos_ext_trade_count_under_10;oos_largest_symbol_pnl_share_over_0p7;oos_top_5pct_trade_pnl_contribution_over_0p8;oos_not_enough_active_symbols
exclude_funding_overheated,v3_4h_ema_50_200_atr4,1.468680000000015,2.9769900000000096,-5.07042999999999,-6.26843713499999,-6.668188086989523,483,309,313,0.43429904876919495,-1.328421357774375,False,False,oos_no_cost_net_pnl_not_positive;oos_cost_aware_net_pnl_negative;oos_funding_adjusted_net_pnl_negative
original_all,v3_4h_vol_compression_donchian_breakout,-1.1183899999999976,-5.462639999999996,-3.29971,-3.5898067449999997,-3.8348447762539952,176,94,79,0.9072843856855782,-0.5469331943104364,False,False,train_no_cost_net_pnl_not_positive;validation_no_cost_net_pnl_not_positive;oos_no_cost_net_pnl_not_positive;oos_cost_aware_net_pnl_negative;oos_funding_adjusted_net_pnl_negative;oos_largest_symbol_pnl_share_over_0p7
keep_trend_friendly,v3_4h_vol_compression_donchian_breakout,0.3179900000000001,0.0,0.0,0.0,,12,0,0,,,False,False,validation_no_cost_net_pnl_not_positive;oos_no_cost_net_pnl_not_positive;validation_ext_trade_count_under_10;oos_ext_trade_count_under_10;oos_largest_symbol_pnl_share_over_0p7;oos_top_5pct_trade_pnl_contribution_over_0p8;oos_not_enough_active_symbols
exclude_hostile_chop_overheated,v3_4h_vol_compression_donchian_breakout,0.9607100000000031,-4.563669999999997,-3.29971,-3.5898067449999997,-3.8348447762539952,157,87,79,0.9072843856855782,-0.5469331943104364,False,False,validation_no_cost_net_pnl_not_positive;oos_no_cost_net_pnl_not_positive;oos_cost_aware_net_pnl_negative;oos_funding_adjusted_net_pnl_negative;oos_largest_symbol_pnl_share_over_0p7
keep_trend_friendly_exclude_funding_overheated,v3_4h_vol_compression_donchian_breakout,0.3179900000000001,0.0,0.0,0.0,,12,0,0,,,False,False,validation_no_cost_net_pnl_not_positive;oos_no_cost_net_pnl_not_positive;validation_ext_trade_count_under_10;oos_ext_trade_count_under_10;oos_largest_symbol_pnl_share_over_0p7;oos_top_5pct_trade_pnl_contribution_over_0p8;oos_not_enough_active_symbols
exclude_funding_overheated,v3_4h_vol_compression_donchian_breakout,-0.23357999999999812,-5.462639999999996,-3.29971,-3.5898067449999997,-3.8348447762539952,172,94,79,0.9072843856855782,-0.5469331943104364,False,False,train_no_cost_net_pnl_not_positive;validation_no_cost_net_pnl_not_positive;oos_no_cost_net_pnl_not_positive;oos_cost_aware_net_pnl_negative;oos_funding_adjusted_net_pnl_negative;oos_largest_symbol_pnl_share_over_0p7
original_all,v3_ensemble_core,1.2276600000000144,-0.568889999999989,-5.184369999999992,-6.3959871349999915,-6.853084781268253,502,332,320,0.5283533907545922,-1.3317262918478354,False,False,validation_no_cost_net_pnl_not_positive;oos_no_cost_net_pnl_not_positive;oos_cost_aware_net_pnl_negative;oos_funding_adjusted_net_pnl_negative
keep_trend_friendly,v3_ensemble_core,-0.6194299999999984,0.05777,0.0,0.0,,28,2,0,,,False,False,train_no_cost_net_pnl_not_positive;oos_no_cost_net_pnl_not_positive;validation_ext_trade_count_under_10;oos_ext_trade_count_under_10;oos_largest_symbol_pnl_share_over_0p7;oos_top_5pct_trade_pnl_contribution_over_0p8;oos_not_enough_active_symbols
exclude_hostile_chop_overheated,v3_ensemble_core,3.356010000000016,-0.839339999999988,-5.183249999999992,-6.394735294999991,-6.851778760064041,427,298,319,0.5284568217612203,-1.331986991965085,False,False,validation_no_cost_net_pnl_not_positive;oos_no_cost_net_pnl_not_positive;oos_cost_aware_net_pnl_negative;oos_funding_adjusted_net_pnl_negative
keep_trend_friendly_exclude_funding_overheated,v3_ensemble_core,-0.6194299999999984,0.05777,0.0,0.0,,28,2,0,,,False,False,train_no_cost_net_pnl_not_positive;oos_no_cost_net_pnl_not_positive;validation_ext_trade_count_under_10;oos_ext_trade_count_under_10;oos_largest_symbol_pnl_share_over_0p7;oos_top_5pct_trade_pnl_contribution_over_0p8;oos_not_enough_active_symbols
exclude_funding_overheated,v3_ensemble_core,1.104710000000015,-0.5345399999999885,-5.184369999999992,-6.3959871349999915,-6.853084781268253,493,329,320,0.5283533907545922,-1.3317262918478354,False,False,validation_no_cost_net_pnl_not_positive;oos_no_cost_net_pnl_not_positive;oos_cost_aware_net_pnl_negative;oos_funding_adjusted_net_pnl_negative
