filter_name,policy_name,split,original_trade_count,filtered_trade_count,removed_trade_count,removed_trade_pct,original_net_pnl,filtered_net_pnl,pnl_delta,did_filter_change_trade_set
original_all,v3_4h_donchian_100_30_atr5,train_ext,71,71,0,0.0,0.7840235650000006,0.7840235650000006,0.0,False
original_all,v3_4h_donchian_100_30_atr5,validation_ext,57,57,0,0.0,-4.661865815,-4.661865815,0.0,False
original_all,v3_4h_donchian_100_30_atr5,oos_ext,42,42,0,0.0,-5.964576719999998,-5.964576719999998,0.0,False
keep_trend_friendly,v3_4h_donchian_100_30_atr5,train_ext,71,10,61,0.8591549295774648,0.7840235650000006,-0.7919831100000005,-1.5760066750000012,True
keep_trend_friendly,v3_4h_donchian_100_30_atr5,validation_ext,57,1,56,0.9824561403508771,-4.661865815,-0.0125781199999999,4.649287695,True
keep_trend_friendly,v3_4h_donchian_100_30_atr5,oos_ext,42,0,42,1.0,-5.964576719999998,0.0,5.964576719999998,True
exclude_hostile_chop_overheated,v3_4h_donchian_100_30_atr5,train_ext,71,63,8,0.11267605633802817,0.7840235650000006,2.0375403550000004,1.25351679,True
exclude_hostile_chop_overheated,v3_4h_donchian_100_30_atr5,validation_ext,57,52,5,0.08771929824561403,-4.661865815,-4.631616675000002,0.030249139999997787,True
exclude_hostile_chop_overheated,v3_4h_donchian_100_30_atr5,oos_ext,42,42,0,0.0,-5.964576719999998,-5.964576719999998,0.0,False
keep_trend_friendly_exclude_funding_overheated,v3_4h_donchian_100_30_atr5,train_ext,71,10,61,0.8591549295774648,0.7840235650000006,-0.7919831100000005,-1.5760066750000012,True
keep_trend_friendly_exclude_funding_overheated,v3_4h_donchian_100_30_atr5,validation_ext,57,1,56,0.9824561403508771,-4.661865815,-0.0125781199999999,4.649287695,True
keep_trend_friendly_exclude_funding_overheated,v3_4h_donchian_100_30_atr5,oos_ext,42,0,42,1.0,-5.964576719999998,0.0,5.964576719999998,True
exclude_funding_overheated,v3_4h_donchian_100_30_atr5,train_ext,71,70,1,0.014084507042253521,0.7840235650000006,0.8248645649999998,0.04084099999999924,True
exclude_funding_overheated,v3_4h_donchian_100_30_atr5,validation_ext,57,57,0,0.0,-4.661865815,-4.661865815,0.0,False
exclude_funding_overheated,v3_4h_donchian_100_30_atr5,oos_ext,42,42,0,0.0,-5.964576719999998,-5.964576719999998,0.0,False
