group,event_group,hold,split,trade_count,total_funding_adjusted_pnl,largest_symbol_pnl_share,largest_symbol_pnl_symbol,largest_symbol_event_share,largest_symbol_event_symbol,top_5pct_trade_pnl_contribution,top_5pct_trade_pnl,top_5pct_trade_count,concentration_pass
D,random_score_matched_control,hold_3d,oos_ext,760,1865.4162871799942,0.45928983431164727,ETHUSDT_SWAP_OKX.GLOBAL,0.24078947368421053,SOLUSDT_SWAP_OKX.GLOBAL,3.3907266700402148,6325.116755668598,38,False
D,random_score_matched_control,hold_3d,train_ext,2171,14013.354472640458,0.28445420694603346,DOGEUSDT_SWAP_OKX.GLOBAL,0.2164900967296177,SOLUSDT_SWAP_OKX.GLOBAL,1.5050114521324534,21090.258964115426,109,False
D,random_score_matched_control,hold_3d,validation_ext,1397,4011.489664303238,0.564193596571596,DOGEUSDT_SWAP_OKX.GLOBAL,0.21689334287759485,SOLUSDT_SWAP_OKX.GLOBAL,4.320054726379202,17329.854884094533,70,False
D,random_score_matched_control,hold_4h,oos_ext,760,-1014.0373891769572,0.35764065345333107,SOLUSDT_SWAP_OKX.GLOBAL,0.24078947368421053,SOLUSDT_SWAP_OKX.GLOBAL,,2203.792481533194,38,True
D,random_score_matched_control,hold_4h,train_ext,2171,-1919.4274785715306,1.0,LINKUSDT_SWAP_OKX.GLOBAL,0.2164900967296177,SOLUSDT_SWAP_OKX.GLOBAL,,6795.330347745482,109,False
D,random_score_matched_control,hold_4h,validation_ext,1397,393.84529548679825,1.0,DOGEUSDT_SWAP_OKX.GLOBAL,0.21689334287759485,SOLUSDT_SWAP_OKX.GLOBAL,15.09697570276465,5945.8728566123955,70,False
D,random_score_matched_control,hold_8h,oos_ext,760,-560.8756846870119,1.0,ETHUSDT_SWAP_OKX.GLOBAL,0.24078947368421053,SOLUSDT_SWAP_OKX.GLOBAL,,2640.5403825288568,38,False
D,random_score_matched_control,hold_8h,train_ext,2171,-301.9951691390836,0.666236591060344,ETHUSDT_SWAP_OKX.GLOBAL,0.2164900967296177,SOLUSDT_SWAP_OKX.GLOBAL,,8590.069385896679,109,True
D,random_score_matched_control,hold_8h,validation_ext,1397,2383.4045211195203,0.7946797982206516,DOGEUSDT_SWAP_OKX.GLOBAL,0.21689334287759485,SOLUSDT_SWAP_OKX.GLOBAL,2.935866159600137,6997.356678192766,70,False
E,reverse_direction_test,hold_1d,oos_ext,760,-8678.910365833051,0.3966876083015126,DOGEUSDT_SWAP_OKX.GLOBAL,0.24078947368421053,BTCUSDT_SWAP_OKX.GLOBAL,,3261.1832713772887,38,True
E,reverse_direction_test,hold_1d,train_ext,2171,-27978.17989347918,0.3449348083934212,SOLUSDT_SWAP_OKX.GLOBAL,0.25564256103178257,BTCUSDT_SWAP_OKX.GLOBAL,,6061.498124417885,109,True
E,reverse_direction_test,hold_1d,validation_ext,1397,-18295.556510003487,0.312641113749808,DOGEUSDT_SWAP_OKX.GLOBAL,0.25697924123120974,BTCUSDT_SWAP_OKX.GLOBAL,,5180.501440249241,70,True
E,reverse_direction_test,hold_3d,oos_ext,760,-9636.94325374953,0.3618181487539957,DOGEUSDT_SWAP_OKX.GLOBAL,0.24078947368421053,BTCUSDT_SWAP_OKX.GLOBAL,,4633.15877774142,38,True
E,reverse_direction_test,hold_3d,train_ext,2171,-57028.37216080919,0.31410385458118967,SOLUSDT_SWAP_OKX.GLOBAL,0.25564256103178257,BTCUSDT_SWAP_OKX.GLOBAL,,9348.249724933117,109,True
E,reverse_direction_test,hold_3d,validation_ext,1397,-20196.270440948596,0.4225767245539327,DOGEUSDT_SWAP_OKX.GLOBAL,0.25697924123120974,BTCUSDT_SWAP_OKX.GLOBAL,,11222.382054708294,70,True
E,reverse_direction_test,hold_4h,oos_ext,760,-4521.669925640697,0.3048440424350033,ETHUSDT_SWAP_OKX.GLOBAL,0.24078947368421053,BTCUSDT_SWAP_OKX.GLOBAL,,1513.7370340971731,38,True
E,reverse_direction_test,hold_4h,train_ext,2171,-12999.744967946277,0.34113561309279505,SOLUSDT_SWAP_OKX.GLOBAL,0.25564256103178257,BTCUSDT_SWAP_OKX.GLOBAL,,3021.356532273778,109,True
E,reverse_direction_test,hold_4h,validation_ext,1397,-9382.343510760524,0.3279518502393253,DOGEUSDT_SWAP_OKX.GLOBAL,0.25697924123120974,BTCUSDT_SWAP_OKX.GLOBAL,,2751.1972630832065,70,True
E,reverse_direction_test,hold_8h,oos_ext,760,-5836.586942503011,0.29994683927851995,DOGEUSDT_SWAP_OKX.GLOBAL,0.24078947368421053,BTCUSDT_SWAP_OKX.GLOBAL,,1982.1995920061072,38,True
E,reverse_direction_test,hold_8h,train_ext,2171,-17636.41789902286,0.36183535498675773,SOLUSDT_SWAP_OKX.GLOBAL,0.25564256103178257,BTCUSDT_SWAP_OKX.GLOBAL,,3763.3074342203554,109,True
E,reverse_direction_test,hold_8h,validation_ext,1397,-13470.980130490141,0.349315092650149,DOGEUSDT_SWAP_OKX.GLOBAL,0.25697924123120974,BTCUSDT_SWAP_OKX.GLOBAL,,3417.791447974033,70,True
