group,event_group,hold,split,timeframe,trade_count,no_cost_pnl,cost_aware_pnl,funding_pnl,funding_adjusted_pnl,avg_gross_return,win_rate
B,top20_score_events,hold_4h,train_ext,1d,179,1581.8192014200613,1223.8192014200613,-55.455093338900895,1168.3641080811608,0.008836978778883025,0.5642458100558659
B,top20_score_events,hold_4h,train_ext,4h,1992,7198.117252092164,3214.1172520921637,-66.73639222704921,3147.380859865115,0.0036135126767530943,0.4357429718875502
B,top20_score_events,hold_4h,validation_ext,1d,118,955.213721527576,719.213721527576,-11.289905368449501,707.9238161591268,0.00809503153836929,0.4661016949152542
B,top20_score_events,hold_4h,validation_ext,4h,1279,5702.689637180296,3144.6896371802954,-58.26994257889871,3086.4196946013967,0.004458709645958011,0.48866301798279904
B,top20_score_events,hold_8h,oos_ext,1d,75,1540.1328986793083,1390.1328986793083,-14.044380391598702,1376.0885182877098,0.020535105315724115,0.6666666666666666
B,top20_score_events,hold_8h,oos_ext,4h,685,2837.7187487640776,1467.7187487640776,-47.2203245487768,1420.498424215301,0.004142655107684785,0.5094890510948905
B,top20_score_events,hold_8h,train_ext,1d,179,1581.8192014200613,1223.8192014200613,-55.455093338900895,1168.3641080811608,0.008836978778883025,0.5642458100558659
B,top20_score_events,hold_8h,train_ext,4h,1992,11882.997585267993,7898.997585267993,-114.94379432629121,7784.053790941703,0.00596536023356827,0.4819277108433735
B,top20_score_events,hold_8h,validation_ext,1d,118,955.213721527576,719.213721527576,-11.289905368449501,707.9238161591268,0.00809503153836929,0.4661016949152542
B,top20_score_events,hold_8h,validation_ext,4h,1279,9826.12466900811,7268.124669008111,-93.06835467709769,7175.056314331014,0.007682661977332377,0.524628616106333
C,top30_score_events,hold_1d,oos_ext,1d,141,1413.4361462473653,1131.4361462473655,-19.347453946036698,1112.0886923013286,0.010024369831541598,0.574468085106383
C,top30_score_events,hold_1d,oos_ext,4h,1065,8572.897502813963,6442.897502813963,-147.38787713764182,6295.509625676322,0.008049669016726727,0.5502347417840375
C,top30_score_events,hold_1d,train_ext,1d,315,3534.193810782616,2904.193810782616,-92.46788149902001,2811.7259292835956,0.011219662891373383,0.5746031746031746
C,top30_score_events,hold_1d,train_ext,4h,2941,31055.14513294603,25173.14513294603,-447.1413394052273,24726.003793540804,0.010559382908176141,0.5389323359401564
C,top30_score_events,hold_1d,validation_ext,1d,208,2155.773602626498,1739.773602626498,-24.847962703909598,1714.9256399225885,0.010364296166473549,0.4855769230769231
C,top30_score_events,hold_1d,validation_ext,4h,1904,22435.02555094366,18627.02555094366,-319.17678666121583,18307.848764282444,0.011783101654907384,0.5561974789915967
C,top30_score_events,hold_3d,oos_ext,1d,141,3609.833191154218,3327.833191154218,-45.5720218621705,3282.2611692920473,0.025601653837973175,0.6099290780141844
C,top30_score_events,hold_3d,oos_ext,4h,1065,10015.36567640247,7885.36567640247,-282.2791039452763,7603.086572457198,0.00940409922666899,0.536150234741784
C,top30_score_events,hold_3d,train_ext,1d,315,7994.69519691294,7364.69519691294,-250.2415044983281,7114.453692414612,0.025379984752104574,0.6
C,top30_score_events,hold_3d,train_ext,4h,2941,65592.85061838674,59710.85061838674,-1402.2813123572275,58308.56930602951,0.02230290738469457,0.5994559673580415
C,top30_score_events,hold_3d,validation_ext,1d,208,4623.034762300636,4207.034762300636,-61.877597831646106,4145.15716446899,0.0222261286649069,0.5673076923076923
C,top30_score_events,hold_3d,validation_ext,4h,1904,18760.43148195401,14952.431481954009,-781.1080434288815,14171.323438525127,0.009853167795143912,0.5441176470588235
C,top30_score_events,hold_4h,oos_ext,1d,141,1413.4361462473653,1131.4361462473655,-19.347453946036698,1112.0886923013286,0.010024369831541598,0.574468085106383
C,top30_score_events,hold_4h,oos_ext,4h,1065,2528.2603462023408,398.2603462023409,-48.890918076615804,349.3694281257248,0.0023739533767158133,0.4704225352112676
C,top30_score_events,hold_4h,train_ext,1d,315,3534.193810782616,2904.193810782616,-92.46788149902001,2811.7259292835956,0.011219662891373383,0.5746031746031746
C,top30_score_events,hold_4h,train_ext,4h,2941,8409.715421836647,2527.715421836647,-83.8365116998578,2443.8789101367884,0.0028594748119131746,0.4277456647398844
C,top30_score_events,hold_4h,validation_ext,1d,208,2155.773602626498,1739.773602626498,-24.847962703909598,1714.9256399225885,0.010364296166473549,0.4855769230769231
C,top30_score_events,hold_4h,validation_ext,4h,1904,6702.062512283432,2894.062512283432,-85.79467377763919,2808.2678385057934,0.0035199908152749116,0.47689075630252103
C,top30_score_events,hold_8h,oos_ext,1d,141,1413.4361462473653,1131.4361462473655,-19.347453946036698,1112.0886923013286,0.010024369831541598,0.574468085106383
C,top30_score_events,hold_8h,oos_ext,4h,1065,4689.567431966648,2559.5674319666477,-70.282400934965,2489.2850310316826,0.004403349701377134,0.49014084507042255
C,top30_score_events,hold_8h,train_ext,1d,315,3534.193810782616,2904.193810782616,-92.46788149902001,2811.7259292835956,0.011219662891373383,0.5746031746031746
C,top30_score_events,hold_8h,train_ext,4h,2941,14510.919778038633,8628.919778038635,-151.3265408077899,8477.593237230843,0.004934008765059039,0.46922815368922133
C,top30_score_events,hold_8h,validation_ext,1d,208,2155.773602626498,1739.773602626498,-24.847962703909598,1714.9256399225885,0.010364296166473549,0.4855769230769231
C,top30_score_events,hold_8h,validation_ext,4h,1904,12512.618616313484,8704.618616313484,-132.54391728544908,8572.074699028035,0.006571753474954561,0.5131302521008403
D,random_score_matched_control,hold_1d,oos_ext,1d,117,536.3147736194009,302.31477361940085,-7.387136815158298,294.9276368042425,0.004583886954011973,0.5384615384615384
D,random_score_matched_control,hold_1d,oos_ext,4h,643,2038.9651568172742,752.9651568172742,-38.346994302068396,714.6181625152057,0.0031710189064032253,0.49922239502332816
D,random_score_matched_control,hold_1d,train_ext,1d,298,1267.7375342962164,671.7375342962163,-52.7583095393856,618.9792247568307,0.004254152799651732,0.5201342281879194
D,random_score_matched_control,hold_1d,train_ext,4h,1873,8389.610596299117,4643.610596299116,-165.29111593572662,4478.31948036339,0.0044792368373193355,0.4847837693539776
D,random_score_matched_control,hold_1d,validation_ext,1d,175,1961.3855192259348,1611.3855192259348,-25.7577075023843,1585.6278117235506,0.011207917252719628,0.49714285714285716
D,random_score_matched_control,hold_1d,validation_ext,4h,1222,5409.265646584696,2965.2656465846962,-124.005864701702,2841.259781882993,0.004426567632229702,0.5057283142389526
D,random_score_matched_control,hold_3d,oos_ext,1d,117,1770.6746384384867,1536.6746384384867,-16.0157225334897,1520.6589159049965,0.015133971268705013,0.5641025641025641
D,random_score_matched_control,hold_3d,oos_ext,4h,643,1725.2768865071039,439.2768865071039,-94.5195152321058,344.7573712749979,0.0026831677861696786,0.49144634525660963
D,random_score_matched_control,hold_3d,train_ext,1d,298,3410.2194787263206,2814.2194787263206,-140.26734685311692,2673.952131873204,0.011443689525927248,0.5604026845637584
D,random_score_matched_control,hold_3d,train_ext,4h,1873,15634.224826830461,11888.22482683046,-548.8224860632046,11339.402340767256,0.008347156874976221,0.5339028296849974
D,random_score_matched_control,hold_3d,validation_ext,1d,175,2713.7999817268196,2363.799981726819,-58.55279811341019,2305.247183613409,0.015507428467010398,0.5657142857142857
D,random_score_matched_control,hold_3d,validation_ext,4h,1222,4435.964589434839,1991.9645894348391,-285.72210874501275,1706.2424806898262,0.003630085588735549,0.4967266775777414
D,random_score_matched_control,hold_4h,oos_ext,1d,117,536.3147736194009,302.31477361940085,-7.387136815158298,294.9276368042425,0.004583886954011973,0.5384615384615384
D,random_score_matched_control,hold_4h,oos_ext,4h,643,-13.296763982451154,-1299.296763982451,-9.6682619987486,-1308.9650259811995,-2.0679259692769913e-05,0.42457231726283046
