feature,split,bucket,sample_count,early_trend_count,early_trend_rate,early_uptrend_count,early_downtrend_count,nontrend_count,nontrend_rate,direction_match_rate,avg_forward_return_4h,avg_forward_return_1d,avg_forward_return_3d,future_2atr_hit_rate,future_3atr_hit_rate,monotonicity_score,feature_predictiveness_score,train_validation_consistency,oos_consistency,train_bucket_boundary_low,train_bucket_boundary_high
distance_from_60d_high,train_ext,q40-q60,2101,509,0.24226558781532603,305,204,0,0.0,0.46954813359528486,0.0008070668286254848,0.002040144683440511,0.006332638570112526,0.42162934730824203,0.2863268222963316,0.6081846665056154,0.1319047619047619,True,False,-0.19097972401225294,-0.1247819409154689
distance_from_60d_high,train_ext,q60-q80,2098,518,0.2469018112488084,180,338,35,0.016682554814108675,0.4420849420849421,0.0016166244982894961,0.005028338279610708,0.008318748858940614,0.4371114299378288,0.29124820659971307,0.6081846665056154,0.1319047619047619,True,False,-0.1247819409154689,-0.06925701934832415
distance_from_60d_high,train_ext,q80-q100,2100,329,0.15666666666666668,82,247,10,0.004761904761904762,0.3829787234042553,0.003303141735830909,0.009204513666534742,0.02152466155267712,0.5138490926456543,0.3533906399235912,0.6081846665056154,0.1319047619047619,True,False,-0.06925701934832415,0.0
distance_from_60d_high,validation_ext,q0-q20,3495,924,0.26437768240343346,589,335,69,0.019742489270386267,0.45346320346320346,0.0008636220318100125,0.0037303619154379687,0.003565790122295343,0.4340486409155937,0.3147353361945637,0.6081846665056154,0.1319047619047619,True,False,-0.5461869550822205,-0.3010317311183693
distance_from_60d_high,validation_ext,q20-q40,1320,355,0.2689393939393939,199,156,11,0.008333333333333333,0.3380281690140845,0.002022765424432751,0.003715803365452946,0.0010930270364064893,0.44545454545454544,0.31212121212121213,0.6081846665056154,0.1319047619047619,True,False,-0.3010317311183693,-0.19097972401225294
distance_from_60d_high,validation_ext,q40-q60,891,225,0.25252525252525254,168,57,0,0.0,0.49333333333333335,0.0011327876638546985,0.0013955050630229116,-0.005536696229693766,0.388327721661055,0.2962962962962963,0.6081846665056154,0.1319047619047619,True,False,-0.19097972401225294,-0.1247819409154689
distance_from_60d_high,validation_ext,q60-q80,893,156,0.17469204927211646,75,81,0,0.0,0.3525641025641026,0.003624173743965526,0.01035235839722009,0.021293453890296295,0.48600223964165734,0.3516237402015677,0.6081846665056154,0.1319047619047619,True,False,-0.1247819409154689,-0.06925701934832415
distance_from_60d_high,validation_ext,q80-q100,938,216,0.2302771855010661,103,113,0,0.0,0.5879629629629629,0.003821966553458818,0.012464889651587381,0.019976801517737435,0.5138592750533049,0.3582089552238806,0.6081846665056154,0.1319047619047619,True,False,-0.06925701934832415,0.0
distance_from_60d_high,oos_ext,q0-q20,2717,504,0.18549871181450128,262,242,55,0.020242914979757085,0.42857142857142855,0.0005749325659195073,0.001487182004418004,0.0053044495539940435,0.3536989326463011,0.21494295178505704,0.6081846665056154,0.1319047619047619,True,False,-0.5461869550822205,-0.3010317311183693
distance_from_60d_high,oos_ext,q20-q40,1305,307,0.23524904214559386,136,171,7,0.0053639846743295016,0.5374592833876222,0.0020686658955220262,0.007454906098966126,0.010905912148976809,0.42375478927203064,0.2467432950191571,0.6081846665056154,0.1319047619047619,True,False,-0.3010317311183693,-0.19097972401225294
