signal_id,datetime,vt_symbol,direction,action,price,close_1m,donchian_high,donchian_low,breakout_distance,breakout_distance_atr,atr_1m,atr_pct,rsi,fast_ema_5m,slow_ema_5m,ema_spread,ema_spread_pct,regime,regime_persistence_count,hour,weekday,is_weekend,filter_reject_reason,position_before,volume,stop_price,take_profit_price,trail_stop_price,future_return_5m,mfe_5m,mae_5m,future_return_15m,mfe_15m,mae_15m,future_return_30m,mfe_30m,mae_30m,future_return_60m,mfe_60m,mae_60m,future_return_120m,mfe_120m,mae_120m,mfe_atr,mae_atr,hit_take_profit_before_stop,hit_stop_before_take_profit,max_favorable_time,max_adverse_time,breakout_distance_bucket
OkxAdaptiveMhfStrategy-20250207123500-003781,2025-02-07T12:36:00+08:00,BTCUSDT_SWAP_OKX.GLOBAL,long,entry,97798.2,97798.2,97762.7,97475.7,35.5,0.4961593327841606,71.54959637823283,0.0007316044301248,63.55048001792351,97599.14229011466,97302.39905625144,296.74323386322067,0.0030342402402418,long,42,12,4,False,,0.0,3.4,97651.5027,97969.91903130776,97669.4107265192,-0.002905983954714883,0.0007750653897515794,0.0032556836424391675,-0.0030276630858235764,0.0007750653897515794,0.003793525852214049,-0.002781237282485772,0.0007750653897515794,0.0038160211537635364,-0.005094163287258836,0.0007750653897515794,0.006832436588812443,-0.011058485739001332,0.0007750653897515794,0.022084251039385213,1.0594049978884739,30.186054280203706,False,True,1.0,112.0,0.25-0.5
OkxAdaptiveMhfStrategy-20250207142600-003792,2025-02-07T14:27:00+08:00,BTCUSDT_SWAP_OKX.GLOBAL,short,entry,97042.2,97042.1,97345.1,97054.2,12.099999999991269,0.1745478745286969,69.32195555324246,0.0007143492932783,33.73781571345354,97281.31626291998,97320.63967029328,-39.32340737328923,-0.0004052200784328,short,4,14,4,False,,0.0,3.43,97187.76315,96875.82730667222,97166.97951999585,0.0014540066074346138,0.014465871548666487,0.0005956171644913543,0.0032449800190019825,0.014465871548666487,0.0005956171644913543,0.003759189301149427,0.014465871548666487,0.0005956171644913543,-0.00010201747281088775,0.014465871548666487,0.002656576211174138,0.0021485498061668017,0.014465871548666487,0.002656576211174138,20.25043853417868,3.7188795085562845,True,False,1.0,53.0,0-0.25
OkxAdaptiveMhfStrategy-20250207153900-003796,2025-02-07T15:40:00+08:00,BTCUSDT_SWAP_OKX.GLOBAL,short,entry,96804.0,96803.9,97300.0,96844.7,40.80000000000291,0.3989990270313021,102.25588845058031,0.0010563199256494,35.380924302661754,96962.29419282456,97130.33746339084,-168.04327056628244,-0.0017359142613704,short,19,15,4,False,,0.0,3.44,96949.20585,96558.5858677186,96988.06059921104,-0.0002820131399529246,0.0014183298210818035,0.0007272426759224224,0.0014658485186561938,0.0014875418371141688,0.0008129829345894497,-0.00094727490599559,0.0020763604809718606,0.0026238585182430476,-0.00202470972273873,0.0020763604809718606,0.0030463617205899983,-0.0031641254493616267,0.0020763604809718606,0.0047022850295442035,1.9656569714040688,4.4515773800155545,False,True,22.0,67.0,0.25-0.5
OkxAdaptiveMhfStrategy-20250207203200-003805,2025-02-07T20:33:00+08:00,BTCUSDT_SWAP_OKX.GLOBAL,long,entry,97842.1,97842.1,97790.8,97444.4,51.30000000000291,0.73903438165859,69.41490311299461,0.0007094584346921,65.58926380268798,97572.52887718666,97292.02183012188,280.507047064777,0.0028669360844133,long,10,20,4,False,,0.0,3.4,97695.33685,98008.6957674712,97717.15317439662,0.001097686987503275,0.0016138247237129433,0.0016731039092579946,0.001968477782058963,0.002023668747911175,0.0016731039092579946,0.0016138247237129433,0.002115653690998047,0.0016731039092579946,-0.003355406312824468,0.003361538642363504,0.01371699912409899,0.01784405690392984,0.02205492318746219,0.01371699912409899,31.086984253040484,19.334464787991067,False,True,103.0,59.0,0.5-1
OkxAdaptiveMhfStrategy-20250207204800-003806,2025-02-07T20:49:00+08:00,BTCUSDT_SWAP_OKX.GLOBAL,long,entry,98034.7,98034.7,98000.0,97678.4,34.69999999999709,0.4536766762378668,76.48618899201149,0.0007801950635031,67.80578398714843,97705.88836392143,97363.96941300256,341.9189509188873,0.0034877339443981,long,13,20,4,False,,0.0,3.4,97887.64795,98218.26685358082,97897.02485981438,-0.0012852591990387078,0.0,0.001764681281219813,-0.0011485729032678356,0.0,0.003087682218642961,-0.0033192328838665716,0.0,0.004263796390461745,0.005137976655204709,0.01647681892227959,0.015654661053688103,0.020514164882434544,0.03770195655211885,0.015654661053688103,48.32375686002659,20.065060375282744,False,True,117.0,43.0,0.25-0.5
OkxAdaptiveMhfStrategy-20250207214000-003811,2025-02-07T21:41:00+08:00,BTCUSDT_SWAP_OKX.GLOBAL,long,entry,99162.3,99181.0,98171.0,96500.0,1010.0,3.1286653337912487,322.8213606266746,0.0032548709997547,82.192375656419,97779.52513605308,97525.20407514212,254.32106091095196,0.0025642115013052,long,24,21,4,False,,0.0,1.29,98774.914367248,99937.07126550404,98581.22155087198,-0.007687397327411757,0.0,0.010690554777370086,-0.0051057710440359175,0.0,0.010690554777370086,0.003746383454195798,0.0051773708354888315,0.010690554777370086,0.006137413109619193,0.008447766943687238,0.010690554777370086,-0.0046509611011442565,0.025901980893948608,0.015502867521225334,7.956412782022596,4.762076453106233,False,True,65.0,101.0,>2
OkxAdaptiveMhfStrategy-20250207220600-003812,2025-02-07T22:07:00+08:00,BTCUSDT_SWAP_OKX.GLOBAL,long,entry,99074.1,99074.5,99066.7,98102.2,7.80000000000291,0.0298844699834457,261.00513090322977,0.0026344329863206,66.41546910520442,98289.9790663613,97736.6403501349,553.3387162263971,0.0055850770503651,long,29,22,4,False,,0.0,1.59,98760.89384291614,99700.51231416776,98604.2907643742,0.005383849058431963,0.006072222710072473,0.0,0.0068938299717080445,0.009345530264720993,0.0,0.004133269946434033,0.009345530264720993,0.0,-0.0008781306113303073,0.026815282702542815,0.005717942428949644,-0.010714202803760014,0.026815282702542815,0.017207322599952994,10.17872710320394,6.531672362533265,True,False,39.0,116.0,0-0.25
OkxAdaptiveMhfStrategy-20250208011800-003835,2025-02-08T01:19:00+08:00,BTCUSDT_SWAP_OKX.GLOBAL,short,entry,97406.9,97407.1,98178.8,97623.9,216.7999999999884,0.7803440448697364,277.82617350040647,0.0028522168661258,34.9724368691002,98011.01477624128,98246.9179735818,-235.9031973405072,-0.0024218275396814,short,14,1,5,True,,0.0,1.49,97740.29140820049,96740.11718359902,97906.98711230072,0.0003665038103049896,0.003195872161006955,0.0019824057638627842,-5.2357687186491115e-05,0.003195872161006955,0.0019824057638627842,-0.003030586128908852,0.003195872161006955,0.004035648398624798,-0.005032497697801816,0.003195872161006955,0.006088891033386812,0.0011929339707967002,0.003195872161006955,0.009973626098356482,1.1204847839850227,3.49679077302117,False,True,2.0,80.0,0.5-1
OkxAdaptiveMhfStrategy-20250208015900-003837,2025-02-08T02:00:00+08:00,BTCUSDT_SWAP_OKX.GLOBAL,short,entry,97435.9,97435.9,97888.0,97450.0,14.10000000000582,0.097426885477667,144.7239119969398,0.0014853243208811,40.993420321667216,97646.94347117229,98023.1004958493,-376.157024677028,-0.0038605588358811,short,23,1,5,True,,0.0,2.87,97609.56869439632,97088.56261120734,97696.40304159449,-0.002773105190181562,0.0012284999676710237,0.002814157820680177,-0.00525884196687267,0.0012284999676710237,0.005263973545684996,-0.0051890524950249945,0.0012284999676710237,0.005789447216067238,-0.003175420969067959,0.0012284999676710237,0.009673026061236156,0.0062913156239127474,0.006888631397667566,0.009673026061236156,4.637796137062614,6.512399968983213,False,True,110.0,39.0,0-0.25
OkxAdaptiveMhfStrategy-20250208025300-003844,2025-02-08T02:54:00+08:00,BTCUSDT_SWAP_OKX.GLOBAL,short,entry,97780.8,97780.8,98378.4,97852.7,71.89999999999418,0.4490962781643257,160.09930051944394,0.0016373286015193,37.32374643020533,97965.03044864346,98011.85345941232,-46.823010768857785,-0.0004788569000136,short,33,2,5,True,,0.0,2.6,97972.91916062334,97396.56167875334,98068.978740935,-0.00010022417488916955,0.0018490337571384454,0.0014235923616906089,0.003779883167247617,0.005334380573691418,0.001455295927216825,0.003180583509236987,0.005852887274393367,0.001455295927216825,0.008108953905061205,0.010391610622944442,0.001455295927216825,0.019979382455451437,0.02107571220525914,0.001455295927216825,12.87201126621862,0.8888233711097362,True,False,109.0,7.0,0.25-0.5
