policy_name,month,trade_count,long_count,short_count,active_symbol_count,no_cost_net_pnl,net_pnl,fee_total,slippage_total,cost_drag,win_rate,profit_factor,avg_win,avg_loss,avg_trade_net_pnl,median_trade_net_pnl,max_drawdown,max_ddpercent,return_drawdown_ratio,sharpe_like,avg_holding_minutes,median_holding_minutes,top_5pct_trade_pnl_contribution,best_trade,worst_trade,largest_symbol_pnl_share,portfolio_turnover,max_concurrent_positions
v3_4h_donchian_100_30_atr5,2023-12,4,4,0,3,-0.0841900000000001,-0.0897483750000001,0.003438375,0.0021200000000000004,0.005558375000000004,0.25,0.02805690437287642,0.0025907500000000878,-0.030779708333333395,-0.022437093750000026,-0.014150607499999992,0.08974837500045396,0.0017949675000090792,-0.9999999999949429,-1.7949708327061669,10380.0,11760.0,-0.02886681792288813,0.0025907500000000878,-0.0640379100000002,1.0,6.87675,3
v3_4h_donchian_100_30_atr5,2024-01,6,3,3,4,-0.7134799999999996,-0.7299663499999997,0.013566350000000001,0.0029200000000000007,0.016486350000000094,0.16666666666666666,0.15619493882044594,0.13512249999999984,-0.1730177699999999,-0.12166105833333328,-0.11744674499999982,0.8650888499996654,0.017301309440756328,-0.84380506117988,-1.9226492477431532,12960.0,11280.0,-0.18510784777955847,0.13512249999999984,-0.3667278449999996,1.0,27.1327,3
v3_4h_donchian_100_30_atr5,2024-02,2,2,0,2,-0.08166999999999991,-0.0832955649999999,0.001185565,0.00044,0.0016255649999999955,0.5,0.207518368143016,0.021811684999999997,-0.1051072499999999,-0.04164778249999995,-0.04164778249999995,0.10510725000040111,0.0021021450000080224,-0.792481631853959,-0.9281335185213275,17640.0,17640.0,-0.261858899690518,0.021811684999999997,-0.1051072499999999,1.0,2.37113,2
v3_4h_donchian_100_30_atr5,2024-03,3,3,0,3,3.5139899999999997,3.5023396849999995,0.009570315,0.0020800000000000003,0.011650315000000244,1.0,,1.1674465616666665,,1.1674465616666665,1.1326178399999998,0.0,0.0,,3.6677856347036624,46160.0,53520.0,0.5309015578824418,1.859397595,0.5103242499999999,0.5309015578824416,19.14063,3
v3_4h_donchian_100_30_atr5,2024-04,3,0,3,3,-0.7179800000000003,-0.7245691500000002,0.00450915,0.0020800000000000003,0.0065891499999999326,0.0,0.0,,-0.24152305000000007,-0.24152305000000007,-0.35635699999999987,0.7245691500002067,0.014491383000004134,-0.999999999999715,-2.4914966643131913,11520.0,11520.0,0.005678091594156325,-0.004114169999999995,-0.3640979800000004,0.5025027355912134,9.0183,3
v3_4h_donchian_100_30_atr5,2024-05,3,1,2,2,-1.0857300000000003,-1.1022952150000003,0.014485215000000001,0.0020800000000000003,0.016565214999999966,0.0,0.0,,-0.3674317383333334,-0.3674317383333334,-0.3528790300000006,1.1022952149996854,0.02204590429999371,-1.0000000000002855,-3.2194234091399907,6720.0,5280.0,0.12059450879499634,-0.1329307499999999,-0.6164854349999997,0.8794054912050037,28.97043,2
v3_4h_donchian_100_30_atr5,2024-06,5,2,3,3,0.5385399999999998,0.5277228199999999,0.00865718,0.0021600000000000005,0.01081717999999987,1.0,,0.10554456399999998,,0.10554456399999998,0.05475125000000026,0.0,0.0,,1.8999697594407896,22751.8,20160.0,0.6556336241059268,0.34599282499999967,0.007975150000000007,0.7593836381758136,17.31436,3
v3_4h_donchian_20_10_atr4,2023-01,10,8,2,5,0.4612100000000004,0.44828440500000033,0.009845595,0.0030800000000000003,0.012925595000000067,0.3,2.0811266416428893,0.287643335,-0.05923508571428566,0.04482844050000003,-0.01508012749999984,0.277503594999871,0.0055497708947203,1.6154183696258375,0.6904408057020509,9912.0,4080.0,1.2493082600096237,0.5600454099999999,-0.10871899999999997,0.8554090829469404,19.691190000000002,3
v3_4h_donchian_20_10_atr4,2023-02,12,5,7,5,0.025650000000000242,0.010768385000000234,0.011721615000000001,0.003160000000000001,0.014881615000000008,0.3333333333333333,1.06790415590358,0.04233762625000004,-0.01982276499999999,0.0008973654166666862,-0.003273832500000005,0.08650451500034251,0.0017300903000068502,0.1244835023924196,0.069280676686241,8040.0,6480.0,11.628512074930208,0.12522029500000006,-0.06446949999999999,0.8464326285577245,23.44323,3
v3_4h_donchian_20_10_atr4,2023-03,11,5,6,5,0.6713399999999996,0.6600047699999996,0.007855230000000001,0.0034800000000000005,0.01133523000000003,0.36363636363636365,6.597324040485651,0.19447977749999992,-0.01684490571428573,0.0600004336363636,-0.0033504599999999987,0.06915977999960887,0.0013831955999921775,9.543187818176,1.3454136882564933,8945.454545454546,5280.0,0.7286043932682488,0.48088237499999975,-0.06915978000000012,0.8240111809580785,15.710460000000001,3
v3_4h_donchian_20_10_atr4,2023-04,17,9,8,5,-0.15238000000000013,-0.16930210000000015,0.0101621,0.00676,0.016922100000000023,0.35294117647058826,0.6531519608968411,0.05313566083333335,-0.044374187727272744,-0.009958947058823539,-0.004479920000000009,0.3548743299998023,0.007097279138329475,-0.47707620892188646,-0.6090398897985593,5872.941176470588,4560.0,-0.553217148517354,0.093660825,-0.17918360000000005,0.5804801404156344,20.3242,3
v3_4h_donchian_20_10_atr4,2023-05,18,11,7,4,-0.29045999999999994,-0.3062990199999999,0.01295902,0.0028800000000000006,0.01583901999999998,0.2222222222222222,0.04683197426842667,0.0037623450000000207,-0.022953457142857146,-0.017016612222222217,-0.0055651425000000036,0.30629901999964204,0.0061259803999928406,-1.0000000000011684,-2.4600896156412526,5653.333333333333,4800.0,-0.03957755072151415,0.012122565000000073,-0.11579754000000013,0.6905164437026275,25.918040000000005,3
v3_4h_donchian_20_10_atr4,2023-06,10,3,7,4,-0.1683800000000001,-0.17716539000000012,0.00766539,0.0011200000000000003,0.008785390000000004,0.4,0.1233941328618658,0.006234606249999989,-0.03368396916666668,-0.01771653900000001,-0.0014739524999999975,0.1842525949996343,0.0036850518999926867,-0.9615353857043465,-1.368025788390722,6792.0,6000.0,-0.05599843739231455,0.009920984999999997,-0.13240525500000017,0.6460780639288943,15.33078,3
v3_4h_donchian_20_10_atr4,2023-07,12,8,4,5,0.06141000000000027,0.0494809550000003,0.008409045,0.0035200000000000006,0.011929044999999971,0.4166666666666667,1.1599047563863483,0.07178422500000003,-0.044205738571428566,0.004123412916666691,-0.0005601300000000037,0.15887990500050364,0.0031774843955929824,0.311436207114068,0.16618350451690786,9240.0,6960.0,3.8046071463252686,0.18825559500000016,-0.15879709499999994,0.9784743343544682,16.818089999999998,3
v3_4h_donchian_20_10_atr4,2023-08,12,7,5,4,-0.1335700000000003,-0.15001383500000026,0.010963835,0.0054800000000000005,0.016443834999999962,0.4166666666666667,0.397933988306026,0.01983025199999999,-0.0355950135714286,-0.012501152916666688,-0.004118017500000003,0.22484258500026044,0.004496851700005209,-0.6671949399613356,-1.147855331349179,8380.0,8160.0,-0.4988123262097779,0.07482874999999993,-0.065778,0.6210394859179792,21.927670000000003,3
v3_4h_donchian_20_10_atr4,2023-09,15,9,6,5,-0.2670600000000007,-0.2893222200000007,0.016662220000000002,0.005600000000000002,0.02226222,0.2,0.05346855621447136,0.005447834999999887,-0.025472143750000027,-0.019288148000000047,-0.006898075000000003,0.28932222000003094,0.0057864444000006185,-0.9999999999998954,-3.1465498290444063,6704.0,6480.0,-0.043661354458015444,0.012632199999999955,-0.06260604000000006,0.3987231779156128,33.324439999999996,3
